@relation spambase

@attribute Word_freq_all numeric
@attribute Word_freq_our numeric
@attribute Word_freq_over numeric
@attribute Word_freq_internet numeric
@attribute Word_freq_will numeric
@attribute Word_freq_free numeric
@attribute Word_freq_business numeric
@attribute Word_freq_font numeric
@attribute Word_freq_hp numeric
@attribute Word_freq_857 numeric
@attribute Word_freq_data numeric
@attribute Word_freq_85 numeric
@attribute Word_freq_1999 numeric
@attribute Word_freq_direct numeric
@attribute Word_freq_cs numeric
@attribute Word_freq_meeting numeric
@attribute Word_freq_original numeric
@attribute Char_freq2 numeric
@attribute Char_freq5 numeric
@attribute Char_freq6 numeric
@attribute Capital_run_length_longest numeric
@attribute Spam {1,0}

@data
0.9,0.45,0,0,0.9,0.45,0.9,0,0,0,0,0,0,0,0,0,0,0,0.07,0,14,1
0.41,0,0,0,0,0,0,0,0,0,0.41,0,0.41,0,0,0,0,0.067,0,0,14,1
0,1.85,0,1.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0.223,0,0,15,1
0.47,1.42,0,0,0.95,0,0.95,0,0,0,0,0,0,0,0,0,0,0.082,0.248,0,80,1
0.63,0,0,0.63,0.63,1.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,1
0.14,0.28,0,0,0.14,0,0,3.86,0,0,0,0,0,0,0,0,0,0.048,0.072,0.435,37,1
0,0,0,0,0,0,0,0,0.68,0,0,0.68,1.36,0,0,0,0,0,0,0,30,1
0,0,0,0,0,0,0,8.33,0,0,0,0,0,0,0,0,0,0,0,0.233,84,1
1.05,2.63,0.52,0,1.05,1.05,1.05,0,0,0,0.52,0,0,0,0,0,0,0,0.729,0.091,19,1
1.68,0.42,0,0,0.42,0.42,0,0,0,0,0,0,0,0,0,0,0,0.066,0,0,121,1
0.55,1.1,0.55,0,0.55,0,0,0,0,0,0,0,0,0,0,0,0,0.165,0,0.082,148,1
0.84,0.56,0,0.56,0,0.28,0,0,0,0,0,0,0,0.28,0,0,0,0.278,0,0,6,1
1.83,0.81,0.2,0.4,1.01,0.2,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,142,1
0,0.65,0,0,0.65,0.65,1.3,0,0,0,0,0,0,0,0,0,0,0.459,0,0,66,1
