@relation spambase

@attribute Word_freq_make numeric
@attribute Word_freq_3d numeric
@attribute Word_freq_our numeric
@attribute Word_freq_over numeric
@attribute Word_freq_remove numeric
@attribute Word_freq_internet numeric
@attribute Word_freq_will numeric
@attribute Word_freq_people numeric
@attribute Word_freq_credit numeric
@attribute Word_freq_your numeric
@attribute Word_freq_font numeric
@attribute Word_freq_labs numeric
@attribute Word_freq_857 numeric
@attribute Word_freq_data numeric
@attribute Word_freq_pm numeric
@attribute Word_freq_cs numeric
@attribute Word_freq_re numeric
@attribute Word_freq_table numeric
@attribute Char_freq1 numeric
@attribute Char_freq5 numeric
@attribute Char_freq6 numeric
@attribute Spam {1,0}

@data
0.08,0,0.85,1.02,0.25,0.17,0.59,0.17,0.17,0.42,0,0,0,0,0,0,0.08,0,0,0.114,0.012,1
0.14,0,1.17,0.58,0.14,0.58,0.14,0,0,1.02,0,0,0,0,0,0,0,0,0,0.024,0,1
0,0,0,0,0,0,1.31,0,0,5.26,0,0,0,0,0,0,0,0,0,0.212,0,1
0,0,0.36,0,0,0,0.73,0,0,1.46,0.36,0,0,0,0,0,0,0,0,0.181,0,1
0,0,0.62,0,0,0,0,0,0,0.62,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.862,0,1
0,0,0.56,0,0,0,0,0,0,1.12,0,0,0,0,0,0,0.56,0,0,0,0,1
0,0,0.84,0.25,0.08,0.33,0.76,0,0.33,0.5,0.84,0,0,0,0,0,0,0,0,0.157,0.329,1
0.72,0,1.45,0.72,0.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,4.25,0,0.7,0,0,0,0,1.41,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0.47,0.47,0.47,0,0.95,0.47,0,0,0,0,0,0,0,0,0,0,0,0.799,0.088,1
0,0,0,0,0,0,0,0,0,0.59,0,0,0,0.29,0,0,0,0,0,0.049,0,1
0,0,0,0,0,0,1.78,0,0,0,0,0,0,0,0,0,0,0,0.252,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.943,0,1
0.48,0,0.48,0,0.97,0,0.48,0,0,1.45,0,0,0,0,0,0,0.48,0,0,0.232,0.077,1
0,0,0,0,0,6.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0.48,0,1
0.32,0,0.32,0.24,0.04,1.16,0.68,0.52,0.16,1.28,0,0,0,0,0,0,0.12,0,0.019,0.152,0,1
0.87,0,0,0.32,0,0.04,1.37,0.87,0.29,1.32,0,0,0,0,0,0,0.07,0.04,0.016,0.166,0.183,1
0.44,0,0.44,1.32,0,0,0,0,0,2.2,0,0,0,0,0,0,0,0,0.222,0.37,0,1
0,0,0,0,0,0,0.72,0,0,0,0,0,0,0,0.48,0,0,0,0,0,0,1
0.17,0,1.47,0.35,0,0.05,0.52,0.29,0.23,1.11,0,0,0,0,0,0,0,0,0.01,0.165,0,1
0,0,1.56,0,0,0,0.31,0,0,0.62,0,0,0,0,0,0,0.94,0,0,0,0,1
0.28,0,0.57,0.28,0.28,0,0.86,0.28,0,2.01,0,0,0,0,0,0,0,0,0,0.218,0,1
0,0,0.65,0.65,0.32,0.32,0.32,0.32,0,3.26,0,0,0,0,0,0,0.32,0,0,0.159,0,1
0.8,0,1.6,0,0,0,0,0,0,2.4,0,0,0,0,0,0,0,0,0,0.361,0,1
0.4,0,0.8,0,0.4,2.8,2.8,0,0,0.8,0,0,0,0,0,0,0,0,0.052,0.052,0.052,1
0,0,0,0,0,0,0,0,0,2.22,0,0,0,0,0,0,0,0,0,0.291,0,1
0.07,0,0.51,0.29,0.07,0,1.48,0.14,0,1.85,0,0,0,0,0,0,0,0,0.049,0.159,0.009,1
0,0,0,0,0,0,0,0,0,3.7,0,0,0,0,0,0,1.23,0,0,0,0,1
0,0,1.59,0.31,0,0,0.63,0,0,1.91,0,0,0,0,0,0,0,0,0,0.496,0,1
0.09,0,0.36,0.09,0,0.18,0.73,0,0,3.38,0,0,0,0,0,0,0.27,0,0.016,0.032,0.032,1
0,0,0.34,0,0.17,0,0,0.17,0.17,0.51,0,0,0,0,0,0,0,0,0,0,0.026,1
0.19,0,1.07,0.19,0.19,0.97,1.07,0.19,0.68,1.75,0,0,0,0,0.09,0,0,0,0,0.232,0.03,1
0,0,0.71,0,0,0.71,0,0,0,3.59,0,0,0,0,0,0,0,0,0,0,0,1
0,0,4.08,0,0.68,0,1.36,0,0,2.04,0,0,0,0,0,0,0,0,0,0.11,0,1
0.1,0,0.8,0.8,0.5,0,0.7,0.3,0.2,0.7,0,0,0,0,0,0,0.1,0,0,0.157,0.015,1
0.12,0,1.34,0.12,0,0.12,0.85,0,0,0.73,0,0,0,0,0,0,0.12,0,0.063,0.042,0,1
0,0,0.65,0,0,0,0.65,0,1.97,4.6,0,0,0,0,0,0,0,0,0,0.068,0,1
0,0,0.55,0.37,0.18,0.18,0.18,0,0,0.37,0,0,0,0.55,0,0,0,0,0,0.027,1.625,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0.58,0,0,0,0.29,0,0.29,0.87,1.74,0,0,0,0,0,0,0,0,0,0,0.047,1
0,0,0.77,0,0.51,0.51,0.25,1.54,0,1.54,0,0,0,0,0,0,0,0,0,0.434,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0.26,0.26,0.08,1.06,0.71,0.17,0.26,1.24,0,0,0,0.08,0,0,0.26,0,0.098,0.254,0.113,1
0,0,0.42,0,0,0,0,0,0,1.28,0,0,0,0,0,0,0.42,0,0,0,0,1
0,0,0.85,0.21,0.21,0,0,0,0.21,1.71,7.08,0,0,0,0,0,0,0,0,0.271,0.969,1
0,0,0.81,1.01,0,0,1.21,0,0,0,0,0,0,0,0,0,0,0,0,0.121,0,1
0,0,0.4,0.4,0.4,0.4,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0.85,0.85,0,0,0.85,0,0,0,0,0,0,0,0,0,0,0,1
