@relation 'spambase-weka.filters.unsupervised.attribute.Remove-V-R1,5,7,16-17,20,22-23,25,28-29,32,34,36,38-40,49,52-53,56,58'

@attribute Word_freq_make numeric
@attribute Word_freq_our numeric
@attribute Word_freq_remove numeric
@attribute Word_freq_free numeric
@attribute Word_freq_business numeric
@attribute Word_freq_credit numeric
@attribute Word_freq_font numeric
@attribute Word_freq_000 numeric
@attribute Word_freq_hp numeric
@attribute Word_freq_650 numeric
@attribute Word_freq_lab numeric
@attribute Word_freq_857 numeric
@attribute Word_freq_415 numeric
@attribute Word_freq_technology numeric
@attribute Word_freq_parts numeric
@attribute Word_freq_pm numeric
@attribute Word_freq_direct numeric
@attribute Char_freq1 numeric
@attribute Char_freq4 numeric
@attribute Char_freq5 numeric
@attribute Capital_run_length_longest numeric
@attribute Spam {1,0}

@data
0.06,1.23,0.19,0.06,0.06,0.32,0,1.16,0,0,0,0,0,0,0,0,0.06,0.01,0.276,0.184,485,1
0,0.63,0.31,0.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.137,0,40,1
0,1.27,0.42,1.27,0,0.42,0,0,0,0,0,0,0,0,0,0,0.42,0,0.572,0.063,55,1
0,2.94,0,2.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0.436,0.873,0,12,1
0,1.46,0.48,0.48,0,0.48,0,0,0,0,0,0,0,0,0,0,0.48,0,0.589,0.294,47,1
0.3,0,0,2.15,0.61,0,0,0,0,0,0,0,0.3,0,0,0,0,0,1.053,0.351,66,1
0,1.44,0.48,0.48,0.96,0,0,0.48,0,0,0,0,0,0,0,0,0,0,0.486,0.243,78,1
0,0.35,0,1.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.284,0,61,1
1.24,0,0,0.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.461,0.527,19,1
0,0,0,0.64,0,0,0,0.64,0,0,0,0,0,0,0,0,0,0.094,0.662,0,131,1
0,0,0,0.79,0,0,0,0.79,0,0,0,0,0,0,0,0,0,0.115,0.462,0,22,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.305,1.529,0,22,1
0,1.28,2.56,0,5.12,1.28,0,0,0,0,0,0,0,0,0,0,0,0,0.542,0,304,1
0.17,0.42,0.08,0,0.17,0,0,0.34,0,0,0,0,0,0,0,0,0,0,0.095,0.013,48,1
0.34,0.08,0.08,0.08,0,0,0,0.34,0,0,0,0,0,0,0,0,0,0,0.259,0.259,62,1
0.43,0.87,0,0,1.74,0,0,0,0,0,0,0,0,0.43,0,0,0,0,0.835,0,107,1
0,0.56,0,0.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.615,0,19,1
0.46,0,0,0,0.46,0,0,1.38,0,0,0,0,0,0,0,0,0.46,0,0.081,0.816,12,1
0,0.64,0.32,0.32,0.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.159,10,1
0,0.71,0,0.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.094,0,16,1
0,0,0,0,0,0,0,1.12,0,0,0,0,0,0,0,0,0,0,0.814,0,15,1
0,0.71,0,0,2.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0.931,0,117,1
0,0.31,0.15,1.11,0,0,0,0,0.95,0,0,0,0,0,0,0,0.15,0,0.862,0.707,51,1
0,1.15,0.23,0,0.69,0,0,0,0,0,0,0,0,1.15,0,0,0,0,0.841,0.036,52,1
1.63,0,0,1.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.759,0.253,16,1
0,0,0,0,0.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0.242,0.107,35,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.532,0,28,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.309,0,11,1
0,1.29,0.43,0.43,0.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0.129,0,46,1
0.05,0.23,0.05,0.76,0.11,0.29,0,0.23,0,0,0,0,0,0,0,0,0,0.009,0.102,0.259,8,1
0,1.48,1.48,0.74,0.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0.108,0,12,1
0.08,0.85,0.25,0.25,0.08,0.17,0,0.85,0,0,0,0,0,0,0,0,0.08,0,0.394,0.114,669,1
0,0.28,0.14,0,0,2.14,3.86,0.14,0,0,0,0,0,0,0,0,0,0,0.241,0.072,37,1
0.59,0.29,0,0.09,0.79,0.09,0,1.39,0,0,0,0,0,0.09,0,0.09,0,0.044,0.334,0.133,1171,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.125,10,1
0,0,0,1.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.251,0.251,12,1
0.21,1.26,0,0,0.52,0,0,0.31,0,0,0,0,0,0,0,0,0,0,0.141,3.305,193,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.631,0,5,1
0,0.64,0.64,0.32,0.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.156,19,1
0,0,0,0,0,0,0,1.08,0,0,0,0,0,0,0,0,0,0,0.191,0.383,23,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,1
0.23,0.17,0.11,0.05,0.11,0,0,0.47,0,0,0,0,0,0,0,0,0,0,0.492,0.338,87,1
0,0,1.08,2.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.334,0,5,1
0.9,0,0.9,0,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0.546,0,19,1
0.39,0,0.79,0,0.39,0,0,1.18,0,0,0,0,0,0,0,0,0,0,0.612,0.183,13,1
0,0,0,1.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.132,0,16,1
0.19,1.07,0.19,0,0,0.68,0,0.09,0,0,0,0,0,0,0,0.09,0.09,0,0.404,0.224,49,1
0,0,2.94,0,1.47,1.47,0,0,0,0,0,0,0,0,0,0,0,0,0.427,0.142,274,1
0,0,0,6.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.149,0,33,1
0,0,1.94,2.91,3.88,0,0,0,0,0,0,0,0,0,0,0,0.97,0,0.52,0.13,26,1
0,0.3,0.15,0.15,0,0.15,0,0,0,0.15,0,0,0,0,0,0,0,0,0.352,0.02,149,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
0,0.35,0,0.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.897,0,121,1
0,0.42,0,0.42,0,0,0,0.42,0,0,0,0,0,0,0,0,0,0,0.644,0.161,14,1
0.1,0.51,0.2,0.1,0,0.41,0,0,0,0,0,0,0,0,0,0.1,0,0,0.974,0.396,56,1
0.95,0,0,0.47,0.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0.169,0.452,259,1
0.1,0.8,0.5,0.1,0,0.2,0,0.6,0,0,0,0,0,0,0,0,0,0,0.49,0.158,669,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1
0,0,1.47,0.36,0,0,0,0.36,0,0,0,0,0,0,0,0,0,0,0.367,0.061,36,1
0,0.8,0.26,0,0,0.26,0,0,0.26,0,0,0,0,0,0,0,0,0,0,0.04,21,1
0,1.58,1.05,0.52,0,0,0,0,0.52,0,0,0,0,0,0,0,0,0,0,0,23,1
0.24,0,0.24,1.68,0.72,0,0,0.24,0,0,0,0,0,0,0,0,0,0,0.677,0.828,52,1
0,0,0,0,0,0,2.25,0,0,0,0,0,0,0,0,0,0,0,0.394,0,22,1
0.26,0.53,0.08,0.35,0.08,0.26,0,0.17,0,0,0,0,0,0,0.08,0,0,0,0.339,0.162,74,1
0,0.55,0.18,0,0,0,0,0.18,0,0,0,0,0,0.74,0,0,0,0,0,0.027,11,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.179,0.117,12,1
0,0.49,0.98,0,0,0,0,0.49,0,0,0,0,0,0,0,0,0,0,0,0,12,1
0,1.37,0.82,0.82,0.27,0,0,0.82,0,0,0,0,0,0,0,0,0,0,0.235,0.188,124,1
0,0,0.56,1.41,0.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0.158,0,394,1
0,0.33,0.33,1,0.33,2.68,0,0,0,0,0,0,0,0,0,0,0,0,0.16,0,139,1
0,0,1.11,2.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.138,0.138,11,1
0.1,0.4,0.1,0.91,0.2,4.26,0,0.4,0,0,0,0,0,0,0,0,0,0,0.336,0.16,494,1
0.59,0,1.18,0,2.95,2.36,0,0,0,0,0,0,0,0,0,0,0,0,0.421,0,46,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.235,0,10,1
0,0,0,2.04,0,1.02,0,0,0,0,0,0,0,0,0,0,0,0,0.174,0,7,1
0.1,0.1,0.1,0,0.1,0,0,0.73,0,0,0,0,0,0,0,0,0,0,0.016,0.064,29,1
0,0.09,0.09,0.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0.035,0.088,0.124,50,1
0.34,1.02,0,0,0,1.02,0,0,0.34,0,0,0,0,0,0,0,0,0,0.899,0.105,1333,1
0,0,0,0,0.96,0,0,0,0,0,0,0,0,0,0,0.32,0,0.18,0,0,14,1
0,0.29,0,0.14,0,0,0,0.14,0,0,0,0,0,0.29,0,0,0,0.022,0,0.022,11,1
0,0.42,0.85,0.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.819,0,42,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.21,25,1
2.35,0,2.35,1.17,0,0,0,2.35,0,0,0,0,0,0,0,0,0,0,0.168,0.336,17,1
0,1.51,0,0.75,0.37,0,0,0,0,0,0,0,0,0,0,0,0.37,0,0.415,0.138,11,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.565,0,28,1
0.38,1.14,0,0,0,0.76,0,0,0.38,0,0,0,0,0,0,0,0,0,1.008,0.059,1177,1
