@relation 'spambase-weka.filters.unsupervised.attribute.Remove-V-R2,4,6-7,9,13,17,19-20,25,27-30,37,39,42,45,50-53,58'

@attribute Word_freq_address numeric
@attribute Word_freq_3d numeric
@attribute Word_freq_over numeric
@attribute Word_freq_remove numeric
@attribute Word_freq_order numeric
@attribute Word_freq_people numeric
@attribute Word_freq_business numeric
@attribute Word_freq_you numeric
@attribute Word_freq_credit numeric
@attribute Word_freq_hp numeric
@attribute Word_freq_george numeric
@attribute Word_freq_650 numeric
@attribute Word_freq_lab numeric
@attribute Word_freq_labs numeric
@attribute Word_freq_1999 numeric
@attribute Word_freq_pm numeric
@attribute Word_freq_meeting numeric
@attribute Word_freq_re numeric
@attribute Char_freq2 numeric
@attribute Char_freq3 numeric
@attribute Char_freq4 numeric
@attribute Char_freq5 numeric
@attribute Spam {1,0}

@data
0,0,0,0.96,0,0,0,3.84,0,0,0,0,0,0,0,0,0,0,0,0,0.462,0,1
0,0,0,0.18,0,0.92,0.37,3.15,0,0,0,0,0,0,0,0,0,0,0.182,0,0.455,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.729,0,0.729,0,1
0.07,0,0.05,0.15,0.55,0.02,0.02,2.09,0.1,0,0,0,0,0,0.1,0,0,0,0.101,0.016,0.25,0.046,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.335,0,0.671,0,1
0.42,0,0,0,0,0,0,2.1,0,0,0,0,0,0,0,0,0,0.42,0.066,0,0.669,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.96,0,0,0,0.201,0,0,0.1,1
0.79,0,0,0,0,0,1.58,3.96,0,0,0,0,0,0,0,0,0,0.79,0.268,0,0.268,0,1
0,0,0.6,0,0,0,0,1.21,0,0,0,0,0,0,0,0,0,0,0.518,0.414,0.31,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.33,0,0,0,0.611,0,1.529,0,1
0,0,0,0,0,0,0,0.95,0,0,0,0,0,0,0,0,0,0,0.365,0,0,0,1
0,0,0,0,0,0,0,1.53,0,0,0,0,0,0,0,0,0,0.51,0.09,0,0.542,0,1
0,0,0,0.59,0,0,0,4.76,0,0,0,0,0,0,0,0,0,0,0,0,0.427,0,1
0,0,0,1.58,0,1.58,0,1.58,0,0,0,0,0,0,0,0,0,0,0,0,0.558,0.279,1
0.56,0,0,1.12,0,0.56,2.82,3.95,0,0,0,0,0,0,0,0,0,0,0.247,0,1.32,0.33,1
0,0,0.45,0.45,0,0.45,0.45,1.81,0,0,0,0,0,0,0,0,0,0,0.135,0,0.135,0,1
0.34,0,0,0.34,0,0,0,1.03,0,0,0,0,0,0,0,0,0,0,0.094,0,0,0,1
0,0,0,0,0,0,0.46,2.77,0,0,0,0,0,0,0,0,0,0,0.49,0,0.081,0.816,1
0,0,0.46,0.93,0,0.46,0.46,1.87,0,0,0,0,0,0,0,0,0,0,0.135,0,0.135,0,1
0.8,0,0,0,0,0,0,0.8,0,0,0,0,0,0,0,0,0,0,0,0,1.192,0,1
0,0,0,1.07,0,0,0.53,4.3,0,0,0,0,0,0,0,0,0,0.53,0,0,1.183,0.253,1
0.54,0,0,1.09,0,0.54,3.29,3.84,0,0,0,0,0,0,0,0,0,0,0.241,0,1.045,0.321,1
0.42,0,0.42,0.08,0.08,0.94,0,3,0,0,0,0,0,0,0,0,0,0.17,0.063,0,0.287,0.223,1
0,0,0.65,0.32,0,0.32,0.32,2.28,0,0,0,0,0,0,0,0,0,0.32,0.104,0,0,0.157,1
0.32,0,0,0.16,0,0.16,0,0.32,0.16,0,0,0,0,0,0,0,0,0,0,0,0.773,0.08,1
0.84,0,0,1.69,0.84,0,0.84,0.84,0,0,0,0,0,0,0,0,0,0,0,0,1.113,0.278,1
0,0,0.08,0.08,0.08,0.17,0.17,1.2,0,0,0,0,0,0,0,0,0,0,0.081,0.027,0.088,0.013,1
0,0,0.22,0,0.67,0,0,1.35,0,0,0,0,0,0,0,0,0,0,0.258,0,0.129,0.193,1
0,0,0,0,0.47,0,0.95,1.42,0,0,0,0,0,0,0,0,0,0.47,0.131,0.065,0.461,0.263,1
0.2,0,0.2,0,0.27,0.13,0.69,2.23,0,0,0,0,0,0,0,0,0,0.13,0.105,0,0.75,0.305,1
0.79,0,0,0,0,0,0.79,3.17,0,0,0,0,0,0,0,0,0,0.79,0.271,0,0.271,0.135,1
0.57,0,0.57,2.28,0,0,0,3.42,0,0,0,0,0,0,0,0,0,0.57,0.081,0,0.487,0,1
0.17,0,0,0.17,0,0,0.17,0.88,0,0,0,0,0,0,0,0,0,0,0.143,0.028,0.085,0.057,1
0,0,0,5.4,0,0,0,1.8,0,0,0,0,0,0,0,0,0,0,0,0,0.841,0.21,1
0,0,0,0.64,0,0,0.64,1.28,0,0,0,0,0,0,0,0,0,0,0,0,0.554,0.369,1
1.31,0,0.93,0,0.37,0,0.37,2.44,0,0,0.18,0,0,0,0,0,0,0,0.08,0,0.268,0.107,1
0.62,0,0,0,0,0,0,2.49,0,0,0,0,0,0,0,0,0,0.31,0.05,0,1.152,0,1
0,0,0,0,0,0,0,3.84,0,0,0,0,0,0,0,0,0,1.28,0,0,0.23,0.23,1
0,0,0,0,0,0,0,0,0,2.06,0,0,0,0,0,0,0,0,0.342,0,0,0,1
0,0,0,0.45,0.45,0,0.45,0.91,0,0,0,0,0,0,0,0,0,0,0.254,0,0.063,0.127,1
0.02,0,0,0,0,0,0.1,0.07,0.2,0.02,0,0,0,0,0,0,0,0,0.004,0,0.107,0.017,1
0,0,0,0,0.23,0,0,3.81,0.23,0,0,0,0,0,0,0,0,0,0.109,0,1.018,0.036,1
0,0,0.64,0.32,0,0.32,0.32,2.27,0,0,0,0,0,0,0,0,0,0.64,0.104,0,0,0.157,1
0,0,0,0.6,0,0,0,3.65,0,0,0,0,0,0,1.21,0,0,0,0,0,0.101,0.304,1
0.28,0,0.11,0.02,0.42,0.54,0.33,3.23,0,0,0,0,0,0,0,0,0,0.02,0.058,0,0.382,0.847,1
0,0,0,1.56,0,0,0,0,0,0,0,0,0,0,0,0,0,1.56,0.233,0,0.7,0,1
1.11,0,0,2.22,0,0,0,3.33,0,0,0,0,0,0,0,0,0,0,0,0,0.146,0,1
0,0,0,0.86,0,0,0,3.46,0,0,0,0,0,0,0,0,0,0,0.2,0,0.801,0,1
0,0,0.45,0,0,0,0,2.28,0,0,0,0,0,0,0,0,0,0,0.073,0,0,0,1
0.62,0,0,0,0,0,0,2.51,0,0,0,0,0,0,0,0,0,0.31,0.051,0,0.777,0,1
