@relation 'spambase-weka.filters.unsupervised.attribute.Remove-V-R7,11,16,18,21,23,25,28-29,32,35-36,38-39,42,47-48,50-51,55-58'

@attribute Word_freq_remove numeric
@attribute Word_freq_receive numeric
@attribute Word_freq_free numeric
@attribute Word_freq_email numeric
@attribute Word_freq_your numeric
@attribute Word_freq_000 numeric
@attribute Word_freq_hp numeric
@attribute Word_freq_650 numeric
@attribute Word_freq_lab numeric
@attribute Word_freq_857 numeric
@attribute Word_freq_85 numeric
@attribute Word_freq_technology numeric
@attribute Word_freq_parts numeric
@attribute Word_freq_pm numeric
@attribute Word_freq_meeting numeric
@attribute Word_freq_table numeric
@attribute Word_freq_conference numeric
@attribute Char_freq2 numeric
@attribute Char_freq3 numeric
@attribute Capital_run_length_average numeric
@attribute Capital_run_length_longest numeric
@attribute Capital_run_length_total numeric
@attribute Spam {1,0}

@data
0,0,0,0,2.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.652,31,107,1
0,0,0,0,2.11,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,35.461,95,461,1
0,0,3.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.352,0,4,11,36,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.966,10,59,1
0,0,0,4.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.7,5,17,1
0,0,1.28,0,1.28,1.28,0,0,0,0,0,0,0,0,0,0,0,0.181,0,3.071,9,43,1
0,0,0.43,0.86,0.86,0,0,0,0,0,0,0,0,0,0,0,0,0.147,0,2.81,61,222,1
0.7,0,2.83,0,1.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.153,3,30,1
0,0,0,0.5,0.75,0.15,0.05,0,0,0,0,0,0,0,0,0,0,0.036,0,2.379,96,583,1
0.16,0.16,0.16,0.8,0.64,0,0,0.16,0,0,0,0,0,0,0,0,0,0,0,5.709,149,982,1
0,0,0.66,0,0.33,1.66,0,0,0,0,0,0,0,0,0,0,0,0.06,0,5.428,21,304,1
0,0,0,0,0.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.333,11,63,1
0.08,0,0,0.08,3.17,0.34,0,0,0,0,0,0,0,0,0,0,0,0.081,0.027,4.07,48,574,1
0,0,0.38,0,1.15,0.38,0,0,0,0,0,0,0,0,0,0,0,0.061,0,3.923,78,255,1
0,0,0.96,0,0.48,0.96,0,0,0,0,0,0,0,0,0,0,0,0.133,0.066,3.315,61,242,1
0.32,0,0.32,0,3.26,0,0,0,0,0,0,0,0,0,0,0,0,0.105,0,1.494,10,139,1
