@relation spambase

@attribute Word_freq_make numeric
@attribute Word_freq_address numeric
@attribute Word_freq_remove numeric
@attribute Word_freq_mail numeric
@attribute Word_freq_receive numeric
@attribute Word_freq_report numeric
@attribute Word_freq_addresses numeric
@attribute Word_freq_credit numeric
@attribute Word_freq_hp numeric
@attribute Word_freq_hpl numeric
@attribute Word_freq_george numeric
@attribute Word_freq_lab numeric
@attribute Word_freq_data numeric
@attribute Word_freq_85 numeric
@attribute Word_freq_technology numeric
@attribute Word_freq_parts numeric
@attribute Word_freq_cs numeric
@attribute Word_freq_project numeric
@attribute Word_freq_re numeric
@attribute Word_freq_conference numeric
@attribute Char_freq2 numeric
@attribute Char_freq4 numeric
@attribute Capital_run_length_total numeric
@attribute Spam {1,0}

@data
0.08,0,0,0,0.25,0,1.69,0.16,0,0,0,0,0,0,0,0,0,0,0.08,0,0.101,0.356,1834,1
0.54,0,0,1.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.051,0,82,1
0,0,1.43,0.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.694,239,1
0.12,1.76,0.12,3.9,0.5,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0.379,0,507,1
0,0,0,0.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,145,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.24,0,0,0.328,141,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.48,0,0.083,0.502,247,1
0,0,0,0,0,0,0,0,0,0,0,0,2.12,0,0,0,0,0,0,0,0,0,45,1
0,1.32,0,0.75,0,0,0,0,0,0,0.18,0,0,0,0,0,0,0,0,0,0.08,0.295,239,1
0.1,0.5,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.037,5.942,724,1
0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11,26,1
0,0,0.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.96,0,0,0,0.824,118,1
0,0,0,0,0,0,0,0,0.68,1.36,0,0,0,0,0,0,0,0,0,0,0,0.309,32,1
0,0,0.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.48,0,0.081,0.486,236,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.291,3.79,87,1
0.37,0.75,0,1.88,0.37,0.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.197,1.248,998,1
0,0,1.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,1
0,0.55,0.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.255,1.191,202,1
1.23,0,0,0.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.057,0.52,446,1
0.65,0.49,0,0.49,0.16,0,0.16,0.49,0,0,0,0,0,0,0,0,0,0,0,0,0.231,0.925,595,1
0.47,0.31,0.05,0.76,0.26,1.26,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0,0.068,0.331,3043,1
0.16,0.16,0,0.84,0,0.33,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0.143,0.458,781,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.35,0,0,2.115,114,1
0,0.35,0,1.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.066,0,903,1
0,1.11,0,0,0.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.429,186,1
0,0.66,0.33,0,0.33,0,0,1,0,0,0,0,0,0,0,0,0,0,0.66,0,0.266,0.372,161,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.289,3.768,87,1
0.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.047,0,264,1
0.1,0.2,0.5,0.1,0.3,0,1.61,0.2,0,0,0,0,0,0,0,0,0,0,0.1,0,0.11,0.49,1351,1
0,0,0.96,0.48,0.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.149,0.149,150,1
0.72,0,1.45,0,0,0,0,1.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0.105,78,1
0,0,0.39,0.39,0,0,0,0,0,0,0,0,0,0.79,0,0,0,0,0,0,0,0.705,118,1
0,0,0.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.64,0,0.112,0,139,1
0.29,0,0,0,0.29,0,0,0,0,0,0,0,0,0,0.58,0,0,0,0,0,0,0,113,1
0,0,0,0.23,0.23,0,0,0.23,0,0,0,0,0,0,0,0,0,0,0,0,0.111,1.045,543,1
0.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,1
0,0,0,0,0,0,0,0.87,0,0,0,0,0,0,0,0,0,0,0,0,0.43,1.434,361,1
0.49,0.49,0.49,0,0,0,0,0,0,0,0,0,0,0,0.49,0,0,0,0,0,0.195,0.845,281,1
0,0,0.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.32,0,0.105,0,139,1
0,1.25,1.25,0,0,0,0,0,0,0,0,0,1.25,0,0,0,0,0,0,0,0,0.298,171,1
0,0,0.21,1.5,0,0,1.07,0.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0.465,869,1
0,0,0,0.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.56,0,0.102,0.615,137,1
0,0,0,0,0,1.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.395,329,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,0,0,0,0,0,0,0.1,0.376,427,1
