@relation 'ring-weka.filters.unsupervised.attribute.Remove-V-R4-5,10,14,18,20-21'

@attribute A4 numeric
@attribute A5 numeric
@attribute A10 numeric
@attribute A14 numeric
@attribute A18 numeric
@attribute A20 numeric
@attribute Class {0,1}

@data
-449,-8,1686,608,-1422,2374,1
6469,-1878,1813,61,-1042,-1196,0
-654,-795,-1563,1443,-1372,191,0
-3182,-1667,-1546,-124,-399,-1995,0
-392,-128,3066,-2735,-3348,3378,0
1203,-1804,-581,1486,875,817,1
-2165,258,2695,1227,1145,-1319,0
1244,-291,2322,481,679,1103,1
51,136,-35,728,945,963,1
-3387,-3786,-9,1879,-11,-1885,0
619,-1478,-1223,-452,-105,931,0
514,1186,-1555,1839,138,951,1
-1066,-174,1555,-1303,-1001,166,0
1954,346,-1309,608,2163,1419,0
3112,2844,-379,32,746,935,0
-18,-36,587,254,4546,2485,0
-107,168,369,-249,-671,-65,1
5,841,275,77,-456,1133,1
2254,2958,63,608,942,2319,1
534,1,-35,105,497,-518,1
2078,866,1102,1962,27,2257,1
936,-644,1281,-331,1272,-129,1
-194,-1886,-1517,57,-377,833,0
779,-396,813,632,8,961,1
-1015,904,-503,-1449,-145,2462,1
173,152,-1774,109,994,1256,1
-1103,127,913,-974,1805,-376,1
1344,78,-82,4055,-836,-381,0
-2109,-1148,-1917,174,-2365,-332,0
1274,244,1148,2238,308,1552,1
1007,-1344,1524,1874,-77,33,0
1131,133,234,828,581,-1646,1
956,-184,-1341,-1008,667,1693,1
-1379,-7,-414,2312,-753,605,1
92,414,-171,2904,-1592,512,0
-1343,-34,-638,-2748,-1735,173,0
824,421,-1731,37,1724,392,0
3471,1992,-6213,494,155,402,0
2364,131,9,636,676,666,1
-2455,781,192,1191,2981,243,0
1311,-42,-521,834,1357,601,1
916,-1035,-2164,1279,2081,-1896,0
1749,-2485,3804,-894,5323,718,0
-326,576,739,-1333,2074,359,1
2288,2,-169,-548,403,2302,1
-622,-32,491,2064,1944,1347,1
891,1129,3077,148,933,6,0
873,209,-358,2616,-754,-12,1
306,406,768,2475,506,97,1
126,662,-523,-1633,361,1244,1
288,1509,1959,-699,1526,213,1
1659,-242,553,-1258,2636,2079,1
1,215,-56,8,388,728,1
-213,325,-463,1013,1269,68,1
-2974,-635,453,-132,655,-1474,0
-17,518,-777,1673,-2187,403,1
2107,187,809,1057,558,1017,1
14,726,2684,-342,496,-954,1
1717,929,-16,-1254,1072,109,1
-2271,-486,1319,-338,-301,16,0
215,-53,1291,3,123,-654,1
279,1061,-187,-27,13,1917,1
166,824,925,1441,908,-82,1
-467,-1639,-123,-1142,-403,749,0
1706,-2139,-4459,-87,2106,-1642,0
303,-1278,5351,-1944,-4447,-579,0
598,-25,1792,-118,997,1711,1
211,-1039,659,501,464,-44,1
1168,-1146,-412,-1237,1043,417,1
-967,781,-803,-2228,1445,-728,0
208,-228,201,-863,-244,-1516,0
1006,-15,357,-93,52,1124,1
-188,-761,-5298,-2597,25,397,0
-179,114,39,282,173,236,1
77,-1552,389,-2044,1015,-203,0
277,148,1404,-121,1467,1016,1
626,-1022,288,-1146,-673,823,1
1668,147,87,1631,1184,2178,1
2118,108,1274,1638,-307,1018,1
-779,312,3398,1119,597,1368,1
1332,-1421,43,457,2348,-75,1
2264,276,141,157,2218,-674,0
439,-1191,193,-187,168,23,1
-4874,2064,182,1366,1466,-1355,0
-778,-78,1345,-521,739,39,1
1776,784,-559,-1936,2591,-3406,0
942,705,747,-22,-2015,-697,1
586,989,1628,-1048,323,-2032,0
-122,1131,-2782,2109,81,106,0
1311,-1365,3927,-706,4109,366,0
-864,2914,-888,375,3842,-332,0
1466,346,-243,-2347,-4036,-619,0
-3215,-513,-2722,-2362,-2737,846,0
-2173,-743,1402,-864,2523,3255,0
-2169,-1399,-204,1646,2672,629,1
227,706,127,-97,1418,568,1
1725,1905,-2175,-2435,1208,-3719,0
626,1191,1201,-678,609,-101,1
199,173,-807,1664,-729,744,0
1743,1392,-466,1287,753,-1,1
-23,21,2393,299,-2712,611,0
-2571,4223,-1325,26,2061,-276,0
102,846,1722,1336,-227,469,1
2453,-1125,-619,-3168,2076,1445,0
689,-12,-284,-453,-455,-274,1
-1694,1186,-3544,-2665,-269,226,0
1558,1355,1439,695,439,1961,1
-196,-2705,2956,3124,578,-1034,0
1035,1735,594,-213,1252,52,1
739,565,2489,-88,172,-1052,1
2674,-1238,-84,196,-249,-412,0
-274,151,92,-4076,1853,684,0
-148,676,-1466,1893,-1173,-104,0
-69,-2736,-335,-6069,-445,-129,0
-2915,-122,352,-1623,651,-4607,0
-1004,-598,1431,1746,698,377,1
-159,1806,1858,119,904,-454,1
702,-4687,-48,-2794,-535,-296,0
1326,-1179,-964,-834,1191,968,0
-22,-2134,1828,875,-3614,96,0
-145,-191,595,2623,-1185,-2619,0
1473,128,342,-1171,1167,1602,1
2025,-458,2016,-67,1055,931,1
952,-195,-457,39,1586,285,1
352,-275,-772,-43,455,-18,1
1621,903,-195,-16,1303,56,1
498,3187,1298,1066,6522,-2976,0
-1227,-1284,-5225,2726,-1622,-543,0
806,971,-1046,1645,2,1029,1
1061,-146,-801,1723,1706,1378,1
274,2058,3018,-1221,537,-14,0
278,-3575,-695,763,19,513,0
1159,826,-1735,3006,-1446,32,0
492,24,1185,474,986,799,1
-833,-1271,-272,-65,1277,-1243,0
52,656,2214,-1483,427,711,1
862,1718,2311,2712,895,936,0
1492,-2932,-3731,1262,536,1143,0
-45,-1622,1387,-1374,4673,-256,0
-67,382,1083,3154,-142,692,1
-234,817,-1251,-1281,-2566,-1246,0
62,83,2328,345,-312,-374,1
509,233,155,512,176,2965,1
1843,-1686,878,1212,1323,-429,1
-883,145,-163,444,1345,1161,1
-722,1036,-279,-753,-62,184,1
245,233,414,257,808,-48,0
-1378,1576,-1906,357,6811,3735,0
822,-392,1013,224,-3255,454,0
1028,984,2711,-1,-572,-1163,1
709,-106,1025,1612,772,-331,1
2087,1852,-1849,2258,1221,657,0
-124,365,-115,-1469,26,-3362,0
