@relation 'ring-weka.filters.unsupervised.attribute.Remove-V-R1,11,18,21'

@attribute A1 numeric
@attribute A11 numeric
@attribute A18 numeric
@attribute Class {0,1}

@data
-1443,221,-944,0
-984,-651,-826,1
1007,-381,-815,1
2212,-853,3215,0
2891,1971,-325,0
-179,1144,-343,1
-826,-3635,3987,0
-584,441,324,1
694,-148,-1091,1
-1171,-1195,1378,0
-2142,-281,3076,0
-1508,-1042,276,1
-296,132,213,0
-333,876,-84,1
1428,-123,-1371,1
-3424,2078,-3478,0
-4928,1222,7,0
958,-2209,3,1
-553,1035,722,1
-875,-1938,2387,0
-204,716,176,1
1725,112,1146,1
1294,-81,-555,1
-3502,-467,1924,0
1398,763,-616,1
-2209,3442,1506,0
1328,2746,4038,0
1028,-1494,-318,1
-3824,3353,-1201,0
349,767,155,0
917,143,762,1
1312,1404,196,1
1806,414,2049,1
-68,1575,-52,1
-352,-975,1968,1
-747,-799,-2492,0
214,1298,145,1
182,3489,-1251,0
-1555,-731,2462,0
209,1478,1689,0
-291,4391,-1321,0
2232,1364,27,1
405,398,632,0
2904,-1461,-656,0
2245,-1143,-569,1
173,2,105,1
-6,1354,-278,1
29,603,-2515,0
-975,2356,-169,0
-466,13,1135,1
-666,1944,-1219,1
2674,-2908,-801,0
134,2629,-1972,0
-56,1091,1821,1
1694,1464,43,1
-451,-111,378,0
1687,1579,2209,1
819,1797,-429,1
1795,-3252,-2395,0
57,155,1383,1
2249,-1411,-428,0
1539,-76,552,1
-1042,713,-74,1
-137,-175,-624,0
1162,-125,-372,0
-474,84,-553,0
-479,405,399,1
-5,-746,-1652,1
2097,1779,-4864,0
3626,-1175,-4959,0
1618,-316,2563,1
744,578,853,1
-572,1524,2262,1
-365,-321,-2284,0
-175,939,1968,1
891,836,-516,1
-25,505,416,1
1016,-61,-842,0
2539,651,-2482,0
-77,1389,-372,1
-2537,3205,1375,0
8,-752,601,0
666,1158,218,1
2671,-2183,3649,0
147,193,1911,1
-2461,1728,-1928,0
-2327,384,-89,0
-2196,-236,155,0
1479,883,1319,1
-305,-1,86,1
1925,812,2109,1
1566,3898,3573,0
-1516,-3091,1944,0
2588,1709,-892,0
-1051,1565,1453,1
-1668,1186,974,1
1623,1063,-822,1
-1825,-4042,-3526,0
963,542,58,1
177,-501,-233,0
1037,-418,1874,0
1109,707,-3108,0
-847,1313,1945,0
1857,912,-359,0
1421,1363,1988,1
239,791,236,1
4675,85,-3357,0
1072,-1083,1435,1
