@relation ring

@attribute A3 numeric
@attribute A6 numeric
@attribute A10 numeric
@attribute A12 numeric
@attribute A15 numeric
@attribute Class {0,1}

@data
2968,1301,-4479,1542,-68,0
832,1185,969,-2152,-1546,0
-2465,153,-1341,1258,-2153,0
-1502,2896,1076,3898,1054,0
2658,-3511,99,3751,2076,0
47,1321,-559,-207,-2734,0
975,-813,-172,1356,-1199,0
-372,24,913,87,406,0
1595,1305,-2142,-1362,3957,0
977,3976,-3673,1148,-486,0
-3853,-648,906,-1294,5022,0
-5162,-3573,17,3255,2014,0
-4088,499,-19,5641,-46,0
152,-1505,-652,37,1187,0
-2496,-1172,-454,-1542,198,0
-1058,-2409,-559,-1726,-14,0
944,172,52,1204,1637,0
-1068,965,18,2697,-1141,0
2781,511,-1348,-83,-1694,0
2693,-312,1746,3112,-237,0
988,-2264,946,1032,1343,0
-363,3949,18,1605,-1143,0
-3471,-1788,1878,998,-1399,0
3026,304,-2304,-1679,2586,0
3235,421,-1738,3322,-644,0
4398,188,141,-988,-831,0
-108,-499,499,2102,3964,0
2662,6099,-2328,-4142,-3186,0
16,-3833,-467,-1546,-3228,0
621,1904,-2698,-662,206,0
-937,674,1346,-1312,858,0
449,1493,942,68,4854,0
2164,-2771,1086,-55,-1592,0
-138,356,-639,89,2531,0
-4106,906,-1522,498,-4167,0
35,42,3033,-1284,2342,0
-1764,2003,3214,772,-1607,0
321,-897,-921,-619,856,0
-1617,-3078,-13,-3758,3,0
-48,1976,-376,-515,-381,0
1321,-2961,185,-701,4206,0
986,-954,13,-76,6672,0
-4232,-3498,1369,1955,-1872,0
2327,54,-814,-17,-2768,0
312,2713,2812,3461,1781,0
188,2412,-2472,-122,797,0
-101,1999,295,538,-1583,0
2703,697,-831,-2732,-1353,0
-416,16,-426,-3439,-53,0
935,-926,2043,-7395,1965,0
835,804,1809,205,-479,0
-1983,1068,2649,3686,1262,0
3488,378,2382,-2053,1932,0
623,-297,2359,-986,28,0
-1186,-133,-24,-367,-1636,0
-258,-3348,-562,-1648,546,0
-2087,3719,283,221,3268,0
-749,-1395,-1101,-752,2329,0
819,-1299,89,-348,2978,0
-2794,542,3419,6216,29,0
-1802,-707,-136,-529,4137,0
-186,-1798,-2581,3388,2013,0
-1477,1927,374,-188,48,0
-259,-361,-2217,-4051,67,0
