@relation 'ring-weka.filters.unsupervised.attribute.Remove-V-R3,6,10,12,15,21'

@attribute A3 numeric
@attribute A6 numeric
@attribute A10 numeric
@attribute A12 numeric
@attribute A15 numeric
@attribute Class {0,1}

@data
2071,-786,-341,4195,14,0
831,1739,-236,605,1964,1
1601,-1713,2,-51,-1293,1
-533,9,1889,-1129,303,0
-633,-335,1289,5856,-1547,0
1915,-728,211,1236,2515,1
48,604,329,1057,4745,0
33,-1236,72,-2654,1437,1
589,1297,1856,-821,-178,1
-3156,105,-2675,268,1167,0
582,-2136,1036,1723,-1929,0
-142,1039,419,2459,463,1
54,-4889,-863,-2251,-743,0
-357,-1221,1134,1832,1744,1
1582,-66,765,426,1794,1
1337,926,3462,-208,-2248,0
-3107,-2713,-1783,296,-2544,0
1056,-444,367,988,1005,1
1011,-96,22,209,366,1
-3821,-13,3198,-1247,545,0
-56,858,1273,1194,-539,1
-1126,1109,228,991,-1351,1
-514,594,1097,574,1107,1
-1011,-1404,421,954,-3042,0
335,-648,154,131,-99,1
2279,-1353,-2083,883,2648,0
-17,-236,717,3052,323,0
-684,77,-2504,229,-612,1
3834,-235,-1993,-1702,3261,0
301,-574,254,3094,222,0
653,641,243,-402,-94,1
1076,1624,295,1542,491,1
622,-267,168,1132,-308,1
979,747,736,332,-263,1
1479,-162,92,-1223,481,1
1972,-1517,27,643,1707,0
3448,2043,1055,-9,113,1
2029,514,887,-1894,697,0
1298,2488,883,-1103,-3155,0
-965,-3057,-388,-2621,-1427,0
-661,707,791,2971,1668,0
872,-204,2138,-917,-737,1
-769,413,1362,-1558,439,0
1429,-647,-4254,-244,-305,0
1352,-1171,-1754,-1086,-831,1
519,-593,-772,-675,1239,1
-2104,884,-243,1452,1099,1
-2653,885,978,307,1814,0
588,453,-2,-3936,2053,0
253,286,-1394,-592,122,1
-73,956,-326,232,875,1
2064,464,-1056,571,-75,0
-563,4404,67,1306,114,0
2782,175,518,1458,786,1
1996,597,17,-8,662,1
1079,-49,187,1033,2792,0
979,1156,-1534,961,1428,1
-864,1639,119,587,-968,1
1529,-833,-1932,438,1624,0
-1432,-446,-185,46,658,1
1575,-2668,-814,-1846,467,0
368,254,926,277,-57,1
1305,358,1542,856,908,1
-3396,-631,2972,-2811,66,0
79,2696,3261,-932,1443,0
628,-732,-775,-3248,-327,0
397,1419,2212,-146,1388,1
-1,-423,626,1825,569,1
4314,2588,553,618,46,0
-1422,48,2246,3199,1258,0
-1112,716,-455,489,16,1
-63,927,-427,785,-168,1
-764,371,-201,-577,-1622,1
-565,-1922,457,-407,1835,0
1,1189,-2558,-359,-1259,1
1374,-1324,-154,104,-1381,1
-141,-866,969,996,1263,1
1855,626,-1031,-2539,1394,0
-4965,1046,-1594,723,-1314,0
1542,-1463,2325,581,943,1
2764,256,-431,234,676,0
989,-1893,2122,712,-2564,0
1416,-218,269,-36,97,1
931,342,-3607,-1083,176,0
2038,1743,928,2036,1469,1
-302,-3699,-1042,2347,3102,0
-323,289,-221,-1153,-92,0
-2,-2159,-804,-2185,-64,0
208,917,1179,1464,547,1
1198,-172,-426,-193,564,1
826,1117,726,33,-562,1
-96,5,-2081,-1578,2311,0
-2748,-76,845,236,-259,0
279,2169,-2686,107,124,0
-796,1527,1298,-394,727,1
2393,618,-44,-126,2026,1
1923,-594,563,-182,1078,1
-3594,1263,358,-4568,3851,0
516,-79,984,942,-75,1
1898,1272,-1595,2892,685,0
2203,2056,1508,-957,711,0
-3101,-125,28,842,-224,0
4392,-112,195,-657,-1809,0
302,1656,166,667,-175,0
1793,699,1195,-83,237,1
934,-125,164,1399,832,1
1645,2037,2011,-2795,3163,0
-171,-262,515,371,-447,1
502,-347,1127,-605,-774,0
74,893,241,1737,-51,1
-1083,-223,1052,-44,1042,1
-1096,638,621,-26,-98,1
-2684,-2018,646,-2762,-405,0
-584,-1919,317,257,537,1
-259,1265,2296,-2555,1267,0
102,3057,1767,-1595,1968,0
438,1314,1956,639,-487,1
-3667,2985,-119,204,-714,0
-279,-724,143,92,138,1
225,206,535,616,47,0
-448,-913,224,-73,374,1
379,-106,3142,787,-3123,0
1236,69,-9,1608,-489,0
-221,2018,23,1513,359,1
1016,806,681,2002,715,1
-747,29,128,-1871,1254,1
1189,1197,-732,185,-1764,1
346,2035,1021,-1374,-67,1
712,1697,973,488,-633,1
836,1219,869,223,-92,1
258,239,-26,-296,1398,1
1811,3056,-504,-1669,-63,0
-3133,-622,1563,795,-301,0
-2668,223,-31,3337,479,0
-618,1336,2396,-548,642,1
-2025,2376,5051,-573,695,0
-1414,-1784,1808,2029,976,1
1849,1999,-48,-243,-489,0
1702,-114,811,-7,478,1
2332,-1222,84,9,-92,1
746,687,1613,1876,538,1
2664,-729,-67,444,1425,1
1526,916,758,-781,-175,1
764,198,1981,-1606,1782,0
1826,2808,-188,-392,-75,1
61,2493,318,-68,294,0
-2723,-116,-466,418,323,0
565,806,-284,1254,-1549,1
375,-1897,-1244,6282,3657,0
96,-825,1093,78,-1532,1
-3243,2155,4257,-2656,-2577,0
-2657,4051,2892,-3306,1217,0
1503,545,-504,-528,143,1
-1972,-1448,1898,1192,-1344,0
183,636,653,1078,671,1
708,375,102,1384,25,1
-586,959,1233,-43,-95,1
638,2713,-122,3466,-813,0
-2126,14,-1211,3247,-106,0
-2246,-685,-234,152,214,1
-501,-103,839,2187,719,1
1236,-3277,451,-478,-17,0
-1543,-2639,53,874,-175,0
-161,4266,845,-3141,-439,0
-2135,-143,-38,2494,4674,0
333,-418,1284,228,722,1
3498,2708,-2335,-552,-1936,0
237,-1622,1224,-568,1119,1
421,-909,-795,-4286,2033,0
794,1587,268,152,-1155,0
1663,73,-1651,-267,-239,1
4269,-2047,933,-1105,-73,0
-6077,3431,1581,829,534,0
2745,-424,-524,-1084,-562,1
124,-725,-282,-861,411,1
-1654,731,1174,-829,93,1
-932,544,1177,353,744,1
-2282,262,1222,-1124,1092,0
1421,831,766,-1304,1184,1
256,1189,147,1885,-45,1
-537,146,2641,621,782,1
-1038,333,685,631,2359,1
541,1185,-998,423,1545,1
-716,1336,-271,418,1084,0
249,-232,974,1182,-146,1
296,625,-656,114,933,1
-3762,1678,-867,1481,-861,0
74,667,992,2458,-166,1
1793,982,1223,387,498,1
-685,695,-2862,-1822,-2539,0
-1715,-1018,-971,2088,1677,0
55,911,773,-2022,932,1
305,-156,-1774,936,-2574,0
-1085,253,-1236,-4189,2695,0
-1515,-753,-16,1258,401,0
-283,1154,674,-359,-678,1
438,29,-46,-137,-731,1
1342,373,1004,989,352,1
2562,134,47,-672,-633,0
741,278,-4511,-4297,332,0
-25,501,-791,-26,-2136,0
2624,19,-2515,364,-2739,0
64,-405,632,921,-225,1
495,678,-2072,622,-1008,0
1537,35,1211,16,-1899,1
-1611,-3378,177,-2316,-414,0
457,1051,-1106,-2163,-1679,0
26,-372,2881,116,786,1
491,-2224,-1112,-131,153,0
512,-785,143,2,508,1
416,1439,809,754,1804,1
1125,2316,-1776,1803,696,0
253,502,2775,1649,-706,0
-744,-299,1614,1561,-262,0
-275,-1553,-1203,797,-47,1
2486,8,-232,2433,-1408,1
2566,718,1804,-804,712,1
1441,1689,2126,1157,-305,0
636,-2859,103,1163,-234,0
388,101,1148,2813,1474,1
-674,-303,116,257,221,0
105,-486,-1605,576,3356,0
74,118,1258,1038,-86,1
-521,1177,-2772,-3296,1547,0
74,-622,-458,-685,64,1
133,-1221,-205,1096,2607,1
-107,232,-159,-765,2777,0
-396,3208,2551,273,-1066,0
-4746,-163,4002,-475,-1071,0
491,1157,34,1039,-8,1
-3006,566,-564,1647,-655,0
1095,-4642,-3095,-11,1384,0
-1211,-864,767,249,2155,1
1777,756,843,1718,2957,1
1088,1321,-1065,2015,574,0
518,1036,-447,99,-912,1
-1762,-278,-471,-216,-447,0
2263,1361,96,1437,809,1
-1642,-2156,-99,3425,-1567,0
227,9,-1653,-1276,1649,1
1013,1534,-909,-247,285,1
-11,22,802,1982,258,1
2975,-2973,1894,171,-94,0
-1574,-857,383,-3041,1313,0
-205,558,286,918,461,1
-39,1549,-274,666,236,1
1637,2103,621,-6933,-48,0
-2031,-1809,1874,303,-203,0
-558,323,-97,67,2236,1
-3442,2216,-2406,829,993,0
509,-3801,-862,-1491,4768,0
-1518,279,1211,1965,1433,1
191,1384,1998,149,1597,1
27,2415,975,1668,-442,0
586,-1496,-506,-63,-1139,1
-1789,575,211,-1389,1814,0
463,-598,381,-867,182,0
1208,52,568,-1076,-207,1
-308,-948,643,-94,-1502,0
1012,-1456,1206,-1554,381,0
-382,-419,1304,1565,44,1
