@relation 'ring-weka.filters.unsupervised.attribute.Remove-V-R2,11,14-15,18,21'

@attribute A2 numeric
@attribute A11 numeric
@attribute A14 numeric
@attribute A15 numeric
@attribute A18 numeric
@attribute Class {0,1}

@data
1374,-111,587,-744,-476,1
878,481,782,1219,221,1
1352,606,258,24,142,1
1177,-418,512,-634,-502,1
-639,-74,-183,281,1403,0
453,3709,-88,948,618,0
2911,623,749,-322,127,1
1841,-1789,46,117,-2997,0
1061,-29,463,1383,712,1
1462,1035,-258,28,154,0
-3234,216,-2175,4215,2063,0
954,1453,76,191,1447,1
1305,131,123,-1073,-43,1
1066,603,536,281,1372,1
373,64,1299,1822,928,1
-2282,4217,-1661,715,1126,0
797,1776,579,-855,248,1
1665,-1308,1203,1212,2427,0
1142,-1038,-298,302,-131,1
214,436,588,5,494,1
186,1706,1114,-52,-886,0
-946,-412,782,-12,-168,1
678,1733,-758,273,-15,1
488,584,-613,-1833,873,1
3923,-1769,1987,-1666,-3535,0
195,2095,-2,259,-1957,0
-1665,-2027,2181,949,522,0
2782,-155,527,88,4897,0
1101,1675,-494,286,-237,1
219,1426,-1423,-3498,-1237,0
1214,734,722,717,256,1
-684,-3042,-4945,-335,-211,0
-507,1634,131,1293,228,1
-1125,-78,894,985,899,1
-3616,4105,-1053,-219,-81,0
-527,-25,1039,-9,5,1
1052,434,488,1156,831,1
-402,1842,1171,204,407,1
-782,1837,-416,26,-391,1
-1851,-719,1092,1081,201,1
4048,-138,-1503,62,405,0
-1723,1493,2114,-831,398,0
1486,1151,-616,2,-203,1
327,-663,-704,643,619,1
1127,-28,375,472,-2549,0
-1817,-2825,1264,1349,-3663,0
1058,1593,-2855,-886,1352,0
1896,776,384,1054,367,0
-532,-505,1743,713,-136,1
1037,1652,1258,372,-111,1
727,965,1808,-107,413,1
2179,1155,-2466,485,882,0
-1227,2566,-179,1032,1716,0
396,2458,127,-962,1258,0
-62,-684,2493,-3108,-2212,0
-25,-846,-49,3046,-626,0
-772,1314,-1132,1258,775,1
-8,1553,-67,1352,-366,1
-842,73,1202,-1416,27,0
-575,2008,152,531,-2042,0
-131,816,774,2263,-157,0
55,162,895,-422,244,1
-2886,1234,-1211,-539,2433,0
-792,-1215,-134,-733,-2959,0
36,1278,1421,-219,153,1
971,1071,964,56,974,1
682,-2169,1565,316,-72,1
1591,-172,1598,-2017,2846,0
-181,845,-596,-222,103,1
-527,4555,1265,-2,-1775,0
2334,348,1589,105,1348,1
-2868,-2667,1542,1407,262,0
-269,585,-328,1807,1024,1
1754,3358,2421,-1053,382,0
2714,6,-193,-5012,-545,0
-2775,-503,386,1544,1975,0
1973,82,132,-997,-2185,0
1096,713,-143,554,1574,1
-654,1994,2037,1521,3511,0
-203,-1059,86,1076,1094,1
-1248,334,1021,-54,134,1
65,375,-1081,-2098,1613,0
1906,-41,2334,628,309,1
808,-1023,-1782,459,985,1
-713,-1018,-1315,-365,2622,1
408,145,2103,2395,-532,1
738,1543,72,-337,806,1
1,-365,1977,-74,1753,1
-946,684,1183,1,501,1
55,2,163,39,14,1
2522,478,3083,-2732,-1048,0
4,1356,404,2096,1221,1
386,341,391,113,394,1
222,3573,115,-437,2058,0
905,-45,657,61,121,1
-4045,3656,-3383,-463,2895,0
1524,1075,-2886,-292,1632,0
2532,-824,1418,1524,-427,0
-2125,-873,1897,-728,-1306,0
1567,1139,475,1172,1459,1
607,222,-404,2345,73,1
2814,-596,2316,1414,322,0
-1714,-1348,107,1799,-3946,0
-185,-394,-916,-1584,113,0
-96,-1881,115,-88,2849,0
-5794,57,713,-909,7,0
747,3333,-907,-1766,2084,0
-2536,1208,-134,1086,1332,1
1889,-5033,-138,1276,-118,0
1337,-97,-277,-306,1239,0
3953,168,-134,-1623,-3176,0
-5,235,1724,-222,-133,1
168,-109,-396,1874,-349,0
134,1313,-986,1734,-562,0
-158,595,1332,1787,-1637,1
3538,2662,-859,852,-1824,0
87,13,278,-105,-814,0
34,1662,423,-578,2014,1
989,-1977,-229,-626,-1342,0
-1486,-518,-1409,404,1769,0
-22,1317,-2233,1074,729,0
1552,1613,426,1196,-546,0
-903,94,3156,-1728,2988,0
-362,3429,682,-4394,2115,0
-187,-118,507,152,464,1
-1438,421,12,212,-534,1
1056,-1789,-4506,1035,1367,0
9,1132,728,503,-1088,1
953,-14,1017,1378,164,1
2891,-1922,-4842,1659,-2343,0
744,38,1031,-1083,138,1
-386,599,1426,1388,2105,1
-513,855,363,-1271,134,1
236,267,657,899,-257,1
787,519,568,-1294,592,1
-461,408,33,-66,712,0
2054,2874,3223,2039,-2171,0
1448,1308,608,517,419,1
1329,2059,117,-2146,2566,0
-4837,5,2786,1606,-443,0
-883,-41,-532,-716,-1998,0
-201,-83,-91,2348,2104,0
74,-188,935,-1101,-135,1
805,1678,-2132,119,2476,0
828,247,179,917,601,1
-1405,3226,2569,-1111,-94,0
-369,1548,1113,1744,-727,1
-1462,774,-1598,241,2862,0
2105,44,-501,391,617,1
-848,1282,-24,801,988,1
1615,468,-1685,201,-475,1
142,-149,8,1623,77,1
2688,51,142,1725,-1012,0
-199,751,-1759,-854,647,1
2642,183,108,808,101,1
-319,-1177,-1652,481,-2154,1
2282,2482,-115,115,77,1
739,412,318,33,-1075,1
1194,637,1773,229,1519,1
-1309,-2002,-1656,-63,83,0
1798,2328,195,-1268,-762,1
794,-965,-2183,476,1292,0
808,496,557,1842,-985,1
1366,868,366,-154,-2895,0
1188,4452,1392,1031,-3321,0
2296,894,729,-9,-392,1
226,2197,-831,-103,2407,0
4,354,623,1222,-437,0
-56,1116,12,3441,537,1
1559,-361,1814,1466,407,1
-1008,1984,-992,128,211,0
655,-56,549,1186,2467,1
2055,588,405,725,1972,1
