@relation ring

@attribute A4 numeric
@attribute A5 numeric
@attribute A10 numeric
@attribute A14 numeric
@attribute A18 numeric
@attribute A20 numeric
@attribute Class {0,1}

@data
19,153,-5982,-2464,-274,-1099,0
-4482,-2943,1195,714,-3561,-2661,0
452,-2486,-257,4879,-1784,2549,0
-1787,-1815,-134,-885,-4458,-662,0
-473,-2267,1617,766,-103,3496,0
-387,-2798,-1512,-2473,2512,428,0
148,264,-1621,-365,136,-1167,0
14,433,182,-1032,-879,1314,0
857,1722,-1484,-937,-1687,2924,0
-678,1202,2023,-419,891,-242,0
341,284,3897,-1645,2984,632,0
1035,1083,2006,-684,-3554,1984,0
246,-4283,-791,1776,2393,92,0
2873,-1752,1662,-2211,-106,391,0
4713,1252,-1445,-4377,-615,1634,0
-1167,-626,5541,-16,969,-1016,0
-635,565,-243,4423,213,884,0
2713,121,-585,646,1222,2154,0
1869,-2092,1348,1928,1885,-439,0
7,874,-814,-837,171,136,0
-511,-1295,-3221,1841,266,817,0
293,-702,154,1395,563,-342,0
682,878,-3588,1242,-3327,1711,0
2671,154,-136,1716,1374,-44,0
758,-938,3605,336,-846,-2762,0
-2698,-1492,144,2812,1721,-802,0
152,-205,3548,388,-2573,-383,0
-3633,694,1081,-1195,-712,-391,0
-743,497,343,-2012,1763,414,0
18,-736,3019,-2237,1083,424,0
3575,52,-1171,-2042,1725,-1343,0
-1893,-1637,18,3591,524,-16,0
-48,1471,1191,-1043,1664,644,0
-429,-2069,4225,-198,-399,3762,0
-204,312,3956,119,29,1884,0
1397,342,-1496,-1111,802,1064,0
-256,-3009,1873,1208,35,-2599,0
-2057,-1229,-999,1505,2089,-3647,0
174,401,541,4397,-475,1718,0
-1877,-3879,4381,3568,1721,-2036,0
-1214,88,-3317,1284,896,-598,0
-3265,-3024,-4186,-859,-1824,3194,0
-721,227,-1562,-3,4,-216,0
-2743,2497,-962,-23,4467,-232,0
-2988,224,1979,1421,1977,-123,0
3504,266,993,-2251,847,594,0
-1738,824,56,-3278,2004,-759,0
787,616,-1577,-1574,-38,3366,0
-2714,23,4067,344,-2434,3372,0
1905,2502,-43,-383,-96,-1249,0
3172,-794,3472,-3524,-997,-2713,0
-1897,-663,-507,-1769,-2133,-1445,0
-2,537,1916,2007,-1074,3129,0
-1908,2584,-698,-1386,4564,-2298,0
-38,-1789,-1017,-1438,-2458,-564,0
183,1886,-4276,261,-4474,4363,0
2,-1452,1422,-2081,-218,442,0
1232,275,554,705,-202,-4347,0
-316,-94,3072,1479,1838,-3028,0
-6,1458,276,-433,-1018,-525,0
-1067,1024,-289,-1774,-58,1425,0
3002,3742,-11,1442,-382,-431,0
-19,-2322,3122,-2013,1007,1547,0
243,-746,-2449,397,2044,727,0
3007,-2031,42,463,1299,-1214,0
522,-1675,-5906,-2544,-299,2645,0
-4259,-1497,-412,3664,1057,-3861,0
5261,-2666,-106,-1967,4427,-2306,0
128,624,-17,-2296,-1918,-1439,0
21,-25,-2771,-73,2479,-137,0
-325,-676,-143,-3678,-275,62,0
-231,1695,366,-553,204,591,0
-39,-77,2247,-19,243,822,0
-84,-2072,293,1138,74,424,0
-126,1085,1401,2868,-2143,-431,0
-1896,161,-3914,-1583,529,-74,0
-614,-46,-2675,2906,1378,912,0
17,512,-956,-236,1352,-752,0
1389,-2464,-2602,-665,-3167,4624,0
-799,302,-3015,2666,-1992,66,0
1282,2406,1919,-437,-417,-341,0
-392,-1784,-969,2071,6,-12,0
-2494,-501,1453,-532,-1998,-1437,0
-1186,1162,-1114,2226,643,75,0
2726,-533,199,-792,1413,-297,0
-3266,4034,-3042,-438,-301,-1378,0
1897,-4637,-448,8,-821,-13,0
-2455,-465,-999,1929,1516,-153,0
42,-3247,-2613,1183,-349,2829,0
-1985,-125,4196,-157,-1745,-1049,0
-843,39,1894,312,-1349,262,0
-336,-286,-3989,392,-1511,-4625,0
-76,-32,-405,-2185,-517,-3829,0
