@relation 'ring-weka.filters.unsupervised.attribute.Remove-V-R7-9,21'

@attribute A7 numeric
@attribute A8 numeric
@attribute A9 numeric
@attribute Class {0,1}

@data
911,136,-489,1
-12,471,143,0
-21,2762,356,0
-2164,-1767,-1045,0
78,-6164,-3252,0
738,-101,1266,1
-1116,-537,-3795,0
2326,-66,1217,1
-383,-1535,-639,0
-1148,-218,-192,0
2129,544,2487,1
468,98,-596,1
429,-634,586,1
2347,1056,617,0
-2822,1696,-2702,0
94,-3457,4318,0
-2,1056,818,1
-1025,546,825,1
148,-13,1694,1
755,-678,-208,1
-1649,-511,101,0
783,2051,-552,1
2004,-1267,-686,0
2146,897,594,1
923,2074,446,1
865,-458,989,0
301,808,-327,0
-399,1039,-5679,0
-1317,-2795,-592,0
105,-585,4246,0
-2664,-139,1019,0
365,-932,2029,0
71,1217,751,1
1337,-214,-193,1
-182,-2469,2045,0
-672,342,1222,1
973,326,982,0
-563,-2698,-2644,0
1383,-5,736,1
693,-132,679,1
857,1169,412,1
574,-1617,2724,1
-738,663,291,1
1284,-84,-836,0
1008,247,-563,1
-315,-1495,-404,1
2428,-197,-442,0
-355,-2903,4222,0
169,133,46,1
-356,-1014,952,1
743,-528,-753,1
998,-793,11,0
-137,745,664,1
214,4222,596,0
104,-3913,3116,0
-891,1,454,1
-59,-246,1686,0
1181,824,1287,1
1236,-2758,1312,0
1001,19,1099,1
1225,298,1553,1
-826,-4506,2208,0
1333,1581,-5093,0
-33,1713,88,1
2347,871,-577,0
329,-1353,123,0
554,-4022,1199,0
-1856,2945,-2152,0
-187,1129,-403,1
449,-525,-243,1
-1264,-274,-2832,0
808,948,-382,1
-759,257,-4923,0
2801,1983,168,1
404,-498,-697,0
2725,154,1815,0
2843,-1816,1566,0
2692,2433,-4078,0
-3261,-2523,329,0
39,-413,-457,1
369,-1277,864,1
593,-354,1466,1
724,-33,-1912,0
-158,798,-2302,0
35,31,1289,1
-2214,-2471,-493,0
-255,-1429,-203,1
1487,-2582,-268,0
-91,-2642,-1427,0
-277,824,2471,0
-483,-357,-458,1
341,1402,452,0
122,-135,-2245,1
816,668,1993,1
841,1382,1091,1
1717,204,188,1
2343,2812,-2075,0
952,-1463,-2118,0
216,408,-224,1
-29,-206,-144,1
-1171,-2016,3015,0
-2,-866,1586,1
-538,1812,-1372,1
-449,2489,-863,0
-1683,-1647,77,0
-737,681,-585,1
3115,64,-3107,0
-3255,-1772,-2546,0
-867,-566,-132,1
-4182,-211,-1857,0
1715,-259,2881,0
-2037,1157,-53,0
36,2507,1096,1
1628,-2628,1398,0
111,-3646,196,0
-1365,568,2287,1
-235,1074,1877,1
132,108,-106,0
-2291,-21,-138,0
-2546,-2208,2823,1
-624,-1502,-182,0
2588,841,562,1
-2314,-2938,3316,0
48,2676,79,0
-228,222,538,1
-303,112,1614,0
2194,-19,-794,0
-54,1008,2782,0
-729,-721,-503,0
1087,3584,867,1
1411,-1567,-3712,0
1573,724,-105,1
289,9,2152,1
1072,-56,928,1
-1991,928,751,0
1018,104,-1153,1
859,888,-254,1
-902,-613,-228,1
-18,2081,1916,1
208,986,82,1
174,-106,1028,1
664,533,606,1
473,1478,-2261,0
-1541,286,-729,0
1508,1252,-2762,0
-341,853,-34,1
-49,652,-2146,0
-351,395,34,1
2141,-846,-562,0
438,-317,-252,1
1525,3138,3339,0
1632,1727,1851,0
-1502,3065,-149,0
2105,-1863,-1331,0
615,-2051,1101,0
184,1268,1273,1
3211,3781,-265,0
-1835,-746,3476,0
-3703,311,-65,0
-1182,-23,-286,0
93,951,-472,1
1341,201,-1459,0
-3129,157,-1027,0
204,132,285,1
1258,1118,497,1
-1943,-139,-1158,0
-2788,-985,3658,0
-124,-163,2151,1
-422,196,-424,1
-224,1777,-885,0
1101,821,269,1
181,115,1665,0
-979,-2133,592,0
1861,31,12,1
94,16,2893,1
-365,1118,-525,0
36,1034,1298,0
-3506,-95,3405,0
-693,103,682,0
75,-13,88,1
112,473,-3509,0
879,-2364,1551,0
-144,1466,373,1
916,74,2378,1
878,1619,301,0
2465,928,491,1
939,1138,672,1
2073,3522,-11,0
644,1233,-325,1
172,-428,-1334,1
382,1869,-773,1
2134,-1853,289,1
1869,-2106,-388,0
943,308,-1029,1
