@relation ecoli

@attribute Mcg numeric
@attribute Alm1 numeric
@attribute Site {cp,im,imS,imL,imU,om,omL,pp}

@data
24,34,cp
3,41,cp
18,24,cp
65,3,cp
21,28,cp
4,27,cp
39,34,cp
26,26,cp
27,38,cp
5,23,cp
56,37,cp
34,49,cp
44,52,cp
32,6,cp
43,28,cp
26,32,cp
38,2,cp
16,27,cp
61,35,cp
34,35,cp
51,14,cp
36,22,cp
29,23,cp
35,34,cp
25,33,cp
51,34,cp
47,16,cp
28,22,cp
48,25,cp
17,37,cp
51,31,cp
36,45,cp
44,46,cp
5,46,cp
43,31,cp
44,52,cp
4,22,cp
25,42,cp
42,15,cp
24,28,cp
4,35,cp
25,32,cp
31,5,cp
25,26,cp
52,36,cp
53,26,cp
23,25,cp
34,34,cp
33,32,cp
24,19,cp
4,33,cp
4,22,cp
36,32,cp
23,53,cp
52,47,cp
44,25,cp
37,36,cp
36,47,cp
7,35,cp
44,27,cp
29,23,cp
21,32,cp
41,2,cp
49,24,cp
47,33,cp
44,33,cp
27,28,cp
22,39,cp
59,45,cp
34,35,cp
42,27,cp
54,33,cp
17,42,cp
36,38,cp
22,16,cp
3,21,cp
53,29,cp
42,26,cp
34,31,cp
0,48,cp
38,25,cp
34,24,cp
35,4,cp
41,21,cp
24,23,cp
67,38,cp
25,33,cp
41,31,cp
22,29,cp
4,49,cp
23,33,cp
38,29,cp
44,26,cp
43,35,cp
37,42,cp
64,35,cp
35,3,cp
25,17,cp
4,35,cp
57,28,cp
29,42,cp
43,45,cp
34,35,cp
23,26,cp
23,28,cp
25,44,cp
34,37,cp
65,37,cp
29,44,cp
37,39,cp
42,34,cp
47,2,cp
42,18,cp
17,3,cp
3,22,cp
29,29,cp
51,36,cp
39,24,cp
41,24,cp
2,51,cp
4,39,cp
32,28,cp
4,29,cp
26,25,cp
28,33,cp
33,18,cp
61,35,cp
31,28,cp
7,86,im
48,77,im
45,74,im
61,67,im
59,8,im
2,78,im
5,92,im
49,79,im
52,71,im
34,76,im
4,82,im
31,84,im
34,85,im
6,67,im
61,87,im
6,81,im
61,8,im
39,72,im
29,65,im
47,76,im
63,67,im
63,85,im
27,77,im
34,9,im
71,7,im
52,76,im
35,71,im
36,79,im
0,67,im
71,1,im
41,75,im
31,79,im
36,69,im
7,78,im
44,47,im
74,88,im
63,82,im
51,62,im
3,61,im
68,75,im
33,65,im
72,66,im
83,71,im
74,65,im
5,64,im
58,87,im
69,76,im
63,73,im
58,7,im
73,91,im
37,76,im
54,81,im
33,88,im
47,71,im
6,92,im
16,39,im
54,87,im
12,7,im
48,78,im
89,72,im
12,58,im
23,88,im
31,94,im
5,61,im
46,86,im
46,76,im
43,75,im
55,78,im
48,9,im
1,67,im
63,76,imS
85,52,imS
75,47,imL
64,61,imU
66,7,imU
69,74,imU
79,66,imU
76,59,imU
87,76,imU
64,73,imU
84,78,imU
47,74,imU
81,78,imU
63,77,imU
73,75,imU
57,49,imU
79,81,imU
81,87,imU
62,79,imU
84,92,imU
63,72,imU
72,77,imU
58,73,imU
75,7,imU
86,89,imU
49,71,imU
76,71,imU
7,86,imU
78,73,imU
88,73,imU
77,78,imU
83,76,imU
86,81,imU
81,67,imU
79,82,imU
67,5,om
64,33,om
71,43,om
68,45,om
69,39,om
77,53,om
67,54,om
74,53,om
75,57,om
78,4,om
73,58,om
74,54,om
63,45,om
68,4,om
63,41,om
52,38,om
56,36,om
61,33,om
68,55,omL
77,54,omL
71,59,omL
67,58,omL
7,52,pp
67,49,pp
63,39,pp
56,37,pp
64,42,pp
68,65,pp
7,84,pp
63,51,pp
69,5,pp
67,37,pp
74,49,pp
64,45,pp
69,39,pp
62,49,pp
69,48,pp
68,4,pp
63,31,pp
32,28,pp
61,39,pp
62,36,pp
63,7,pp
71,54,pp
64,39,pp
65,47,pp
66,41,pp
63,44,pp
75,52,pp
59,42,pp
71,35,pp
74,53,pp
64,36,pp
7,51,pp
64,39,pp
74,68,pp
72,55,pp
63,4,pp
66,38,pp
74,57,pp
76,39,pp
67,45,pp
63,47,pp
66,5,pp
68,44,pp
74,54,pp
69,44,pp
73,51,pp
57,47,pp
