@relation ecoli

@attribute Gvh numeric
@attribute Chg numeric
@attribute Alm2 numeric
@attribute Site {cp,im,imS,imL,imU,om,omL,pp}

@data
41,5,34,cp
48,5,48,cp
42,5,27,cp
54,5,33,cp
45,5,32,cp
48,5,29,cp
31,5,39,cp
47,5,39,cp
36,5,44,cp
49,5,36,cp
47,5,42,cp
46,5,44,cp
46,5,56,cp
3,5,17,cp
37,5,3,cp
4,5,35,cp
37,5,43,cp
37,5,44,cp
4,5,3,cp
49,5,4,cp
55,5,28,cp
38,5,36,cp
29,5,44,cp
51,5,41,cp
26,5,28,cp
28,5,34,cp
56,5,54,cp
5,5,41,cp
28,5,5,cp
35,5,61,cp
35,5,27,cp
42,5,35,cp
57,5,32,cp
44,5,42,cp
28,5,37,cp
29,5,35,cp
42,5,43,cp
37,5,45,cp
54,5,43,cp
44,5,31,cp
37,5,49,cp
51,5,46,cp
4,5,38,cp
31,5,43,cp
4,5,42,cp
38,5,43,cp
52,5,46,cp
39,5,23,cp
34,5,4,cp
52,5,39,cp
43,5,41,cp
39,5,41,cp
49,5,26,cp
39,5,39,cp
57,5,54,cp
42,5,2,cp
23,5,14,cp
32,5,52,cp
38,5,5,cp
34,5,39,cp
51,5,31,cp
3,5,39,cp
28,5,44,cp
51,5,34,cp
49,5,53,cp
4,5,52,cp
44,5,57,cp
43,5,37,cp
38,5,55,cp
46,5,29,cp
43,5,28,cp
42,5,43,cp
43,5,25,cp
33,5,44,cp
26,5,35,cp
34,5,43,cp
51,5,5,cp
41,5,46,cp
36,5,38,cp
45,5,35,cp
4,5,39,cp
42,5,41,cp
27,5,58,cp
45,5,0,cp
29,5,43,cp
33,5,33,cp
35,5,56,cp
4,5,37,cp
34,5,27,cp
44,5,47,cp
56,5,53,cp
52,5,36,cp
45,5,41,cp
3,5,39,cp
47,5,4,cp
48,5,51,cp
32,5,35,cp
46,5,41,cp
38,5,42,cp
39,5,46,cp
42,5,38,cp
3,5,36,cp
5,5,35,cp
45,5,41,cp
43,5,38,cp
47,5,29,cp
36,5,47,cp
51,5,46,cp
26,5,42,cp
16,5,23,cp
47,5,34,cp
5,5,45,cp
4,5,46,cp
57,5,43,cp
37,5,52,cp
32,5,35,cp
54,5,46,cp
28,5,25,cp
58,5,59,cp
47,5,26,cp
44,5,33,cp
33,5,43,cp
41,5,54,cp
43,5,4,cp
35,5,42,cp
35,5,59,cp
37,5,36,cp
37,5,42,cp
43,5,59,cp
7,5,69,im
46,5,81,im
67,5,79,im
44,5,74,im
5,5,86,im
51,5,48,im
35,5,79,im
43,5,74,im
61,5,87,im
36,5,92,im
55,5,74,im
48,5,89,im
4,5,83,im
46,5,83,im
45,5,17,im
5,5,68,im
61,5,71,im
41,5,88,im
34,5,81,im
75,5,66,im
59,5,23,im
4,5,78,im
46,5,73,im
55,5,75,im
56,5,82,im
5,5,84,im
41,5,75,im
52,5,52,im
54,5,79,im
37,5,74,im
39,5,79,im
51,5,34,im
51,5,78,im
49,5,88,im
58,5,73,im
42,5,81,im
45,5,8,im
36,5,94,im
47,5,8,im
47,5,69,im
56,5,8,im
67,5,63,im
39,5,73,im
49,5,8,im
66,5,88,im
55,5,76,im
4,5,67,im
4,5,77,im
46,5,7,im
51,5,78,im
51,5,74,im
4,5,74,im
53,5,66,im
65,5,71,im
47,5,32,im
52,5,54,im
37,5,69,im
37,5,69,im
57,5,66,im
52,5,99,im
54,5,81,im
66,5,92,im
49,5,71,im
51,5,44,im
57,5,83,im
47,5,72,im
5,5,8,im
45,5,89,im
44,5,82,im
49,5,79,imS
53,5,35,imS
39,5,84,imL
55,1,3,imL
46,5,77,imU
48,5,74,imU
54,5,7,imU
53,5,88,imU
46,5,76,imU
37,5,74,imU
42,5,81,imU
48,5,79,imU
6,5,76,imU
42,5,79,imU
49,5,74,imU
45,5,66,imU
54,5,68,imU
55,5,83,imU
38,5,33,imU
29,5,77,imU
41,5,62,imU
61,5,74,imU
33,5,79,imU
55,5,74,imU
26,5,78,imU
36,5,7,imU
43,5,77,imU
52,5,8,imU
53,5,87,imU
42,5,8,imU
51,5,76,imU
42,5,75,imU
71,5,75,imU
37,5,68,imU
44,5,68,imU
76,5,3,om
9,5,29,om
88,5,25,om
76,5,52,om
68,5,45,om
71,5,36,om
57,5,2,om
76,5,27,om
84,5,29,om
51,5,33,om
69,5,28,om
81,5,38,om
75,5,33,om
84,5,37,om
59,5,21,om
57,5,26,om
49,5,28,om
63,5,3,om
46,5,3,omL
55,5,16,omL
49,5,28,omL
49,5,36,omL
57,5,1,omL
74,5,52,pp
86,5,32,pp
73,5,39,pp
61,5,43,pp
57,5,32,pp
8,5,26,pp
54,5,3,pp
59,5,52,pp
66,5,25,pp
39,5,48,pp
83,5,4,pp
47,5,42,pp
49,5,36,pp
78,5,42,pp
71,5,85,pp
81,5,25,pp
61,5,37,pp
59,5,56,pp
82,5,41,pp
71,5,39,pp
74,5,43,pp
86,5,36,pp
81,5,44,pp
71,5,35,pp
78,5,38,pp
7,5,33,pp
66,5,2,pp
64,5,47,pp
86,5,34,pp
72,5,19,pp
59,5,33,pp
61,5,38,pp
57,5,51,pp
83,5,19,pp
65,5,35,pp
81,5,23,pp
67,5,24,pp
65,5,41,pp
67,5,34,pp
78,5,31,pp
86,5,21,pp
71,5,39,pp
1,5,49,pp
84,5,33,pp
57,5,2,pp
56,5,3,pp
