@relation ecoli

@attribute Alm1 numeric
@attribute Site {cp,im,imS,imL,imU,om,omL,pp}

@data
35,cp
3,cp
31,cp
26,cp
29,cp
24,cp
34,cp
28,cp
45,cp
29,cp
26,cp
3,cp
24,cp
16,cp
28,cp
2,cp
32,cp
55,cp
26,cp
25,cp
29,cp
3,cp
52,cp
39,cp
27,cp
32,cp
31,cp
2,cp
16,cp
35,cp
35,cp
3,cp
42,cp
34,cp
16,cp
32,cp
35,cp
37,cp
2,cp
33,cp
35,cp
29,cp
35,cp
37,cp
21,cp
38,cp
4,cp
46,cp
48,cp
23,cp
23,cp
29,cp
45,cp
38,cp
37,cp
42,cp
53,cp
23,cp
42,cp
33,cp
26,cp
18,cp
22,cp
45,cp
28,cp
44,cp
11,cp
3,cp
33,cp
25,cp
32,cp
38,cp
22,cp
22,cp
33,cp
47,cp
44,cp
24,cp
49,cp
24,cp
26,cp
28,cp
5,cp
34,cp
23,cp
49,cp
47,cp
3,cp
46,cp
51,cp
39,cp
15,cp
41,cp
26,cp
6,cp
35,cp
35,cp
24,cp
33,cp
28,cp
36,cp
14,cp
27,cp
25,cp
39,cp
27,cp
32,cp
34,cp
44,cp
19,cp
38,cp
18,cp
34,cp
28,cp
36,cp
27,cp
52,cp
28,cp
42,cp
35,cp
25,cp
36,cp
52,cp
37,cp
21,cp
35,cp
33,cp
18,cp
22,cp
82,im
78,im
78,im
76,im
9,im
87,im
75,im
84,im
77,im
86,im
7,im
71,im
78,im
76,im
65,im
79,im
61,im
71,im
78,im
66,im
67,im
1,im
61,im
87,im
67,im
75,im
77,im
76,im
72,im
71,im
47,im
75,im
92,im
64,im
66,im
79,im
94,im
71,im
9,im
79,im
67,im
92,im
77,im
81,im
58,im
65,im
88,im
74,im
79,im
8,im
88,im
85,im
76,im
65,im
62,im
86,im
67,im
8,im
72,im
82,im
73,im
91,im
88,im
76,im
69,im
7,im
81,im
39,im
67,im
76,imS
52,imS
47,imL
82,imL
7,imU
73,imU
49,imU
77,imU
78,imU
74,imU
7,imU
74,imU
67,imU
73,imU
89,imU
86,imU
78,imU
73,imU
71,imU
79,imU
66,imU
81,imU
76,imU
72,imU
75,imU
71,imU
81,imU
87,imU
73,imU
92,imU
59,imU
61,imU
78,imU
82,imU
64,imU
75,imU
45,om
43,om
39,om
33,om
53,om
38,om
36,om
58,om
33,om
54,om
5,om
54,om
4,om
54,om
4,om
41,om
59,om
45,om
58,omL
55,omL
56,omL
54,omL
36,pp
38,pp
45,pp
47,pp
84,pp
52,pp
39,pp
35,pp
55,pp
39,pp
7,pp
42,pp
51,pp
42,pp
49,pp
49,pp
51,pp
4,pp
48,pp
53,pp
65,pp
5,pp
44,pp
57,pp
44,pp
39,pp
68,pp
28,pp
4,pp
51,pp
49,pp
4,pp
5,pp
39,pp
47,pp
47,pp
41,pp
31,pp
54,pp
42,pp
52,pp
44,pp
54,pp
37,pp
39,pp
57,pp
39,pp
