@relation penbased

@attribute At1 numeric
@attribute At2 numeric
@attribute At5 numeric
@attribute At8 numeric
@attribute At10 numeric
@attribute At11 numeric
@attribute At13 numeric
@attribute At14 numeric
@attribute At15 numeric
@attribute Class {0,1,2,3,4,5,6,7,8,9}

@data
12,88,15,0,34,99,54,100,0,0
43,100,0,0,11,100,85,97,34,0
74,95,0,0,25,100,78,100,19,0
51,100,17,0,42,83,29,99,0,0
81,80,0,16,0,100,100,62,84,0
6,91,25,9,53,82,32,100,13,0
54,82,0,0,8,100,73,82,28,0
30,96,0,0,17,100,80,93,36,0
25,77,0,0,0,100,85,79,37,0
15,95,2,0,28,100,63,100,6,0
42,97,0,0,13,100,65,100,5,0
12,54,62,23,68,71,27,100,0,0
25,100,2,0,10,100,74,90,32,0
87,73,12,41,4,73,100,38,94,0
23,96,2,0,19,100,95,93,55,0
14,86,1,0,10,100,62,86,9,0
19,90,15,0,30,97,55,100,0,0
33,93,0,0,21,100,94,93,48,0
30,100,0,0,12,100,77,93,33,0
22,98,0,0,26,100,61,100,12,0
0,82,17,0,31,96,64,100,17,0
15,76,34,9,50,79,29,100,0,0
49,100,0,8,0,100,85,69,41,0
82,87,0,8,0,100,93,90,47,0
27,87,33,0,42,82,32,100,0,0
70,100,0,0,22,100,75,98,23,0
35,57,1,5,36,100,58,100,12,0
55,100,0,0,6,100,90,92,47,0
38,84,0,0,30,100,64,100,11,0
26,93,16,0,34,85,40,100,6,0
15,95,14,0,36,83,30,100,0,0
20,88,17,0,38,85,36,100,0,0
45,96,0,0,21,100,63,100,3,0
77,100,24,0,43,90,34,72,0,0
12,62,7,0,29,92,47,100,8,0
21,73,36,1,44,82,41,100,0,0
36,95,19,0,37,97,48,100,0,0
32,90,46,17,66,64,15,88,0,0
21,78,26,0,5,100,76,89,44,0
27,99,0,0,17,100,80,93,33,0
56,100,0,0,25,100,70,87,23,0
16,59,31,15,55,87,40,100,6,0
85,100,0,0,5,100,84,88,16,0
26,79,14,15,61,62,9,77,1,0
31,89,4,0,33,95,47,100,16,0
25,100,1,0,16,100,72,100,29,0
40,100,0,0,19,100,60,87,19,0
88,95,8,23,0,88,100,61,79,0
14,79,18,0,25,100,71,100,32,0
31,88,14,0,33,96,49,100,0,0
6,78,19,3,40,99,51,100,7,0
48,98,0,0,22,100,86,98,24,0
50,99,0,0,16,100,79,100,29,0
61,100,0,0,11,100,73,85,14,0
15,73,30,1,38,87,44,100,16,0
54,92,0,0,17,100,85,95,37,0
77,100,0,0,8,100,98,85,46,0
97,100,14,23,85,77,47,53,0,0
35,84,4,0,24,100,64,100,5,0
