@relation 'penbased-weka.filters.unsupervised.attribute.Remove-V-R1-2,5-7,10-11,16-17'

@attribute At1 numeric
@attribute At2 numeric
@attribute At5 numeric
@attribute At6 numeric
@attribute At7 numeric
@attribute At10 numeric
@attribute At11 numeric
@attribute At16 numeric
@attribute Class {0,1,2,3,4,5,6,7,8,9}

@data
0,100,5,68,19,34,100,0,4
0,67,100,100,81,60,40,0,1
48,96,88,27,21,33,79,85,8
54,100,6,43,0,0,100,21,6
30,86,77,77,53,40,100,5,3
0,93,100,78,69,5,35,37,7
51,76,100,100,83,60,34,0,1
41,96,50,37,31,34,1,100,5
12,78,74,77,52,14,0,0,2
0,100,100,93,63,33,14,42,7
0,75,67,84,100,82,80,0,1
95,92,21,77,74,86,69,0,9
0,65,62,100,72,65,79,0,1
27,100,12,5,62,39,97,53,0
100,77,49,76,18,15,38,27,6
96,100,48,76,96,85,71,0,9
68,100,0,41,13,3,99,89,0
37,84,96,87,55,38,100,3,3
0,91,85,80,91,0,99,49,7
31,95,0,23,32,18,100,100,0
79,74,15,92,71,75,73,0,9
16,59,31,0,78,55,87,67,0
58,100,44,53,100,0,62,91,8
100,100,75,71,58,42,33,0,1
47,91,65,27,21,40,0,91,5
84,93,22,50,44,22,54,97,8
33,93,0,20,35,21,100,100,0
28,75,93,82,71,26,0,16,2
56,83,90,23,24,40,100,72,8
23,76,100,98,79,50,82,7,3
39,81,100,77,71,43,95,1,3
41,53,100,89,70,0,72,72,8
29,88,73,40,51,13,12,100,5
0,94,100,97,82,30,17,38,7
10,100,0,61,0,35,100,0,4
37,100,47,50,22,17,33,0,2
0,76,65,97,61,31,6,0,2
0,95,59,78,61,27,22,1,2
50,86,0,27,21,9,100,100,0
86,79,18,62,65,0,0,71,8
13,71,65,69,41,12,2,0,2
30,81,69,65,39,5,7,4,2
7,86,15,20,62,31,96,78,0
100,100,30,66,7,12,36,25,6
22,77,98,100,32,63,100,0,9
12,76,100,98,97,54,74,0,3
38,100,0,52,36,42,100,0,4
15,97,33,46,95,100,83,0,4
100,100,26,45,0,0,97,28,6
100,77,16,69,0,0,93,89,0
68,46,52,100,0,53,72,0,9
41,96,100,74,58,0,7,34,7
0,57,62,100,54,28,12,3,1
0,79,82,81,87,0,31,50,7
8,58,100,100,88,72,36,0,1
44,73,100,88,74,32,0,0,2
29,89,80,73,36,38,100,17,3
100,100,0,56,96,86,79,0,4
82,100,97,39,94,1,39,94,8
9,86,96,81,64,48,100,11,3
55,40,92,100,48,40,55,38,8
55,91,64,94,27,52,84,0,5
57,82,100,88,89,39,75,0,3
100,94,30,71,8,6,57,10,6
25,97,100,88,27,80,76,0,9
66,100,91,69,69,24,74,9,3
45,74,92,35,77,28,100,80,8
26,87,80,76,61,23,0,3,2
19,66,34,0,77,51,78,76,0
0,99,100,77,72,18,40,33,7
29,94,43,100,8,61,100,0,5
19,91,50,24,25,37,0,100,5
78,72,8,91,0,59,100,0,9
48,97,100,64,66,57,0,41,8
32,89,100,93,79,47,68,0,3
33,69,87,75,66,15,0,0,2
100,100,23,59,0,0,58,25,6
0,23,100,87,50,57,86,22,8
100,100,33,51,26,0,93,20,6
100,91,18,89,5,50,77,0,5
0,66,92,100,100,64,61,0,1
38,96,0,19,47,25,100,85,0
48,80,100,99,78,49,91,9,3
10,100,11,70,2,33,0,12,1
9,98,0,55,65,58,80,0,4
53,91,86,100,28,64,98,1,5
3,87,100,100,78,52,90,0,3
7,94,94,47,66,3,0,100,5
12,55,21,6,66,30,99,93,0
21,100,2,23,40,18,100,81,0
31,87,55,65,30,14,26,0,2
96,85,44,64,96,0,0,91,8
36,100,0,27,80,52,73,0,4
13,96,56,75,30,32,3,0,2
35,88,50,17,11,38,56,100,8
70,69,40,100,0,75,78,0,9
100,87,0,70,66,99,86,0,9
55,83,88,92,40,43,68,0,5
100,100,26,65,3,4,43,31,6
21,100,32,100,45,7,0,13,1
31,78,14,13,59,23,98,91,0
35,100,0,46,18,30,100,0,4
0,92,80,88,43,45,100,0,3
0,90,100,79,72,0,40,31,7
19,100,3,30,63,77,91,0,4
39,100,0,47,55,64,80,0,4
77,96,66,73,66,64,93,20,9
9,100,0,24,28,18,100,90,0
18,26,77,5,100,86,55,52,0
0,100,70,74,55,0,19,54,7
49,93,28,74,63,50,59,0,1
16,100,6,66,0,34,95,0,4
0,61,90,100,100,71,44,0,1
0,82,74,76,49,0,6,43,7
37,84,2,7,53,27,100,99,0
0,80,73,83,38,42,100,0,3
0,84,63,75,51,16,14,0,2
0,78,54,97,68,43,48,6,2
100,100,50,72,26,26,0,20,6
46,99,82,72,77,31,75,6,3
0,57,62,83,100,87,67,0,1
100,100,0,52,98,0,46,71,8
0,85,100,95,85,57,33,0,3
87,74,11,85,68,72,84,15,9
8,98,29,64,21,2,33,0,2
66,100,0,55,4,0,100,25,6
100,100,19,59,0,9,71,17,6
59,100,0,38,33,34,95,0,4
0,64,76,100,100,71,64,0,1
0,66,80,100,100,73,58,0,1
80,74,56,70,29,0,100,24,6
0,24,75,73,100,82,43,0,1
74,100,13,67,0,0,100,52,6
31,67,81,97,69,15,0,0,2
100,99,43,74,13,8,44,35,6
0,90,48,77,34,30,12,0,2
0,73,99,96,12,66,100,0,9
21,73,36,0,77,44,82,86,0
37,80,95,70,68,11,0,0,2
45,100,13,52,66,66,55,0,4
97,100,20,65,0,0,93,34,6
55,100,0,29,55,44,77,0,4
64,67,83,88,73,11,0,2,1
62,57,52,100,0,64,79,0,9
51,95,52,40,19,26,4,100,5
35,94,75,97,100,75,45,0,1
27,86,41,100,40,10,0,5,1
42,73,94,83,79,21,0,14,2
0,72,59,79,58,0,30,64,7
61,100,0,58,55,66,89,0,4
46,94,64,97,17,53,70,0,5
29,70,43,2,3,42,13,100,5
0,80,91,100,96,57,100,0,3
67,99,97,13,0,34,100,93,8
40,88,88,100,40,61,100,0,5
43,97,22,66,35,75,100,24,9
21,100,0,54,70,73,82,0,4
0,64,27,86,24,4,6,6,1
0,93,70,83,70,50,80,0,1
49,97,79,60,47,11,8,0,2
30,85,74,38,46,17,0,98,5
0,54,63,83,100,78,81,0,1
22,89,39,47,43,0,16,98,5
34,67,100,100,32,63,69,0,9
62,87,100,100,22,41,30,34,8
27,100,57,41,20,24,18,94,5
18,83,67,75,43,22,0,22,2
24,68,100,100,85,61,29,0,1
100,96,22,100,77,65,93,12,9
27,82,73,83,68,34,76,5,3
44,77,39,19,0,31,19,100,5
36,100,21,49,73,60,70,0,4
11,60,22,1,77,56,62,36,0
0,68,74,88,56,10,10,0,2
17,65,100,100,81,47,69,2,1
