@relation 'penbased-weka.filters.unsupervised.attribute.Remove-V-R2-3,5-6,11-12,14-15,17'

@attribute At2 numeric
@attribute At3 numeric
@attribute At5 numeric
@attribute At6 numeric
@attribute At11 numeric
@attribute At12 numeric
@attribute At14 numeric
@attribute At15 numeric
@attribute Class {0,1,2,3,4,5,6,7,8,9}

@data
93,53,89,80,0,5,2,100,2
100,20,0,39,100,33,40,15,6
99,67,24,68,99,8,40,9,6
92,56,83,82,100,14,0,0,3
76,0,11,0,97,85,100,9,0
100,9,0,46,89,52,30,19,4
68,15,42,0,84,90,100,0,0
83,8,0,17,100,70,100,8,0
87,32,98,64,100,61,3,0,9
98,60,29,73,46,0,27,0,6
52,52,97,100,21,0,7,100,1
85,31,76,74,100,8,30,0,7
85,93,100,98,48,48,18,0,5
100,52,18,52,100,5,29,23,6
100,4,0,24,95,41,82,64,0
75,29,71,91,68,48,21,58,1
64,52,58,57,24,20,1,100,2
48,30,65,85,65,51,25,34,1
80,84,100,75,89,10,0,0,3
95,52,100,79,45,0,30,84,7
71,43,76,79,0,0,1,100,2
84,52,100,96,87,16,0,0,3
78,66,91,86,82,10,0,0,3
85,32,76,91,11,20,6,100,2
100,66,25,69,77,0,34,10,6
100,44,7,60,99,24,30,19,6
84,61,87,83,100,23,5,0,3
88,62,100,81,0,6,0,72,2
100,8,0,39,100,43,30,72,4
85,8,61,47,11,66,98,100,5
78,77,64,60,12,4,2,100,2
36,35,68,78,80,51,25,70,1
98,4,59,100,75,43,22,40,7
71,39,74,99,53,50,26,11,1
60,76,13,99,98,44,6,0,9
86,50,100,96,87,9,0,0,3
60,77,10,90,0,0,34,100,8
85,100,87,94,85,27,2,0,5
95,100,55,95,73,33,7,11,5
72,57,76,71,0,4,0,100,2
64,47,100,100,47,40,17,63,1
69,78,37,85,97,15,0,0,9
44,41,81,14,40,85,49,0,0
75,8,40,91,13,8,5,100,2
12,50,84,87,100,35,0,9,8
97,3,0,20,100,70,100,14,0
75,29,100,100,38,41,20,0,1
100,0,32,54,72,77,38,43,4
74,87,100,100,66,18,0,3,1
98,20,19,70,89,42,29,100,4
74,43,70,80,98,12,0,0,3
100,22,0,52,100,47,24,57,4
100,55,58,67,21,0,1,100,2
93,9,82,45,13,44,88,100,5
76,23,52,68,49,5,0,100,2
81,40,100,90,95,59,9,0,9
62,34,84,100,79,44,22,84,1
86,18,57,0,47,100,77,1,0
69,55,96,81,0,0,15,100,2
44,30,67,80,83,53,26,62,1
91,34,65,83,25,13,7,100,2
81,11,55,97,66,51,26,38,7
78,36,79,99,100,16,0,24,3
78,75,77,82,0,8,8,100,1
89,48,29,65,0,31,63,100,8
100,45,71,33,6,71,95,100,5
100,10,0,61,90,45,29,100,4
93,7,8,20,100,65,94,0,0
81,15,20,76,71,21,23,100,4
100,53,100,88,42,0,31,56,7
78,71,73,99,21,0,0,100,1
97,47,8,74,85,0,22,38,6
98,89,73,72,88,3,0,0,3
64,46,81,100,88,45,19,85,1
76,0,8,0,99,90,100,7,0
97,48,12,80,80,28,0,0,5
88,43,9,70,78,11,46,90,0
69,74,100,0,73,75,100,0,8
100,53,18,57,69,1,20,12,6
93,53,83,84,30,22,46,100,7
94,13,26,56,0,26,64,100,8
50,13,56,83,75,50,24,31,1
100,11,0,39,98,22,63,61,0
88,68,100,84,98,12,0,0,3
90,37,89,100,33,18,40,100,7
100,93,64,73,82,12,0,0,3
68,27,73,93,50,0,34,100,7
96,43,89,37,12,54,93,100,5
88,20,0,24,100,63,100,26,0
77,29,80,98,100,13,0,0,3
67,65,0,75,2,10,52,100,8
100,40,0,42,74,87,43,68,4
95,56,23,67,69,16,50,89,0
89,0,62,46,6,52,93,100,5
100,9,0,35,88,37,33,57,4
67,100,56,100,91,54,24,22,9
100,19,31,54,7,36,63,100,8
58,85,85,100,0,0,3,100,1
100,0,52,71,100,19,0,6,9
100,18,0,47,100,58,30,59,4
100,24,0,53,100,48,24,73,4
100,8,3,27,100,66,92,0,0
100,70,30,60,70,9,32,16,6
100,14,75,97,40,48,23,47,7
91,67,27,71,68,4,34,23,6
44,24,62,78,95,52,24,81,1
70,45,77,84,0,0,9,100,2
100,61,30,64,42,0,23,6,6
53,45,79,100,97,46,19,93,1
90,27,0,66,10,16,57,98,8
79,82,98,81,85,19,5,0,3
100,53,18,58,76,4,27,24,6
78,30,55,80,4,0,1,100,2
74,78,100,79,87,12,0,0,3
85,49,100,93,96,35,13,36,3
100,78,45,70,21,0,11,16,6
83,18,60,35,26,56,90,100,5
100,30,7,61,100,42,23,70,4
73,82,100,100,76,24,0,0,1
49,24,60,0,75,100,90,0,0
83,60,100,86,75,14,0,0,3
85,59,73,63,5,29,19,100,2
37,8,49,100,0,0,3,100,2
71,55,72,77,0,4,13,100,2
73,4,70,100,15,12,0,100,2
100,37,43,57,0,19,48,83,8
93,100,85,93,95,31,0,0,5
87,61,96,77,100,15,0,0,3
80,32,64,76,11,30,39,100,7
98,0,42,35,7,86,100,100,5
96,15,33,12,82,80,100,0,0
95,47,54,66,93,20,0,0,9
100,35,96,65,100,53,3,0,9
100,76,16,92,100,28,0,1,5
100,0,8,30,79,90,44,100,4
88,52,100,77,17,0,30,87,7
100,0,1,72,100,29,0,39,9
100,31,6,59,100,47,26,80,4
79,42,100,100,62,41,0,2,5
100,21,0,47,85,53,25,43,4
100,18,0,52,100,39,24,86,4
62,30,70,100,7,0,2,100,1
82,21,0,25,100,75,100,14,0
91,42,63,76,40,4,29,100,7
84,0,18,1,71,100,61,43,0
100,18,0,50,67,74,37,8,4
85,26,74,89,100,21,4,7,3
100,43,13,42,100,34,36,0,6
99,73,100,80,10,0,33,81,7
100,58,28,50,100,14,25,0,6
96,67,68,57,19,30,12,100,2
85,68,91,79,100,16,0,0,3
100,71,38,70,40,0,26,5,6
100,33,0,53,100,53,27,60,4
93,53,89,75,48,1,29,100,7
50,28,77,93,56,50,25,62,1
100,0,76,37,41,43,79,27,8
100,0,25,13,86,81,94,6,0
68,100,47,100,84,58,30,80,9
100,100,94,56,91,31,59,0,8
100,33,0,49,100,30,38,32,6
53,36,82,99,39,50,25,3,1
88,78,71,66,70,7,0,0,3
56,13,50,89,12,4,0,100,2
48,36,69,78,70,64,34,33,1
71,70,0,87,100,60,27,88,9
83,97,46,94,99,11,0,0,5
79,43,51,68,30,7,0,100,2
100,5,0,40,85,61,29,69,4
91,61,78,69,38,28,48,100,7
100,6,0,42,100,51,96,24,0
82,11,100,65,0,22,0,43,8
100,66,41,56,54,0,18,0,6
100,17,0,45,95,50,30,100,4
87,80,70,72,87,15,0,0,3
85,38,59,78,0,0,0,100,2
73,12,77,36,0,59,94,100,5
96,17,0,26,100,65,100,33,0
91,32,65,97,95,0,25,91,7
85,46,58,73,0,0,0,100,2
62,60,61,56,20,13,8,100,2
64,86,75,100,100,68,41,49,9
100,10,0,32,100,51,90,27,0
64,55,0,98,100,49,10,13,9
88,0,54,45,38,95,94,100,5
73,12,40,0,82,94,100,0,0
98,29,81,99,100,62,17,0,9
100,9,61,44,53,39,82,35,8
95,28,52,33,15,59,89,100,5
71,84,7,100,90,49,13,0,9
73,38,60,76,0,9,0,100,2
62,67,5,79,0,2,42,100,8
100,3,0,51,64,86,43,60,4
67,30,76,97,0,0,3,100,2
100,10,0,27,100,42,81,46,0
76,76,19,88,73,53,26,0,9
100,24,0,35,74,77,39,56,4
65,0,4,1,100,75,100,12,0
93,66,78,78,100,23,9,0,3
74,45,87,90,83,9,0,0,3
63,55,84,97,81,50,25,81,1
68,100,48,100,84,46,15,0,9
81,51,11,79,95,24,0,0,9
66,51,100,100,0,15,0,100,2
38,31,66,79,53,51,26,44,1
84,45,79,83,93,19,0,0,3
77,53,95,94,100,29,7,0,3
64,16,57,94,5,18,8,100,2
100,52,18,54,85,9,34,3,6
92,0,26,0,74,100,83,27,0
100,43,19,48,100,16,28,0,6
100,7,0,44,100,55,31,55,4
100,20,0,45,100,61,35,60,4
85,48,100,97,70,33,13,0,3
100,57,62,63,4,22,43,100,7
13,27,67,70,69,63,32,42,1
93,54,80,69,28,27,47,100,7
73,33,60,82,92,6,0,0,3
25,23,62,71,55,62,31,0,1
85,92,100,98,99,33,7,0,5
83,57,87,83,0,13,8,100,2
86,38,84,95,100,19,0,22,3
79,27,66,100,34,22,4,100,2
100,50,0,34,100,71,37,43,4
100,1,0,19,100,72,98,7,0
85,49,0,69,77,58,24,12,9
100,0,27,78,100,16,0,3,9
9,42,73,69,73,63,31,81,1
100,4,0,29,100,39,79,44,0
60,31,61,82,0,0,2,100,2
89,43,86,89,100,5,0,0,3
80,48,70,77,91,13,0,0,3
56,37,88,100,0,12,4,100,2
68,22,47,75,0,2,4,100,2
90,0,21,0,86,88,100,9,0
97,90,55,68,97,9,0,0,9
91,22,0,24,100,67,100,30,0
88,53,100,94,95,10,0,0,3
100,30,59,35,0,75,99,100,5
93,43,70,72,31,32,48,100,7
100,51,0,56,75,84,42,19,4
77,45,100,88,69,63,32,59,9
81,23,73,96,12,19,42,100,7
100,41,0,39,92,65,33,23,4
81,49,0,84,94,54,24,51,9
100,28,0,63,100,5,24,1,6
68,25,20,0,30,88,95,100,5
99,55,0,72,73,66,33,6,4
90,62,29,74,64,33,28,88,4
96,66,26,94,76,19,0,0,5
100,0,11,44,68,68,32,60,4
85,74,73,68,0,4,10,100,2
100,16,81,44,0,55,96,100,5
97,41,78,89,14,31,47,100,7
96,57,78,30,0,72,100,100,5
83,4,73,52,6,51,95,100,5
71,62,90,79,0,22,16,100,2
100,39,70,69,1,37,44,100,7
0,41,77,37,60,100,71,87,9
100,49,15,65,74,0,23,45,6
100,26,0,51,74,56,28,23,4
63,38,75,99,78,48,22,58,1
80,3,47,54,0,80,100,100,5
85,67,74,68,0,31,46,100,7
68,47,89,100,58,45,22,13,1
77,54,57,70,17,3,1,100,2
100,17,51,27,0,82,96,100,5
90,48,0,88,86,22,0,8,5
74,17,96,100,39,47,23,0,1
100,48,59,77,100,15,1,11,3
73,54,100,15,81,69,100,2,8
93,98,43,98,100,26,1,0,5
79,90,100,78,7,13,0,49,2
60,52,71,100,0,0,7,100,1
90,49,14,73,100,28,24,0,6
42,7,52,83,67,52,26,22,1
75,68,100,98,79,35,6,0,5
92,23,58,39,42,51,86,32,8
40,29,67,77,82,53,25,45,1
81,59,100,98,0,6,13,95,2
43,32,68,82,66,49,24,25,1
77,0,29,0,85,89,100,12,0
100,58,100,91,8,0,33,80,7
88,53,100,100,26,0,34,48,7
61,67,100,100,37,46,23,0,1
83,20,0,68,17,15,55,98,8
17,0,61,70,89,64,32,68,1
86,90,49,71,68,4,37,0,6
94,7,35,0,73,100,93,0,0
87,26,65,29,0,75,100,100,5
100,0,11,45,86,70,35,70,4
85,64,38,97,67,45,22,0,9
90,0,37,52,12,64,99,100,5
89,55,100,94,93,19,6,0,3
100,2,59,36,31,52,92,22,8
64,18,100,95,30,0,39,72,7
55,50,100,100,67,37,12,86,1
75,39,99,94,100,27,4,0,3
100,0,6,47,94,73,36,95,4
22,36,70,73,66,60,30,27,1
93,0,12,15,100,70,100,26,0
100,8,95,80,100,64,28,58,9
100,74,27,65,100,11,45,9,6
61,100,55,94,82,28,0,0,9
90,27,81,95,100,29,13,7,3
71,29,70,88,11,16,11,100,2
75,0,29,11,90,73,100,17,0
77,49,0,69,84,67,33,90,9
75,60,74,63,0,15,19,100,2
96,45,56,68,29,32,50,100,7
78,60,28,69,100,30,0,0,9
65,80,33,100,83,33,8,0,9
100,34,0,59,100,44,22,57,4
97,12,65,58,4,54,97,100,5
76,57,63,55,100,37,0,0,9
85,35,77,91,100,19,1,24,3
96,31,100,32,53,53,87,41,8
84,79,100,84,67,8,0,0,3
91,24,80,38,4,57,97,100,5
100,22,0,38,68,78,39,45,4
100,30,0,59,100,15,40,10,6
42,44,76,78,61,47,21,27,1
82,45,81,100,25,0,37,4,8
88,52,100,92,65,32,12,0,3
100,41,0,36,72,78,39,82,4
58,18,49,0,86,82,100,17,0
100,8,0,20,100,59,86,8,0
46,47,66,100,68,38,8,100,1
76,83,100,100,9,41,20,22,1
100,56,22,60,73,13,40,2,6
69,76,13,91,84,43,9,0,9
70,8,56,91,10,10,0,100,2
100,64,36,49,100,27,41,0,6
100,50,0,45,83,91,43,75,4
100,28,26,20,72,67,99,49,8
62,22,69,100,28,26,4,100,2
92,1,62,38,2,59,96,100,5
78,49,100,93,87,10,0,0,3
100,29,0,59,77,13,48,78,0
93,9,0,15,100,70,100,19,0
49,27,65,84,62,50,25,33,1
71,87,5,86,100,72,34,96,9
82,55,45,76,90,14,0,0,9
99,27,64,95,58,36,7,32,7
86,0,23,0,82,90,100,22,0
87,9,0,67,21,15,56,93,8
91,23,92,46,0,63,97,100,5
96,62,99,100,100,26,2,0,9
86,0,35,34,75,68,100,12,8
97,67,100,76,0,0,30,94,7
89,44,43,65,92,38,0,0,9
92,58,39,84,9,33,16,0,1
89,38,65,85,100,18,0,45,3
88,100,85,100,92,35,0,0,9
97,17,57,40,33,53,79,65,8
39,44,83,83,50,51,26,22,1
63,76,100,100,63,62,41,73,9
100,18,0,44,59,57,29,38,4
75,28,64,100,100,35,13,46,3
80,47,0,81,98,31,0,8,9
76,61,6,75,0,0,36,100,8
64,34,65,77,0,8,4,100,2
100,48,9,68,100,1,29,19,6
72,73,77,98,29,0,5,100,1
100,28,0,52,100,6,26,13,6
91,44,96,100,44,0,27,100,7
91,0,22,3,82,100,76,1,0
76,1,15,0,93,85,100,0,0
100,22,0,36,89,56,35,43,4
80,54,24,68,0,19,48,100,8
100,15,0,38,86,24,60,76,0
82,0,30,0,65,100,80,7,0
90,77,100,76,93,8,0,0,3
100,22,0,47,98,64,34,91,4
83,0,66,62,8,48,94,100,5
91,52,100,85,50,0,25,83,7
85,68,100,86,98,23,5,0,3
61,28,0,75,100,57,26,44,9
77,58,95,81,100,17,0,0,3
85,71,100,82,0,13,0,88,2
89,44,72,73,56,11,32,100,7
78,54,0,83,15,14,54,100,8
65,37,100,81,85,68,34,58,9
85,50,88,73,5,5,38,100,7
100,13,66,36,59,58,96,28,8
91,100,75,92,56,27,0,0,5
100,38,13,54,100,4,16,0,6
91,100,71,96,89,46,16,0,5
93,0,80,80,100,80,39,47,9
100,30,8,56,75,17,47,89,0
