@relation penbased

@attribute At1 numeric
@attribute At7 numeric
@attribute At10 numeric
@attribute At11 numeric
@attribute At12 numeric
@attribute At13 numeric
@attribute Class {0,1,2,3,4,5,6,7,8,9}

@data
62,12,0,96,21,100,0
48,18,15,90,45,100,0
19,86,62,73,100,26,0
60,14,0,97,27,100,0
35,2,3,92,34,100,0
39,67,39,100,84,54,0
7,15,0,100,48,64,0
31,64,43,100,99,58,0
18,71,49,78,100,29,0
63,14,12,96,49,100,0
27,60,28,96,73,53,0
18,65,40,84,90,31,0
24,71,48,82,100,37,0
59,24,12,100,47,85,0
26,95,68,69,100,24,0
23,41,25,100,63,81,0
28,47,11,100,58,77,0
24,66,35,88,82,44,0
30,71,36,87,78,39,0
34,84,43,79,85,35,0
41,70,39,78,85,32,0
1,65,35,95,79,50,0
29,52,14,100,55,61,0
9,95,72,72,100,32,0
29,79,38,82,80,38,0
14,74,38,86,81,43,0
56,12,15,100,51,93,0
23,68,32,99,72,62,0
27,6,0,100,40,91,0
27,70,40,92,84,44,0
26,55,28,100,75,56,0
26,74,61,62,100,9,0
51,34,15,100,56,71,0
13,82,54,89,93,47,0
52,23,18,100,57,72,0
20,83,62,87,100,40,0
17,100,75,62,100,26,0
26,87,56,74,95,22,0
70,6,0,97,25,100,0
100,0,0,78,14,94,0
42,30,7,100,42,81,0
14,70,48,96,85,53,0
19,54,29,100,71,72,0
71,24,18,100,56,85,0
28,65,38,92,90,43,0
71,15,11,100,50,87,0
21,35,17,100,53,84,0
29,83,65,70,100,24,0
35,36,2,100,39,81,0
52,72,40,80,88,35,0
47,26,8,100,44,92,0
49,46,21,100,70,55,0
3,84,64,66,100,20,0
50,84,45,79,90,25,0
43,72,46,83,92,30,0
4,68,36,91,81,44,0
24,66,44,100,83,55,0
40,55,26,100,70,62,0
0,100,80,45,100,14,0
30,70,41,82,90,37,0
19,66,29,79,66,30,0
49,18,6,100,38,86,0
49,36,22,100,66,63,0
76,0,19,41,0,80,0
32,71,41,91,89,43,0
80,0,0,83,15,100,0
11,41,27,100,64,87,0
25,88,45,78,87,39,0
17,75,59,96,99,40,0
33,78,38,85,80,45,0
11,100,84,41,100,0,0
19,100,72,47,100,0,0
31,61,33,95,77,47,0
34,65,47,99,90,42,0
0,58,19,100,64,69,0
47,80,45,77,90,32,0
41,49,22,100,69,61,0
29,64,35,89,81,33,0
12,59,29,92,76,47,0
32,46,21,100,66,64,0
39,41,24,100,70,67,0
11,68,37,96,83,57,0
0,78,54,90,92,49,0
48,37,29,100,66,81,0
78,5,0,100,27,100,0
