@relation 'penbased-weka.filters.unsupervised.attribute.Remove-V-R1-2,5,8-9,11,13,17'

@attribute At1 numeric
@attribute At2 numeric
@attribute At5 numeric
@attribute At8 numeric
@attribute At9 numeric
@attribute At11 numeric
@attribute At13 numeric
@attribute Class {0,1,2,3,4,5,6,7,8,9}

@data
13,89,72,0,4,0,32,5
35,76,100,66,81,82,32,3
100,84,0,70,15,15,0,1
27,76,16,3,100,92,44,0
64,93,97,100,14,100,96,9
1,88,59,0,11,4,28,5
20,82,100,54,82,89,42,3
100,79,26,38,47,0,38,8
34,100,0,30,91,100,74,4
90,71,25,50,80,99,64,9
72,100,2,19,51,100,55,6
31,73,55,14,0,30,65,2
21,88,88,18,15,8,12,5
47,93,0,0,100,95,42,0
19,81,12,1,88,100,72,0
22,55,0,0,89,100,68,0
73,85,0,9,100,82,81,0
30,98,53,0,13,0,27,5
19,100,0,36,100,96,87,4
13,80,100,99,0,81,74,9
48,100,0,1,71,100,86,0
24,100,93,48,39,19,0,7
46,83,100,54,90,100,49,3
39,62,79,64,38,0,34,1
30,100,0,26,80,100,79,4
19,73,100,78,86,78,43,3
100,100,26,28,1,58,58,6
27,100,40,59,84,57,43,4
44,80,100,59,92,93,49,3
51,100,5,61,100,85,68,4
95,68,21,38,68,0,29,8
0,82,52,34,32,0,50,7
14,55,59,62,59,100,48,1
100,75,24,44,69,0,45,8
0,82,80,53,54,100,63,3
10,86,33,9,100,64,22,0
100,100,25,26,30,88,65,6
0,58,42,100,100,81,65,1
21,100,64,0,10,0,43,5
0,99,100,57,32,69,70,7
0,83,56,67,66,100,73,3
29,72,63,17,0,18,59,2
29,74,100,84,2,100,44,9
64,100,100,3,0,38,90,8
0,79,68,88,94,74,51,2
84,81,0,18,60,100,89,0
100,82,57,87,92,67,38,9
27,100,4,0,100,73,12,0
100,100,38,45,0,26,55,6
15,73,32,39,44,100,52,1
24,58,100,60,85,45,0,1
21,90,77,5,0,6,14,5
31,79,70,0,14,0,49,5
27,84,71,88,78,100,60,9
57,68,4,37,63,0,27,8
16,38,43,25,66,100,50,8
35,85,45,12,100,81,37,0
13,87,60,0,12,14,30,5
0,84,79,55,67,100,62,3
73,64,0,40,91,13,46,8
13,84,90,54,75,100,60,3
100,85,18,99,64,69,43,9
0,97,100,50,69,51,30,7
50,91,85,61,100,81,41,3
6,43,68,35,81,38,7,0
56,60,100,39,51,85,56,8
64,92,25,23,0,1,55,8
20,84,93,58,73,100,54,3
5,85,95,70,78,100,49,3
0,46,100,75,71,64,2,1
0,86,100,38,58,53,8,7
30,100,56,78,75,100,72,9
33,89,100,62,29,0,6,7
20,85,0,0,79,100,83,0
73,96,38,0,29,70,100,8
97,81,0,60,76,100,74,9
77,72,0,42,94,22,33,8
15,90,71,55,99,100,53,3
97,100,30,20,48,100,39,6
14,73,66,55,35,0,50,1
27,66,76,40,9,0,50,2
0,42,73,100,81,61,46,1
0,64,85,100,85,76,70,1
38,100,0,35,100,80,61,4
100,52,0,100,78,88,73,9
32,87,82,53,87,100,54,3
81,97,0,72,100,81,69,9
0,88,56,51,26,34,69,2
71,100,0,0,76,100,85,0
28,86,54,0,6,0,40,5
0,81,79,100,95,87,78,1
20,100,0,43,100,86,70,4
56,80,10,33,71,0,58,8
51,80,100,53,45,0,42,2
4,92,100,52,32,15,0,7
52,100,0,14,58,100,60,6
75,100,0,44,100,70,55,4
6,76,73,39,6,0,52,2
42,74,63,15,0,24,62,2
7,91,8,54,57,100,46,5
15,100,0,41,100,85,83,4
0,95,74,55,1,15,63,2
57,100,9,28,29,100,71,6
0,93,79,35,53,29,43,7
0,99,70,99,60,33,15,7
41,91,99,86,40,89,57,5
60,90,49,0,0,56,100,8
51,92,0,0,100,86,28,0
100,100,57,60,14,0,0,1
14,86,50,28,0,18,62,2
57,87,97,83,74,96,78,9
13,59,42,100,100,80,59,1
70,100,26,20,62,100,43,6
5,88,76,58,73,100,59,3
86,71,58,51,0,28,43,6
0,86,73,35,29,3,38,7
100,100,28,43,0,37,70,6
5,77,21,0,100,67,19,0
30,93,88,23,85,100,50,7
64,100,0,18,49,100,59,6
0,39,67,100,100,81,65,1
10,99,100,68,58,24,0,7
0,93,98,35,35,13,24,7
100,100,25,43,0,37,61,6
0,98,55,32,69,33,42,7
0,100,100,50,60,46,20,7
100,94,68,0,0,17,62,8
9,77,74,68,34,0,37,2
39,90,0,0,75,100,82,0
0,97,99,50,62,52,26,7
65,60,5,57,65,0,13,8
11,100,11,38,100,75,53,4
19,93,100,100,1,0,93,8
0,70,99,73,55,8,19,2
24,66,100,80,52,29,12,1
42,87,75,52,100,88,44,3
0,82,66,54,34,19,60,2
27,95,70,0,0,6,30,5
9,77,29,4,100,84,47,0
81,100,0,15,51,94,100,0
3,81,100,49,23,0,30,7
30,100,0,36,98,100,80,4
100,100,18,35,12,79,94,6
0,93,91,44,50,35,39,7
27,82,13,0,100,96,51,0
