@relation 'penbased-weka.filters.unsupervised.attribute.Remove-V-R2,4-5,7,9-11,13,16-17'

@attribute At2 numeric
@attribute At4 numeric
@attribute At5 numeric
@attribute At7 numeric
@attribute At9 numeric
@attribute At10 numeric
@attribute At11 numeric
@attribute At13 numeric
@attribute At16 numeric
@attribute Class {0,1,2,3,4,5,6,7,8,9}

@data
100,81,57,26,0,23,56,100,98,8
100,99,49,17,0,16,37,73,20,6
85,100,81,87,84,12,58,53,24,7
73,99,72,70,32,48,5,46,0,2
77,62,78,50,1,17,0,23,100,5
92,83,0,26,77,6,100,84,100,0
100,83,34,100,71,82,49,22,0,4
72,100,78,60,25,12,0,50,0,2
91,100,100,52,32,57,74,41,0,5
100,100,58,65,82,47,100,53,7,9
100,85,0,24,68,44,100,76,0,4
90,61,50,23,5,35,0,48,100,5
72,50,96,70,0,73,65,100,0,9
94,100,94,59,68,33,100,54,1,3
97,68,100,42,93,72,89,70,0,9
42,57,64,95,100,85,81,62,0,1
100,84,13,0,40,28,88,100,0,4
74,49,64,20,1,25,0,45,100,5
67,80,64,85,85,74,89,95,0,1
80,50,54,9,0,41,5,49,100,5
95,100,100,75,41,25,0,41,0,2
90,100,87,47,92,44,100,53,1,3
100,94,16,5,53,0,100,36,0,6
96,100,81,77,100,36,75,36,6,3
67,66,62,38,8,30,45,100,100,8
100,90,74,79,37,62,0,36,44,8
73,64,0,53,98,34,100,47,60,0
85,100,16,81,69,0,6,34,95,8
97,47,24,74,100,43,82,33,65,0
84,100,67,60,31,19,26,64,0,2
73,92,73,100,85,55,58,36,0,2
32,62,80,6,36,56,100,57,25,8
100,96,77,37,60,53,100,47,14,5
83,100,81,65,100,45,97,54,7,3
100,99,70,51,32,0,15,29,44,7
76,100,62,34,0,16,12,57,0,2
76,100,77,57,9,3,0,53,0,2
77,100,0,12,67,0,100,88,88,0
100,77,7,0,47,0,100,78,29,6
72,95,74,69,72,49,79,51,0,1
80,100,37,33,5,28,4,52,0,2
89,100,81,73,100,37,81,41,5,3
100,81,39,0,8,0,75,66,25,6
95,100,49,16,6,6,52,48,39,6
54,16,39,82,100,54,89,47,65,0
97,70,61,50,0,20,17,41,100,5
64,80,100,95,76,65,67,57,0,1
90,100,100,87,56,56,74,56,0,3
95,100,34,19,53,61,61,31,0,5
68,100,0,47,100,9,39,47,73,8
100,97,100,65,37,8,5,0,23,7
80,100,72,54,24,18,0,50,0,2
100,77,0,29,71,55,71,71,0,4
100,95,100,100,91,48,82,55,0,1
52,96,64,73,100,55,83,42,4,9
100,85,0,59,100,64,79,38,0,4
89,100,0,23,96,48,100,60,0,4
100,91,0,1,67,10,96,27,0,6
89,84,0,24,75,3,100,82,100,0
66,73,73,100,98,74,96,90,0,1
73,100,62,41,11,3,0,49,0,2
100,87,70,93,89,64,74,41,0,9
67,25,57,100,95,75,54,7,39,0
100,93,38,0,70,92,100,67,7,9
100,87,15,92,100,84,69,35,0,4
99,95,29,10,60,53,100,49,18,5
77,100,0,20,79,66,86,81,0,9
70,29,37,88,100,43,78,34,70,0
68,70,53,85,22,12,53,100,88,8
86,100,100,85,85,25,64,29,12,3
84,100,87,69,38,19,0,49,12,2
100,90,32,15,26,0,89,70,43,6
100,80,4,0,26,0,94,100,8,6
91,55,36,4,0,51,4,52,97,5
96,83,61,100,49,0,5,39,100,8
100,82,71,91,7,18,78,100,90,8
73,100,62,41,0,13,38,82,34,2
100,76,10,0,57,0,100,51,23,6
86,100,95,65,90,36,81,42,0,3
83,100,93,50,94,40,100,50,11,3
100,92,15,5,50,0,100,48,15,6
72,100,62,50,24,12,0,50,3,2
100,78,0,4,77,36,90,88,0,4
55,82,72,66,63,29,31,33,5,1
100,85,100,63,26,0,15,38,37,7
89,100,25,45,38,0,0,34,71,8
76,100,91,68,28,10,0,51,0,2
51,64,66,100,72,75,47,26,0,1
71,100,74,59,30,9,0,49,2,2
61,62,51,89,100,80,86,72,0,1
94,100,71,70,61,0,42,52,20,7
85,100,92,75,46,36,100,62,9,3
100,82,0,10,71,26,100,92,0,4
86,94,21,80,14,0,42,100,100,8
86,55,98,27,45,81,100,84,0,9
85,100,64,59,80,38,72,36,0,5
100,100,13,0,12,15,64,78,46,6
100,69,22,12,66,0,100,45,13,6
100,85,63,61,86,48,100,53,5,9
70,25,41,89,100,61,75,25,58,0
78,100,100,70,94,39,89,39,17,3
100,81,0,43,100,39,58,38,0,4
87,100,30,83,100,70,91,57,9,9
73,30,33,77,100,44,78,37,67,0
80,46,20,67,100,33,93,53,75,0
92,100,100,73,70,39,70,36,0,3
96,100,86,68,48,0,16,38,37,7
100,68,41,5,0,35,7,43,97,5
91,80,2,33,80,8,100,82,100,0
91,97,69,100,84,62,59,33,0,7
86,50,52,6,0,25,18,53,100,5
96,68,48,19,0,18,6,47,96,5
57,63,46,94,100,80,78,56,0,1
100,86,23,0,14,0,59,47,27,6
84,100,83,82,100,36,77,39,3,3
100,94,69,37,0,12,9,54,0,2
94,66,95,26,88,85,100,81,0,9
100,72,6,65,100,86,64,44,0,4
100,65,41,61,6,0,24,42,98,5
100,81,35,18,31,7,76,49,17,6
100,91,79,94,86,66,80,48,0,9
90,100,76,12,64,70,100,66,0,5
64,96,15,69,52,0,0,48,100,8
100,76,1,24,74,23,100,51,58,0
73,100,22,50,69,6,0,26,52,8
96,100,100,67,55,49,79,46,0,3
85,100,68,50,92,44,100,55,8,3
100,88,0,18,57,30,95,87,0,4
100,86,0,30,74,33,100,87,0,4
100,76,0,58,100,57,100,90,0,4
100,97,53,93,0,0,11,100,99,8
93,100,100,85,47,18,26,19,30,7
90,100,72,54,26,30,13,56,4,2
78,100,64,56,52,30,4,0,2,1
76,100,65,38,0,0,13,57,16,2
99,59,0,62,100,47,76,20,28,0
100,84,13,18,60,23,93,88,0,4
68,100,68,54,21,20,0,50,0,2
97,63,69,29,6,28,0,45,100,5
73,100,0,21,98,78,96,86,0,9
100,79,10,0,45,0,100,78,29,6
