@relation penbased

@attribute At3 numeric
@attribute At5 numeric
@attribute At8 numeric
@attribute At9 numeric
@attribute At11 numeric
@attribute At15 numeric
@attribute At16 numeric
@attribute Class {0,1,2,3,4,5,6,7,8,9}

@data
17,0,0,80,100,28,89,0
6,16,0,100,84,0,57,0
8,0,0,79,100,29,100,0
6,9,7,100,100,0,73,0
0,1,0,100,91,13,51,0
0,1,0,96,100,2,80,0
21,18,8,100,95,0,88,0
0,7,0,89,100,28,96,0
2,12,0,100,94,0,72,0
17,0,0,70,100,35,83,0
56,23,29,19,69,89,90,0
0,30,5,100,70,7,50,0
1,0,9,95,100,28,65,0
0,11,0,88,100,30,92,0
11,0,3,62,98,61,73,0
40,0,0,62,100,15,80,0
0,36,52,40,15,5,2,0
12,0,0,82,100,30,100,0
0,1,0,73,100,52,75,0
13,0,0,94,100,6,97,0
15,0,0,79,100,26,83,0
0,1,0,80,100,26,81,0
58,16,27,40,93,53,89,0
5,47,25,100,76,6,45,0
41,81,60,81,40,0,0,0
24,0,0,74,100,29,92,0
14,57,22,95,54,4,39,0
0,38,14,100,67,16,34,0
0,9,0,93,100,10,91,0
1,0,0,100,73,8,20,0
5,8,0,100,89,0,83,0
1,47,10,100,66,10,59,0
11,17,0,100,91,0,67,0
18,0,0,85,100,19,74,0
15,22,3,100,83,0,66,0
6,28,7,100,80,0,65,0
4,0,0,84,100,32,100,0
0,24,11,100,82,6,62,0
2,0,0,86,100,33,100,0
1,27,10,100,88,0,82,0
0,21,0,100,97,25,82,0
0,32,22,100,61,9,19,0
8,0,0,99,100,11,49,0
17,17,0,100,83,0,52,0
0,14,0,97,100,14,98,0
20,36,0,100,77,0,67,0
25,47,0,100,74,0,76,0
7,8,0,98,100,0,100,0
0,30,10,100,65,7,28,0
2,16,12,100,75,0,44,0
3,0,0,70,100,49,70,0
53,20,0,65,94,0,78,0
14,0,0,76,100,49,100,0
33,0,0,68,100,36,73,0
16,0,0,79,100,23,69,0
0,10,0,95,100,9,81,0
10,0,0,85,100,11,100,0
10,0,0,75,100,24,74,0
73,25,55,11,57,98,68,0
8,36,11,100,68,0,42,0
13,29,0,100,85,0,92,0
69,26,51,11,60,94,75,0
7,0,0,74,100,46,95,0
0,4,0,95,100,5,95,0
0,6,5,100,77,6,32,0
5,4,0,100,100,0,92,0
15,0,0,86,100,30,93,0
8,0,0,72,100,40,81,0
8,0,0,93,100,8,86,0
16,0,14,62,95,92,100,0
0,17,3,93,100,23,73,0
0,9,0,92,100,27,95,0
5,7,0,94,100,0,82,0
30,65,30,100,72,0,61,0
23,0,0,68,100,43,100,0
0,16,0,100,92,6,77,0
45,9,0,69,100,0,68,0
22,0,0,84,100,17,83,0
0,22,0,100,87,5,58,0
17,49,23,100,75,0,67,0
5,0,0,81,100,33,96,0
20,0,0,74,100,24,96,0
11,0,0,81,100,17,72,0
12,0,4,72,100,34,92,0
6,22,0,100,87,0,64,0
10,46,19,100,73,0,66,0
18,0,0,72,100,50,82,0
7,49,28,100,62,16,20,0
0,41,31,100,67,11,20,0
13,31,0,100,85,0,79,0
5,0,0,77,100,37,100,0
19,0,0,62,97,77,100,0
0,0,1,85,100,36,84,0
0,31,0,100,77,3,58,0
0,9,17,96,100,10,58,0
31,1,10,46,84,68,99,0
27,0,15,53,95,76,99,0
1,0,0,80,100,44,100,0
0,13,0,99,100,13,80,0
47,5,32,34,85,85,97,0
17,31,0,100,87,0,87,0
0,29,10,100,94,16,84,0
7,0,0,100,96,15,48,0
21,0,0,68,100,44,90,0
21,0,14,59,100,79,100,0
17,0,0,84,100,4,95,0
3,1,0,100,100,0,100,0
0,22,0,100,78,13,51,0
31,0,0,60,100,32,72,0
16,40,12,100,79,0,67,0
10,15,0,100,98,0,75,0
16,0,0,70,100,37,85,0
0,1,0,88,100,15,76,0
31,61,25,96,57,0,42,0
0,8,0,98,100,17,67,0
