@relation 'penbased-weka.filters.unsupervised.attribute.Remove-V-R1,5,7-9,14-15,17'

@attribute At1 numeric
@attribute At5 numeric
@attribute At7 numeric
@attribute At8 numeric
@attribute At9 numeric
@attribute At14 numeric
@attribute At15 numeric
@attribute Class {0,1,2,3,4,5,6,7,8,9}

@data
0,11,63,0,100,100,0,0
0,78,100,100,91,24,89,1
0,80,68,42,56,37,100,7
30,68,52,0,0,100,100,5
47,89,68,49,100,0,0,3
0,72,37,52,51,3,3,3
94,13,59,30,67,52,100,8
0,100,22,0,22,100,2,8
26,92,56,56,90,0,0,3
22,0,50,32,100,30,71,4
29,68,45,38,11,6,100,2
14,43,36,0,10,92,100,5
88,100,100,91,65,23,0,1
13,28,94,56,100,33,91,4
19,95,0,100,60,26,26,9
100,42,49,56,91,0,0,5
47,0,20,0,68,72,50,0
12,66,29,0,5,96,100,5
0,89,74,61,45,0,100,2
100,20,6,20,45,30,0,6
0,74,57,37,35,41,100,7
73,0,25,41,100,32,54,4
67,0,34,0,79,100,10,0
86,32,100,22,30,68,52,8
0,100,20,0,37,100,7,8
100,16,0,30,26,34,29,6
13,0,8,41,57,25,69,4
92,31,10,29,21,27,0,6
47,0,19,39,61,23,62,4
45,42,58,100,89,0,0,9
22,92,51,53,55,0,0,3
0,100,84,80,71,15,63,1
80,7,0,21,40,30,28,6
17,26,73,1,100,99,23,0
9,27,76,0,100,100,0,0
51,2,0,20,45,27,4,6
0,51,48,0,18,94,100,5
0,100,90,55,58,40,92,7
72,61,82,17,0,61,75,8
31,71,31,0,21,100,0,8
15,82,60,62,100,8,0,3
0,84,100,47,93,23,41,7
100,0,76,35,99,45,72,4
53,22,0,0,32,100,61,8
45,58,0,10,48,100,26,8
45,0,17,4,62,60,54,0
0,100,64,62,33,36,72,7
19,0,8,37,92,21,100,4
100,32,13,22,43,28,0,6
8,61,38,31,0,10,100,2
35,100,39,0,37,100,0,8
62,95,56,58,95,2,0,3
100,21,51,73,87,17,0,9
57,11,0,35,23,24,41,6
3,100,6,85,20,0,37,8
58,82,46,57,92,0,0,3
16,76,100,78,77,32,27,7
100,80,65,61,50,15,0,1
17,30,81,8,100,100,0,0
100,18,0,27,29,35,7,6
30,100,81,53,38,17,97,2
100,20,0,28,19,43,17,6
0,62,100,100,81,27,25,1
0,46,27,42,2,2,100,2
47,6,54,39,47,58,100,8
0,68,56,51,25,4,100,2
50,26,0,36,59,27,76,4
3,88,66,0,15,89,100,5
28,100,53,100,22,0,0,8
