@relation penbased

@attribute At2 numeric
@attribute At4 numeric
@attribute At5 numeric
@attribute At7 numeric
@attribute At9 numeric
@attribute At10 numeric
@attribute At11 numeric
@attribute At13 numeric
@attribute At16 numeric
@attribute Class {0,1,2,3,4,5,6,7,8,9}

@data
86,42,23,70,100,41,82,37,54,0
100,68,0,32,76,9,100,88,85,0
100,68,9,47,90,10,100,73,97,0
92,60,0,50,95,29,100,58,72,0
95,58,9,58,99,25,100,65,87,0
82,39,30,80,100,59,74,23,53,0
87,100,0,10,62,0,100,93,92,0
73,43,22,73,100,54,94,43,58,0
73,49,15,74,100,56,68,14,36,0
95,55,28,74,100,35,84,41,78,0
90,57,0,41,84,27,100,87,97,0
100,48,17,68,100,46,89,40,50,0
95,60,3,42,84,16,100,74,100,0
79,36,37,89,100,63,73,21,43,0
72,36,26,74,100,40,85,43,66,0
90,41,46,91,100,66,64,15,42,0
92,43,50,88,100,45,78,39,87,0
82,100,18,0,42,0,93,100,89,0
90,57,13,62,100,30,90,45,77,0
59,31,31,78,100,55,87,40,67,0
69,25,36,74,100,49,85,45,67,0
100,63,22,63,100,29,95,47,74,0
100,55,7,61,100,76,61,37,44,0
89,64,22,63,100,24,90,51,100,0
72,76,0,16,70,23,100,88,83,0
99,62,0,39,86,17,100,80,100,0
94,85,4,39,94,17,100,60,99,0
57,20,40,83,100,62,87,40,53,0
81,42,22,70,100,48,92,42,73,0
74,50,25,76,100,52,74,21,51,0
100,73,0,20,63,2,95,100,90,0
95,49,22,68,100,45,100,47,75,0
92,77,0,35,81,15,100,76,100,0
77,100,16,0,40,0,93,95,89,0
91,82,0,8,64,0,100,95,100,0
100,65,0,37,79,18,100,83,100,0
67,27,49,93,100,66,64,19,59,0
84,42,11,61,95,44,100,54,70,0
98,90,2,0,46,0,88,100,100,0
96,56,0,41,83,25,100,81,98,0
63,43,36,86,100,61,68,14,42,0
68,32,32,77,100,41,79,36,65,0
90,53,1,55,99,28,100,63,75,0
87,38,26,67,100,41,92,52,65,0
100,58,9,47,84,16,100,77,95,0
100,58,5,55,97,28,100,56,68,0
100,74,0,27,76,25,100,74,85,0
82,48,2,52,92,31,100,60,83,0
93,74,7,48,94,27,100,55,82,0
91,55,22,71,100,48,82,37,33,0
100,64,1,43,83,25,100,65,84,0
100,62,11,49,88,19,100,72,92,0
84,43,26,85,100,46,74,16,58,0
75,25,66,100,98,59,68,32,78,0
42,0,71,100,87,79,45,0,41,0
90,60,12,60,98,32,100,55,90,0
54,100,30,0,14,1,66,99,79,0
91,70,0,37,81,21,100,69,73,0
88,100,0,22,78,0,100,63,91,0
98,66,0,43,85,26,100,61,86,0
74,28,37,81,100,68,65,18,45,0
86,60,0,21,70,9,100,91,100,0
88,52,14,63,97,31,100,64,84,0
58,15,66,100,99,78,57,15,29,0
82,48,8,65,100,45,99,45,64,0
81,39,22,77,100,57,85,33,56,0
86,62,22,71,100,49,78,29,41,0
79,68,0,27,74,12,100,94,100,0
93,63,0,45,90,24,100,60,83,0
85,65,0,52,100,57,82,81,25,0
82,49,10,57,95,34,100,55,81,0
96,89,0,37,94,10,100,64,97,0
85,61,18,50,86,11,100,79,100,0
75,45,29,69,100,26,90,56,94,0
79,60,6,55,100,34,92,35,69,0
100,71,0,33,73,8,100,83,95,0
96,100,0,3,42,0,89,100,90,0
68,21,44,89,100,75,58,11,31,0
