@relation 'penbased-weka.filters.unsupervised.attribute.Remove-V-R1-2,5,8,10-11,13-15,17'

@attribute At1 numeric
@attribute At2 numeric
@attribute At5 numeric
@attribute At8 numeric
@attribute At10 numeric
@attribute At11 numeric
@attribute At13 numeric
@attribute At14 numeric
@attribute At15 numeric
@attribute Class {0,1,2,3,4,5,6,7,8,9}

@data
0,39,11,0,43,89,36,100,0,0
0,46,78,100,75,85,75,24,89,1
0,98,80,42,0,25,50,37,100,7
30,87,68,0,16,15,41,100,100,5
47,86,89,49,28,82,38,0,0,3
0,84,72,52,41,100,62,3,3,3
94,79,13,30,0,0,45,52,100,8
0,82,100,0,41,92,84,100,2,8
26,79,92,56,42,100,51,0,0,3
22,100,0,32,36,82,77,30,71,4
29,73,68,38,12,0,50,6,100,2
14,94,43,0,27,0,47,92,100,5
88,80,100,91,68,29,6,23,0,1
13,100,28,56,76,93,94,33,91,4
19,86,95,100,78,100,67,26,26,9
100,96,42,56,51,82,42,0,0,5
47,100,0,0,5,100,91,72,50,0
12,73,66,0,29,0,38,96,100,5
0,89,89,61,37,15,43,0,100,2
100,100,20,20,0,99,59,30,0,6
0,93,74,37,0,25,53,41,100,7
73,100,0,41,45,90,63,32,54,4
67,97,0,0,32,100,58,100,10,0
86,100,32,22,0,5,80,68,52,8
0,68,100,0,38,92,85,100,7,8
100,100,16,30,0,80,81,34,29,6
13,100,0,41,40,100,82,25,69,4
92,100,31,29,0,100,69,27,0,6
47,100,0,39,38,100,82,23,62,4
45,92,42,100,69,100,55,0,0,9
22,83,92,53,37,100,55,0,0,3
0,75,100,80,59,58,55,15,63,1
80,100,7,21,0,100,88,30,28,6
17,96,26,1,48,88,44,99,23,0
9,86,27,0,39,84,37,100,0,0
51,100,2,20,0,100,51,27,4,6
0,89,51,0,23,20,49,94,100,5
0,99,100,55,15,33,40,40,92,7
72,83,61,17,0,25,100,61,75,8
31,93,71,0,33,100,69,100,0,8
15,90,82,62,47,86,44,8,0,3
