@relation penbased

@attribute At1 numeric
@attribute At4 numeric
@attribute At6 numeric
@attribute At7 numeric
@attribute At9 numeric
@attribute At10 numeric
@attribute At13 numeric
@attribute At16 numeric
@attribute Class {0,1,2,3,4,5,6,7,8,9}

@data
47,69,31,27,77,13,86,98,0
12,31,0,67,100,27,63,73,0
97,100,72,0,36,0,100,88,0
14,52,10,74,100,38,43,80,0
8,41,0,70,100,55,45,63,0
23,65,23,52,100,21,53,66,0
13,54,13,70,100,35,41,62,0
41,70,30,33,88,15,79,88,0
42,86,40,26,86,13,65,93,0
0,20,0,78,100,43,61,85,0
37,53,11,64,100,35,50,69,0
26,60,16,50,93,25,52,48,0
0,33,0,100,99,63,8,28,0
87,76,37,18,77,23,74,75,0
46,71,28,32,76,20,87,98,0
5,16,0,100,97,68,8,55,0
85,83,42,13,78,5,84,81,0
35,61,8,62,100,40,27,54,0
29,54,8,63,100,32,48,81,0
52,72,32,24,69,8,92,89,0
10,34,0,69,100,42,57,87,0
59,69,33,24,78,12,85,100,0
50,65,23,46,97,27,54,84,0
31,56,10,61,100,32,50,68,0
21,55,10,56,97,26,62,84,0
37,72,33,26,74,7,81,99,0
25,39,0,68,98,36,58,90,0
83,100,86,0,20,0,100,74,0
8,72,35,10,69,18,90,100,0
26,58,16,58,99,25,65,87,0
31,59,20,54,98,27,60,100,0
68,100,65,8,57,0,88,92,0
38,83,35,32,81,10,70,90,0
51,60,9,79,100,44,40,87,0
34,42,0,70,100,48,42,73,0
11,40,0,71,100,47,42,67,0
55,68,32,24,77,17,96,100,0
35,69,30,42,92,24,60,78,0
16,41,5,77,100,37,43,71,0
47,75,34,26,74,8,92,100,0
42,64,22,44,92,23,64,100,0
66,87,56,0,31,0,100,79,0
22,35,0,72,100,45,54,75,0
80,96,20,52,100,65,57,30,0
73,78,0,100,56,100,76,13,0
50,73,34,24,78,19,77,78,0
4,51,8,68,100,36,44,68,0
17,36,0,86,100,53,31,67,0
13,35,0,67,100,38,55,82,0
14,46,7,58,92,25,71,96,0
14,21,0,85,100,63,36,75,0
27,62,21,39,86,17,80,100,0
9,30,0,70,100,37,47,72,0
17,0,14,100,89,90,11,25,0
56,100,55,18,67,0,91,98,0
17,65,23,53,100,22,56,80,0
11,46,5,53,88,25,73,92,0
17,59,11,72,100,42,28,56,0
67,92,56,9,49,0,100,90,0
59,74,32,31,84,21,69,86,0
97,100,69,0,42,0,100,89,0
0,26,0,77,100,46,58,80,0
40,38,0,61,95,43,59,65,0
15,24,0,76,100,62,37,57,0
15,34,0,81,100,38,44,68,0
12,62,19,49,88,19,72,92,0
52,73,22,55,100,24,51,91,0
100,100,69,0,40,0,95,89,0
43,67,27,41,87,27,54,74,0
2,18,0,73,100,53,54,83,0
86,100,69,0,32,0,100,89,0
70,75,34,25,73,22,75,93,0
47,81,39,21,62,0,100,73,0
51,74,27,35,85,24,61,76,0
29,41,0,70,100,53,49,62,0
19,46,0,75,100,58,19,40,0
95,2,26,11,60,100,84,0,0
56,68,24,39,86,16,76,93,0
26,80,34,33,80,8,82,100,0
100,100,79,0,30,0,94,93,0
21,35,0,77,100,45,37,76,0
9,14,0,78,100,62,43,84,0
16,27,0,77,100,60,40,73,0
61,76,38,15,75,11,73,91,0
20,44,0,77,100,54,26,53,0
36,59,14,61,99,34,53,73,0
11,60,19,45,89,26,65,82,0
73,77,39,20,73,2,97,100,0
0,25,0,100,95,75,7,39,0
11,57,19,41,84,27,87,97,0
15,35,1,54,88,19,80,100,0
22,50,3,76,100,47,34,52,0
25,21,0,100,95,68,14,57,0
49,79,32,33,82,8,74,97,0
43,23,0,88,100,76,24,25,0
23,46,5,53,89,29,67,83,0
26,44,1,72,100,36,45,92,0
