@relation 'penbased-weka.filters.unsupervised.attribute.Remove-V-R4-5,7-8,10,14-15,17'

@attribute At4 numeric
@attribute At5 numeric
@attribute At7 numeric
@attribute At8 numeric
@attribute At10 numeric
@attribute At14 numeric
@attribute At15 numeric
@attribute Class {0,1,2,3,4,5,6,7,8,9}

@data
100,42,29,45,15,2,100,2
99,36,34,54,47,0,0,5
100,75,51,51,42,0,0,3
100,0,82,39,0,57,90,8
73,70,100,77,74,23,0,4
72,0,36,0,23,100,19,0
87,100,91,80,60,20,19,1
100,0,36,53,16,36,91,8
83,31,17,24,0,43,0,6
100,67,53,35,0,42,100,7
76,0,1,21,0,21,18,6
98,91,71,52,17,32,42,7
66,0,42,0,26,100,16,0
53,89,13,0,33,92,18,8
68,76,43,0,32,100,8,8
83,63,84,0,7,100,3,8
100,10,0,24,0,68,45,0
74,100,17,93,71,35,20,9
76,93,100,100,75,25,5,1
98,26,36,63,58,1,0,5
77,0,74,66,79,42,16,4
100,100,74,41,0,32,99,7
41,7,62,0,33,100,0,0
66,100,40,92,64,5,0,9
90,0,13,0,34,51,10,0
95,30,1,27,0,51,0,6
100,64,43,48,21,0,100,2
100,15,23,36,53,0,0,5
91,50,50,62,23,5,100,1
67,53,100,100,74,21,51,1
100,89,100,62,31,17,54,7
96,42,85,32,0,47,100,8
100,25,14,32,3,5,100,2
62,0,56,43,57,39,49,4
100,100,66,38,19,18,91,2
100,14,19,35,0,59,100,8
62,7,61,0,44,93,7,0
100,75,52,35,0,48,100,7
82,22,100,63,99,40,60,4
95,16,84,29,0,69,88,8
76,0,4,20,0,31,21,6
48,10,53,0,23,97,31,0
100,94,60,37,19,24,100,2
100,74,47,53,44,0,0,3
100,9,89,87,95,30,57,9
100,58,54,31,0,5,0,1
82,7,0,25,0,30,23,6
100,93,59,50,44,0,0,3
100,84,54,51,43,0,0,3
100,12,6,48,47,0,0,5
100,100,72,59,16,39,81,7
66,28,55,12,0,84,100,5
100,58,51,37,0,33,100,7
100,100,90,49,15,32,76,7
94,8,24,37,41,28,100,4
100,81,50,81,50,0,0,5
62,0,41,0,26,100,17,0
77,16,16,16,0,23,0,6
45,0,22,100,99,23,40,9
100,91,69,49,20,1,100,2
100,91,35,79,55,0,0,5
100,100,76,48,8,24,94,7
47,80,80,7,0,91,100,5
96,9,0,60,52,0,13,5
100,27,26,35,4,2,100,1
100,11,34,43,0,48,100,8
81,9,81,54,75,32,90,4
54,56,22,0,24,94,100,5
77,0,7,3,0,39,14,6
69,0,39,0,16,89,17,0
100,100,86,66,44,6,0,3
100,84,53,48,40,0,0,3
95,16,0,28,0,35,6,6
100,0,46,4,0,83,73,8
78,11,0,25,0,24,41,6
39,57,43,0,15,93,100,5
100,82,60,56,48,14,0,3
100,0,52,60,81,30,33,4
79,39,17,32,5,18,0,6
100,100,85,40,11,19,93,2
100,73,62,49,15,4,100,1
100,44,64,89,56,0,0,9
100,0,44,38,0,55,100,8
100,82,66,39,12,3,100,2
85,100,76,81,61,20,5,1
100,0,49,41,0,66,98,8
57,52,8,0,39,100,100,5
100,68,64,38,0,40,100,7
100,93,49,56,35,10,100,2
55,100,20,0,30,95,22,8
77,100,87,95,71,23,80,1
69,1,43,0,16,100,29,0
100,88,55,62,43,0,0,3
100,21,0,34,0,28,11,6
100,54,51,55,22,3,100,2
50,3,57,10,50,92,0,0
100,62,57,60,39,4,39,3
62,100,59,100,75,0,0,9
78,0,56,37,43,36,41,4
39,30,80,15,59,95,0,0
76,40,91,98,69,18,0,9
100,0,47,52,76,0,5,9
100,100,74,67,43,2,83,2
100,49,39,54,26,4,100,2
100,98,87,61,42,7,17,3
100,79,60,35,0,28,100,7
73,70,100,0,9,90,26,8
93,37,11,41,11,25,2,6
27,33,2,20,46,100,0,8
65,17,0,0,42,100,46,8
51,37,92,100,80,26,74,1
