@relation 'penbased-weka.filters.unsupervised.attribute.Remove-V-R4-5,8-12,14,17'

@attribute At4 numeric
@attribute At5 numeric
@attribute At8 numeric
@attribute At9 numeric
@attribute At10 numeric
@attribute At11 numeric
@attribute At12 numeric
@attribute At14 numeric
@attribute Class {0,1,2,3,4,5,6,7,8,9}

@data
72,26,35,100,71,73,97,49,4
100,0,59,81,67,100,39,4,9
100,100,66,100,46,99,13,0,3
90,78,62,51,28,0,2,1,2
52,28,0,100,38,86,81,100,0
95,50,100,67,81,43,56,28,7
100,87,43,100,45,90,15,0,3
100,78,41,0,16,1,5,1,2
82,18,19,53,20,92,34,35,4
100,86,37,34,0,6,33,45,7
88,54,0,5,9,54,52,96,8
98,13,19,53,0,100,32,36,6
54,51,0,0,14,6,71,93,5
88,64,78,70,57,83,36,14,1
96,59,100,86,82,66,56,29,7
100,90,34,49,0,0,26,43,7
100,0,67,100,94,89,63,31,9
100,58,17,26,0,8,36,34,7
82,0,37,66,38,100,50,25,4
96,38,44,0,14,36,0,23,6
100,100,83,60,63,45,42,21,7
53,58,0,0,32,13,85,98,5
100,60,27,41,0,20,35,42,7
63,0,100,100,82,96,51,23,9
100,69,63,59,28,28,0,0,2
77,0,100,100,85,77,52,25,9
100,83,51,100,49,91,13,0,3
72,42,7,100,0,95,30,37,6
75,69,86,0,59,74,57,32,9
94,87,98,80,75,68,50,25,7
100,87,68,79,44,100,16,0,3
100,63,88,78,53,66,20,0,9
90,17,35,16,5,66,0,29,6
76,0,49,100,72,77,56,28,4
100,99,86,23,60,63,34,1,5
100,30,55,54,59,61,27,0,5
100,0,46,87,6,42,0,45,8
100,76,33,32,0,5,28,44,7
73,76,100,75,75,53,49,22,1
100,21,27,44,0,100,22,36,6
100,79,50,85,44,100,22,2,3
54,67,0,14,13,17,54,92,5
100,31,73,98,90,94,48,13,9
85,18,28,17,0,78,1,20,6
97,1,33,29,0,0,26,61,8
94,83,33,41,0,0,20,31,7
100,23,34,65,0,0,24,58,8
100,92,64,81,46,100,22,0,3
98,100,83,77,62,60,39,17,7
100,67,37,24,0,17,22,41,7
100,44,73,27,60,85,46,17,5
100,32,35,42,0,0,17,45,8
70,0,36,100,50,66,68,34,4
61,18,0,86,11,100,51,87,0
82,0,51,100,78,90,56,27,4
66,83,0,0,14,42,49,81,8
100,100,58,84,35,90,11,0,3
100,59,87,93,64,69,43,22,7
67,67,0,0,17,44,48,77,8
62,83,0,46,32,81,66,100,8
69,61,0,0,3,15,50,91,5
100,55,98,99,58,100,14,0,9
100,20,43,76,47,90,13,0,5
72,0,100,82,96,89,64,31,9
62,37,43,88,80,66,85,42,4
36,13,27,58,49,100,79,100,8
100,73,60,72,49,100,26,4,3
100,77,64,61,38,100,10,0,3
100,0,68,13,51,20,34,17,1
94,81,53,48,16,0,0,3,2
81,100,72,65,44,53,15,1,1
10,79,64,89,96,40,100,73,9
100,78,50,68,48,100,21,0,3
100,75,69,49,49,100,35,15,3
98,79,31,15,0,0,30,53,7
54,0,6,88,48,100,100,84,0
60,68,100,77,75,61,50,25,1
69,60,0,0,20,0,73,91,5
100,62,26,30,0,0,2,3,1
100,94,43,47,15,0,1,0,2
100,67,50,16,23,16,2,3,2
69,0,0,77,7,100,44,83,0
73,100,85,88,51,89,16,0,1
77,60,100,72,55,87,10,0,1
100,97,41,59,0,100,9,37,7
100,86,58,79,50,100,19,0,3
100,30,85,80,53,100,20,0,9
44,100,0,0,34,62,64,100,8
