@relation 'penbased-weka.filters.unsupervised.attribute.Remove-V-R4-7,10-11,13,17'

@attribute At4 numeric
@attribute At5 numeric
@attribute At6 numeric
@attribute At7 numeric
@attribute At10 numeric
@attribute At11 numeric
@attribute At13 numeric
@attribute Class {0,1,2,3,4,5,6,7,8,9}

@data
68,72,90,100,75,50,28,1
100,0,69,62,79,100,84,9
100,59,65,34,1,16,58,2
69,15,43,87,65,74,71,4
100,0,84,44,0,8,33,8
66,79,26,39,27,8,46,5
100,0,59,9,33,100,77,4
100,88,95,64,43,100,50,3
73,10,24,54,22,95,52,0
54,40,25,2,30,20,45,5
82,0,52,1,0,100,70,6
80,80,100,100,69,65,55,1
78,28,53,0,0,60,78,6
66,20,25,61,21,93,54,0
66,52,38,20,35,0,42,5
100,0,59,0,8,100,29,6
34,30,0,81,38,87,44,0
56,51,37,39,15,5,42,5
100,80,62,47,0,0,50,2
99,16,72,0,12,100,94,6
56,59,72,86,100,80,62,1
60,92,83,100,76,49,25,1
77,79,94,100,74,75,71,1
80,90,100,100,67,92,84,1
89,59,100,72,42,31,58,2
66,100,25,49,29,58,66,8
73,39,55,89,84,63,31,4
60,35,19,12,31,16,51,5
76,26,52,0,11,97,100,4
88,31,58,15,0,100,67,6
78,65,100,0,60,90,95,9
100,97,87,69,47,100,49,3
73,0,42,2,36,100,92,4
89,30,66,88,0,0,61,8
100,64,85,43,44,23,62,2
83,43,57,20,0,77,48,6
16,38,0,79,46,76,37,0
100,8,96,0,72,100,92,9
85,0,62,44,54,82,52,4
40,83,2,11,35,100,73,8
100,64,84,54,10,0,50,2
76,5,51,0,27,100,82,4
100,78,88,59,0,28,47,7
78,37,40,41,0,100,47,6
100,78,79,71,39,85,41,3
82,82,100,100,65,70,55,1
54,0,63,23,100,94,74,9
100,91,86,81,5,55,46,7
79,15,51,0,38,100,91,4
100,65,69,48,0,14,49,7
82,0,42,10,16,100,96,0
100,17,63,57,0,7,45,8
100,94,86,75,14,0,49,2
85,33,64,10,11,35,54,6
93,0,62,25,44,91,68,4
100,0,76,0,54,100,75,4
66,0,6,49,38,100,48,0
