@relation 'penbased-weka.filters.unsupervised.attribute.Remove-V-R4,7-9,13,16-17'

@attribute At4 numeric
@attribute At7 numeric
@attribute At8 numeric
@attribute At9 numeric
@attribute At13 numeric
@attribute At16 numeric
@attribute Class {0,1,2,3,4,5,6,7,8,9}

@data
72,85,35,100,65,0,4
100,23,59,81,79,0,9
100,71,66,100,46,13,3
90,91,62,51,37,0,2
52,74,0,100,43,80,0
95,100,100,67,28,0,7
100,57,43,100,43,12,3
100,46,41,0,61,0,2
82,0,19,53,94,0,4
100,56,37,34,32,46,7
88,70,0,5,100,100,8
98,0,19,53,33,4,6
54,36,0,0,42,97,5
88,62,78,70,100,0,1
96,100,100,86,52,0,7
100,67,34,49,27,42,7
100,58,67,100,77,0,9
100,41,17,26,54,33,7
82,5,37,66,73,0,4
96,14,44,0,51,28,6
100,79,83,60,36,0,7
53,18,0,0,50,100,5
100,58,27,41,54,46,7
63,51,100,100,64,0,9
100,79,63,59,57,2,2
77,55,100,100,38,0,9
100,52,51,100,43,14,3
72,55,7,100,46,23,6
75,4,86,0,100,0,9
94,100,98,80,59,0,7
100,97,68,79,44,22,3
100,85,88,78,35,12,9
90,0,35,16,66,47,6
76,55,49,100,52,0,4
100,49,86,23,50,0,5
100,24,55,54,38,1,5
100,47,46,87,54,79,8
100,65,33,32,42,46,7
73,100,100,75,35,0,1
100,0,27,44,45,8,6
100,54,50,85,56,0,3
54,47,0,14,34,100,5
100,87,73,98,61,0,9
85,0,28,17,68,12,6
97,45,33,29,38,93,8
94,57,33,41,29,32,7
100,77,34,65,55,77,8
100,54,64,81,62,5,3
98,97,83,77,52,0,7
100,50,37,24,52,46,7
100,0,73,27,76,0,5
100,55,35,42,48,70,8
70,66,36,100,36,0,4
61,50,0,86,79,100,0
82,60,51,100,81,0,4
66,77,0,0,100,100,8
100,73,58,84,47,5,3
100,100,87,93,44,0,7
67,74,0,0,100,100,8
62,65,0,46,100,90,8
69,46,0,0,42,96,5
100,71,98,99,49,20,9
100,22,43,76,36,24,5
72,34,100,82,87,0,9
62,100,43,88,62,0,4
36,8,27,58,55,88,8
100,42,60,72,57,0,3
100,39,64,61,47,15,3
100,0,68,13,27,0,1
94,85,53,48,45,3,2
81,79,72,65,0,0,1
10,100,64,89,22,64,9
100,50,50,68,59,11,3
100,39,69,49,70,0,3
98,51,31,15,25,52,7
54,49,6,88,48,44,0
60,100,100,77,48,0,1
69,30,0,0,41,92,5
100,49,26,30,50,6,1
100,77,43,47,47,4,2
100,48,50,16,58,0,2
69,32,0,77,85,100,0
73,91,85,88,42,6,1
77,65,100,72,0,2,1
100,82,41,59,82,45,7
100,51,58,79,54,11,3
100,58,85,80,60,8,9
44,17,0,0,90,95,8
100,48,34,19,55,11,2
71,100,100,94,66,0,1
59,53,82,41,38,0,1
82,2,19,51,62,22,6
99,91,84,86,43,0,9
100,45,35,14,56,0,2
100,36,33,0,50,0,2
80,100,97,84,55,0,1
100,83,44,58,25,36,7
100,39,43,0,58,0,2
100,65,47,100,37,5,3
90,81,3,0,100,100,8
67,48,0,14,40,99,5
100,83,57,71,44,42,7
89,49,58,100,37,0,4
34,84,19,100,21,24,0
100,30,39,0,57,0,2
100,63,38,34,46,0,2
100,79,84,66,36,5,9
59,47,0,90,71,98,0
100,74,60,62,52,4,3
45,8,0,0,52,100,5
81,100,90,78,36,0,1
100,37,40,1,61,0,2
100,61,36,79,33,86,8
79,0,26,24,95,25,6
93,17,33,60,85,0,4
100,69,45,32,50,0,2
76,21,5,77,45,10,6
59,27,0,0,45,96,5
62,57,100,79,52,12,9
76,15,23,29,46,22,6
72,91,0,28,100,95,8
77,76,88,65,70,0,1
94,80,75,76,56,5,3
89,70,22,23,43,89,8
25,100,49,70,95,22,0
97,100,93,100,58,0,7
100,32,49,11,62,0,2
100,0,9,53,97,97,0
100,80,32,76,48,38,7
78,57,28,100,42,0,4
48,0,6,35,81,84,8
76,38,80,22,73,64,8
100,100,98,79,45,0,7
100,100,85,77,20,0,7
65,100,0,20,79,89,8
83,20,26,42,47,39,6
49,61,0,100,50,83,0
71,100,100,87,72,0,1
100,68,43,34,50,0,2
100,60,56,100,34,2,3
70,52,0,0,35,100,5
77,100,95,84,41,0,1
37,90,4,100,24,62,0
100,75,81,100,73,0,9
62,52,0,92,66,88,0
82,0,39,78,67,0,4
61,13,0,0,44,94,5
100,29,53,80,52,8,5
79,0,28,25,92,26,6
76,3,84,0,100,0,9
60,32,100,60,70,3,9
96,79,70,54,29,31,7
75,22,18,65,51,20,6
38,20,14,56,50,71,8
100,17,47,0,50,27,6
84,94,96,85,79,0,1
83,100,13,16,48,100,8
55,91,25,37,36,93,5
100,6,53,69,59,0,5
84,8,27,34,53,15,6
56,41,0,83,81,98,0
100,78,62,43,38,3,2
97,41,23,23,52,41,7
60,0,0,19,100,100,8
74,100,100,87,61,0,1
98,76,62,58,30,43,7
62,0,0,9,100,98,8
97,61,46,100,55,0,4
46,67,15,100,34,41,0
71,13,90,60,62,1,9
65,66,0,38,100,98,8
37,63,9,97,58,77,0
100,58,61,68,55,3,3
0,87,43,100,54,80,9
100,67,58,96,41,18,3
100,35,55,100,87,0,9
71,28,0,0,100,92,8
100,75,43,50,2,29,7
93,18,43,65,83,0,4
61,100,100,84,41,0,1
100,39,71,70,52,0,5
95,69,30,66,61,39,7
100,11,0,75,44,54,0
48,66,0,100,52,76,0
72,28,0,77,86,97,0
95,100,36,87,70,100,8
80,56,7,0,41,100,5
43,70,0,100,53,86,0
100,22,34,7,69,11,2
90,2,33,0,60,30,6
54,33,0,12,50,100,5
100,79,56,41,37,0,2
100,30,52,0,50,4,2
100,45,31,12,50,68,7
100,70,79,88,50,0,9
56,31,100,45,78,16,8
0,100,50,89,11,25,0
75,51,85,53,65,0,1
56,67,28,1,18,100,5
67,100,100,82,58,0,1
100,46,62,92,58,0,3
100,56,40,37,50,6,1
