@relation 'penbased-weka.filters.unsupervised.attribute.Remove-V-R2,7-8,10-11,14,17'

@attribute At2 numeric
@attribute At7 numeric
@attribute At8 numeric
@attribute At10 numeric
@attribute At11 numeric
@attribute At14 numeric
@attribute Class {0,1,2,3,4,5,6,7,8,9}

@data
100,26,0,23,56,90,8
100,17,47,16,37,16,6
85,87,50,12,58,22,7
73,70,73,48,5,0,2
77,50,0,17,0,98,5
92,26,0,6,100,89,0
100,100,77,82,49,27,4
72,60,41,12,0,6,2
91,52,87,57,74,1,5
100,65,82,47,100,0,9
100,24,42,44,100,25,4
90,23,0,35,0,97,5
72,70,100,73,65,47,9
94,59,57,33,100,0,3
97,42,86,72,89,7,9
42,95,100,85,81,28,1
100,0,40,28,88,22,4
74,20,0,25,0,87,5
67,85,99,74,89,24,1
80,9,0,41,5,95,5
95,75,47,25,0,1,2
90,47,49,44,100,0,3
100,5,21,0,100,30,6
96,77,60,36,75,0,3
67,38,0,30,45,90,8
100,79,97,62,0,0,8
73,53,0,34,100,100,0
85,81,31,0,6,64,8
97,74,0,43,82,100,0
84,60,44,19,26,13,2
73,100,81,55,58,8,2
32,6,93,56,100,0,8
100,37,70,53,100,0,5
83,65,61,45,97,0,3
100,51,33,0,15,39,7
76,34,40,16,12,10,2
76,57,25,3,0,6,2
77,12,13,0,100,83,0
100,0,17,0,100,37,6
72,69,74,49,79,0,1
80,33,53,28,4,2,2
89,73,61,37,81,0,3
100,0,28,0,75,31,6
95,16,43,6,52,29,6
54,82,17,54,89,100,0
97,50,0,20,17,98,5
64,95,87,65,67,22,1
90,87,76,56,74,12,3
95,19,61,61,61,2,5
68,47,42,9,39,41,8
100,65,41,8,5,24,7
80,54,44,18,0,8,2
100,29,38,55,71,20,4
100,100,64,48,82,15,1
52,73,62,55,83,0,9
100,59,42,64,79,32,4
89,23,45,48,100,39,4
100,1,18,10,96,33,6
89,24,0,3,100,86,0
66,100,100,74,96,22,1
73,41,35,3,0,9,2
100,93,92,64,74,6,9
67,100,22,75,54,87,0
100,0,93,92,100,0,9
100,92,53,84,69,28,4
99,10,58,53,100,0,5
77,20,50,66,86,31,9
70,88,5,43,78,100,0
68,85,0,12,53,100,8
86,85,54,25,64,0,3
84,69,45,19,0,6,2
100,15,30,0,89,34,6
100,0,25,0,94,22,6
91,4,0,51,4,100,5
96,100,30,0,5,68,8
100,91,0,18,78,92,8
73,41,30,13,38,0,2
100,0,16,0,100,44,6
86,65,57,36,81,0,3
83,50,57,40,100,0,3
100,5,21,0,100,34,6
72,50,42,12,0,3,2
100,4,28,36,90,25,4
55,66,65,29,31,4,1
100,63,37,0,15,31,7
89,45,34,0,0,47,8
76,68,33,10,0,14,2
51,100,100,75,47,25,1
71,59,39,9,0,0,2
61,89,100,80,86,26,1
