@relation 'penbased-weka.filters.unsupervised.attribute.Remove-V-R2,7-10,13,17'

@attribute At2 numeric
@attribute At7 numeric
@attribute At8 numeric
@attribute At9 numeric
@attribute At10 numeric
@attribute At13 numeric
@attribute Class {0,1,2,3,4,5,6,7,8,9}

@data
80,79,68,100,62,54,9
86,34,0,4,26,34,5
0,88,52,100,79,56,9
91,30,0,0,19,39,5
90,100,81,77,59,37,3
94,41,0,84,19,77,0
96,83,28,72,0,51,7
87,5,42,88,49,84,4
100,0,22,48,0,66,6
100,27,97,80,68,49,9
93,89,29,19,0,26,5
100,11,25,38,0,65,6
100,0,22,45,0,76,6
88,70,86,93,71,38,9
78,77,76,94,38,41,3
66,14,32,0,0,67,2
75,67,63,100,43,47,3
100,54,0,8,2,35,5
48,92,100,100,84,73,1
100,19,42,69,37,90,4
92,25,0,0,8,40,5
0,94,61,100,90,44,9
100,13,29,11,0,41,6
98,55,0,100,36,34,0
100,15,31,60,28,91,4
100,0,25,52,29,96,4
55,75,71,56,42,0,1
80,82,43,75,4,44,7
100,69,24,100,48,80,4
78,69,39,44,0,35,8
88,64,40,49,0,49,7
99,62,25,0,0,20,5
96,24,87,91,80,54,9
82,64,66,85,40,48,3
78,70,53,29,12,7,7
100,62,28,100,45,68,4
89,51,0,84,20,84,0
74,90,14,100,64,18,0
100,89,31,100,59,71,4
100,82,99,100,84,37,9
100,100,95,83,70,56,9
82,64,43,25,5,50,2
100,12,18,60,0,44,6
92,73,0,12,22,3,5
85,52,0,91,30,70,0
89,82,37,48,0,19,7
86,77,21,27,0,36,5
75,47,34,14,4,52,2
90,72,11,8,0,29,5
74,49,37,18,7,49,2
89,69,11,11,0,31,5
78,68,37,54,0,35,7
84,94,50,83,11,45,7
61,41,53,7,18,49,2
85,75,0,100,40,42,0
64,44,34,0,18,71,2
58,100,100,87,75,76,1
100,43,54,92,61,84,4
95,54,0,20,21,37,5
88,34,53,0,31,50,2
95,0,74,16,54,71,5
74,10,60,87,75,69,9
98,59,61,99,39,47,3
100,0,25,26,0,62,6
100,15,13,61,0,49,6
85,86,67,100,45,49,3
100,100,0,32,0,71,8
100,8,12,55,0,51,6
89,29,42,0,16,64,2
91,53,0,13,12,36,5
81,100,100,89,75,67,7
68,64,65,31,36,43,2
100,0,24,28,0,78,6
95,81,100,62,44,96,8
79,54,58,25,29,52,2
100,45,0,15,33,34,5
94,65,0,0,8,31,5
100,17,27,35,0,49,6
100,46,35,100,34,77,4
35,100,100,83,80,41,1
98,55,55,87,32,39,5
73,53,7,73,49,54,8
98,0,15,55,0,39,6
70,38,38,28,5,50,1
100,30,32,0,10,64,2
94,33,0,0,26,41,5
90,75,80,100,83,58,9
94,59,0,17,4,42,5
100,11,19,59,0,62,6
100,53,38,100,55,81,4
95,88,50,79,19,35,7
66,55,61,44,23,21,1
100,38,96,58,55,72,9
80,80,59,66,35,34,3
66,24,34,0,0,61,2
78,35,39,0,32,62,2
80,13,0,0,26,46,5
