@relation 'penbased-weka.filters.unsupervised.attribute.Remove-V-R1-2,7,9-11,14,17'

@attribute At1 numeric
@attribute At2 numeric
@attribute At7 numeric
@attribute At9 numeric
@attribute At10 numeric
@attribute At11 numeric
@attribute At14 numeric
@attribute Class {0,1,2,3,4,5,6,7,8,9}

@data
99,80,79,100,62,97,0,9
10,86,34,4,26,0,95,5
0,0,88,100,79,82,82,9
29,91,30,0,19,3,97,5
5,90,100,77,59,62,14,3
38,94,41,84,19,100,98,0
3,96,83,72,0,100,41,7
0,87,5,88,49,100,28,4
85,100,0,48,0,100,47,6
37,100,27,80,68,100,0,9
45,93,89,19,0,15,93,5
100,100,11,38,0,99,29,6
86,100,0,45,0,100,40,6
100,88,70,93,71,70,19,9
2,78,77,94,38,94,3,3
3,66,14,0,0,33,10,2
21,75,67,100,43,95,0,3
24,100,54,8,2,0,95,5
0,48,92,100,84,86,28,1
52,100,19,69,37,100,30,4
38,92,25,0,8,8,93,5
0,0,94,100,90,63,76,9
100,100,13,11,0,51,20,6
22,98,55,100,36,84,100,0
3,100,15,60,28,100,26,4
70,100,0,52,29,100,38,4
28,55,75,56,42,35,0,1
0,80,82,75,4,39,16,7
45,100,69,100,48,73,53,4
0,78,69,44,0,100,37,8
0,88,64,49,0,40,42,7
43,99,62,0,0,7,96,5
38,96,24,91,80,100,0,9
17,82,64,85,40,94,3,3
10,78,70,29,12,0,45,7
9,100,62,100,45,86,27,4
7,89,51,84,20,100,100,0
6,74,90,100,64,67,78,0
48,100,89,100,59,77,42,4
72,100,82,100,84,70,16,9
80,100,100,83,70,81,15,9
45,82,64,25,5,0,4,2
93,100,12,60,0,100,32,6
8,92,73,12,22,0,97,5
23,85,52,91,30,100,100,0
0,89,82,48,0,11,32,7
14,86,77,27,0,14,93,5
0,75,47,14,4,4,9,2
27,90,72,8,0,7,84,5
26,74,49,18,7,0,15,2
17,89,69,11,0,10,100,5
0,78,68,54,0,6,37,7
0,84,94,83,11,62,26,7
9,61,41,7,18,0,2,2
38,85,75,100,40,85,100,0
33,64,44,0,18,32,0,2
0,58,100,87,75,78,25,1
73,100,43,92,61,100,35,4
8,95,54,20,21,0,100,5
14,88,34,0,31,1,0,2
28,95,0,16,54,86,13,5
98,74,10,87,75,100,17,9
22,98,59,99,39,95,0,3
100,100,0,26,0,86,24,6
94,100,15,61,0,100,31,6
25,85,86,100,45,88,9,3
79,100,100,32,0,52,100,8
89,100,8,55,0,100,23,6
10,89,29,0,16,20,20,2
1,91,53,13,12,0,97,5
0,81,100,89,75,77,25,7
4,68,64,31,36,0,0,2
91,100,0,28,0,100,26,6
100,95,81,62,44,2,0,8
0,79,54,25,29,4,0,2
26,100,45,15,33,0,97,5
13,94,65,0,8,3,100,5
100,100,17,35,0,83,16,6
9,100,46,100,34,74,27,4
0,35,100,83,80,61,27,1
100,98,55,87,32,81,0,5
38,73,53,73,49,98,100,8
91,98,0,55,0,100,38,6
38,70,38,28,5,0,4,1
44,100,30,0,10,29,1,2
32,94,33,0,26,17,98,5
82,90,75,100,83,91,9,9
32,94,59,17,4,12,100,5
73,100,11,59,0,100,44,6
32,100,53,100,55,94,28,4
0,95,88,79,19,66,27,7
34,66,55,44,23,0,3,1
0,100,38,58,55,96,0,9
75,80,80,66,35,66,0,3
14,66,24,0,0,22,9,2
40,78,35,0,32,27,7,2
42,80,13,0,26,11,100,5
27,100,49,100,36,82,31,4
25,75,100,68,51,97,9,3
31,91,85,100,82,66,50,4
38,79,69,31,17,0,20,2
25,89,66,100,33,81,0,3
31,100,75,100,79,68,31,4
21,83,73,92,35,100,0,3
14,100,50,31,0,0,29,7
56,86,18,48,62,81,7,5
0,34,100,95,78,84,26,1
9,96,69,100,48,82,100,0
0,73,100,86,69,76,22,1
98,70,46,100,73,84,6,9
86,86,53,100,86,83,32,9
0,80,63,58,0,35,39,7
68,100,44,100,66,86,20,4
43,99,30,0,25,10,100,5
7,96,46,11,25,0,96,5
44,100,40,63,62,77,10,9
93,93,0,23,8,100,26,6
4,11,24,41,53,100,0,8
69,100,31,80,28,100,99,0
0,5,76,100,100,79,35,1
11,31,100,67,77,44,26,1
0,82,45,49,43,100,6,3
85,100,100,71,91,91,24,9
100,98,39,75,52,73,5,5
0,53,10,2,34,66,100,8
100,100,85,94,85,81,27,9
5,84,32,0,19,29,23,2
0,88,50,23,0,9,51,7
56,100,45,100,42,83,28,4
23,84,80,68,51,76,12,3
45,100,0,40,0,100,36,6
42,98,71,14,16,54,91,8
0,79,100,63,46,23,4,2
0,97,100,94,62,72,21,7
100,100,22,55,0,90,24,6
30,63,77,40,24,0,19,2
10,77,31,44,44,18,8,1
8,100,26,100,44,72,27,4
82,100,60,93,89,100,26,9
12,58,88,62,64,50,21,1
0,94,76,55,5,29,28,7
25,100,0,56,19,90,24,4
40,98,11,93,0,100,51,6
26,97,22,0,23,8,100,5
52,70,0,55,72,96,26,9
0,95,69,38,4,0,22,7
0,99,100,83,32,61,28,7
31,91,37,80,15,100,91,0
57,100,0,54,36,100,33,4
0,96,80,49,94,100,7,9
85,69,76,36,5,0,7,2
79,90,0,2,0,95,27,6
100,100,5,29,0,79,24,6
46,99,24,70,4,100,76,0
12,14,53,32,65,80,0,8
25,84,5,0,35,10,90,5
96,82,31,100,84,91,28,9
55,73,75,43,16,0,19,2
0,33,81,72,72,72,16,1
0,47,100,77,75,53,23,1
62,100,8,57,0,100,35,6
26,90,53,20,32,0,96,5
66,98,17,11,52,0,13,8
7,69,74,100,49,85,100,0
33,100,18,58,29,98,25,4
12,69,70,79,49,100,0,3
1,68,55,7,2,0,0,2
36,90,40,13,30,0,100,5
28,100,96,100,74,71,33,4
14,86,40,94,10,100,86,0
0,76,46,43,0,22,36,7
32,86,57,100,30,97,100,0
36,60,36,0,3,15,0,2
33,78,36,0,17,27,0,2
0,85,33,9,13,24,4,2
93,87,75,100,80,67,27,9
44,81,64,99,42,93,1,3
0,64,91,88,70,87,23,1
0,56,68,70,7,11,0,1
9,83,64,85,50,100,3,3
20,100,72,100,63,87,34,4
59,94,50,0,0,21,96,5
62,76,90,100,74,90,25,9
13,83,44,4,22,0,1,2
48,97,0,5,31,49,95,8
46,83,0,18,32,36,87,5
38,100,7,0,23,9,98,5
41,84,33,47,39,93,100,8
95,96,57,100,55,93,48,4
75,91,53,11,0,0,70,8
100,100,0,22,6,71,25,6
66,93,0,17,35,59,52,8
100,99,16,61,52,78,0,5
54,69,39,0,0,16,18,2
68,74,86,97,46,100,0,9
32,92,18,0,24,17,100,5
100,100,27,70,53,73,0,5
59,100,29,81,21,100,98,0
57,100,85,100,73,65,43,4
24,83,66,100,35,87,0,3
0,100,56,42,0,15,33,7
43,98,62,15,0,17,95,5
0,88,59,55,50,100,11,3
51,94,6,42,50,87,5,5
47,86,67,97,32,96,0,3
87,82,41,100,90,98,12,9
39,83,17,0,36,44,100,8
22,71,0,1,37,13,91,5
100,97,10,54,52,76,5,5
23,85,53,32,0,0,5,1
5,39,100,73,75,55,25,1
13,92,79,100,55,79,100,0
0,84,24,70,43,100,0,3
9,100,35,84,46,100,26,4
32,89,57,97,27,100,99,0
100,92,84,79,75,72,0,9
86,100,0,36,0,100,31,6
42,96,44,92,23,100,99,0
