@relation 'penbased-weka.filters.unsupervised.attribute.Remove-V-R1,7,10-13,17'

@attribute At1 numeric
@attribute At7 numeric
@attribute At10 numeric
@attribute At11 numeric
@attribute At12 numeric
@attribute At13 numeric
@attribute Class {0,1,2,3,4,5,6,7,8,9}

@data
99,79,62,97,23,54,9
10,34,26,0,69,34,5
0,88,79,82,100,56,9
29,30,19,3,72,39,5
5,100,59,62,34,37,3
38,41,19,100,60,77,0
3,83,0,100,34,51,7
0,5,49,100,58,84,4
85,0,0,100,21,66,6
37,27,68,100,26,49,9
45,89,0,15,43,26,5
100,11,0,99,8,65,6
86,0,0,100,16,76,6
100,70,71,70,44,38,9
2,77,38,94,0,41,3
3,14,0,33,5,67,2
21,67,43,95,11,47,3
24,54,2,0,58,35,5
0,92,84,86,56,73,1
52,19,37,100,54,90,4
38,25,8,8,61,40,5
0,94,90,63,100,44,9
100,13,0,51,2,41,6
22,55,36,84,89,34,0
3,15,28,100,42,91,4
70,0,29,100,41,96,4
28,75,42,35,13,0,1
0,82,4,39,0,44,7
45,69,48,73,98,80,4
0,69,0,100,7,35,8
0,64,0,40,13,49,7
43,62,0,7,49,20,5
38,24,80,100,30,54,9
17,64,40,94,12,48,3
10,70,12,0,0,7,7
9,62,45,86,55,68,4
7,51,20,100,61,84,0
6,90,64,67,100,18,0
48,89,59,77,85,71,4
72,82,84,70,48,37,9
80,100,70,81,41,56,9
45,64,5,0,0,50,2
93,12,0,100,21,44,6
8,73,22,0,61,3,5
23,52,30,100,67,70,0
0,82,0,11,5,19,7
14,77,0,14,55,36,5
0,47,4,4,10,52,2
27,72,0,7,41,29,5
26,49,7,0,7,49,2
17,69,0,10,60,31,5
0,68,0,6,25,35,7
0,94,11,62,0,45,7
9,41,18,0,8,49,2
38,75,40,85,87,42,0
33,44,18,32,26,71,2
0,100,75,78,50,76,1
73,43,61,100,71,84,4
8,54,21,0,68,37,5
14,34,31,1,7,50,2
28,0,54,86,42,71,5
98,10,75,100,47,69,9
22,59,39,95,10,47,3
100,0,0,86,7,62,6
94,15,0,100,20,49,6
25,86,45,88,24,49,3
79,100,0,52,55,71,8
89,8,0,100,14,51,6
10,29,16,20,19,64,2
1,53,12,0,68,36,5
0,100,75,77,50,67,7
4,64,36,0,8,43,2
91,0,0,100,5,78,6
100,81,44,2,5,96,8
0,54,29,4,5,52,2
26,45,33,0,77,34,5
13,65,8,3,57,31,5
100,17,0,83,0,49,6
9,46,34,74,67,77,4
0,100,80,61,54,41,1
100,55,32,81,4,39,5
38,53,49,98,90,54,8
91,0,0,100,27,39,6
38,38,5,0,0,50,1
44,30,10,29,7,64,2
32,33,26,17,69,41,5
82,75,83,91,43,58,9
32,59,4,12,64,42,5
73,11,0,100,19,62,6
32,53,55,94,57,81,4
0,88,19,66,0,35,7
34,55,23,0,0,21,1
0,38,55,96,44,72,9
75,80,35,66,9,34,3
14,24,0,22,15,61,2
40,35,32,27,22,62,2
42,13,26,11,70,46,5
27,49,36,82,62,68,4
25,100,51,97,27,51,3
31,85,82,66,100,68,4
38,69,17,0,22,54,2
25,66,33,81,7,41,3
31,75,79,68,63,33,4
21,73,35,100,9,52,3
14,50,0,0,9,25,7
56,18,62,81,38,50,5
0,100,78,84,51,73,1
9,69,48,82,97,28,0
0,100,69,76,46,69,1
98,46,73,84,37,52,9
86,53,86,83,66,61,9
0,63,0,35,25,55,7
68,44,66,86,46,51,4
43,30,25,10,73,42,5
7,46,25,0,71,29,5
44,40,62,77,60,67,9
93,0,8,100,9,86,6
4,24,53,100,24,57,8
69,31,28,100,75,56,0
0,76,100,79,68,60,1
11,100,77,44,51,33,1
0,45,43,100,25,83,3
85,100,91,91,57,62,9
