@relation ecoli

@attribute Mcg numeric
@attribute Alm2 numeric
@attribute Site {cp,im,imS,imL,imU,om,omL,pp}

@data
52,54,cp
34,43,cp
51,43,cp
36,46,cp
41,25,cp
18,35,cp
25,29,cp
4,44,cp
29,34,cp
38,29,cp
36,54,cp
38,35,cp
25,36,cp
29,17,cp
59,36,cp
22,39,cp
23,37,cp
5,34,cp
52,42,cp
43,52,cp
37,36,cp
44,36,cp
47,25,cp
25,42,cp
25,42,cp
52,38,cp
42,27,cp
4,47,cp
44,4,cp
41,51,cp
17,46,cp
4,0,cp
51,26,cp
35,48,cp
2,57,cp
43,44,cp
41,41,cp
47,26,cp
24,31,cp
49,35,cp
28,42,cp
36,23,cp
51,35,cp
7,44,cp
37,47,cp
28,33,cp
36,41,cp
26,41,cp
33,41,cp
56,46,cp
32,2,cp
57,33,cp
65,4,cp
5,53,cp
21,39,cp
53,36,cp
3,32,cp
44,61,cp
22,47,cp
29,46,cp
17,5,cp
17,39,cp
42,37,cp
24,4,cp
21,41,cp
49,4,cp
31,14,cp
4,39,cp
36,53,cp
42,43,cp
34,44,cp
33,29,cp
34,56,cp
44,37,cp
3,23,cp
44,43,cp
4,44,cp
24,38,cp
34,41,cp
43,39,cp
4,27,cp
3,49,cp
27,43,cp
31,39,cp
42,36,cp
64,38,cp
56,46,cp
42,3,cp
23,59,cp
34,44,cp
25,42,cp
51,45,cp
35,43,cp
23,38,cp
48,35,cp
39,43,cp
23,35,cp
51,41,cp
34,35,cp
3,3,cp
34,44,cp
53,39,cp
61,41,cp
32,38,cp
25,5,cp
3,33,cp
41,31,cp
22,28,cp
27,39,cp
54,42,cp
41,32,cp
24,59,cp
4,33,cp
44,2,cp
37,45,cp
16,37,cp
38,28,cp
29,5,cp
25,52,cp
61,44,cp
38,31,cp
35,27,cp
44,54,cp
23,43,cp
44,58,cp
34,46,cp
67,46,cp
43,41,cp
74,89,im
12,63,im
34,9,im
29,69,im
5,92,im
61,52,im
83,74,im
44,54,im
31,85,im
61,32,im
6,37,im
31,82,im
69,79,im
63,66,im
84,74,im
61,88,im
35,74,im
58,81,im
49,81,im
55,8,im
33,69,im
0,44,im
45,77,im
31,94,im
48,71,im
47,79,im
47,75,im
6,71,im
7,83,im
33,8,im
54,88,im
11,68,im
58,74,im
73,92,im
46,23,im
27,79,im
71,99,im
63,86,im
12,74,im
23,89,im
5,69,im
52,73,im
41,78,im
54,83,im
72,7,im
34,8,im
37,79,im
52,79,im
5,66,im
1,21,im
51,67,im
6,8,im
36,72,im
43,78,im
39,75,im
74,69,im
6,83,im
3,34,im
33,89,im
48,88,im
66,66,im
4,84,im
63,81,im
64,73,im
59,82,im
71,74,im
2,81,im
89,76,im
63,84,im
36,17,im
63,79,imS
75,3,imL
7,84,imL
64,76,imU
81,68,imU
66,74,imU
77,74,imU
72,79,imU
79,83,imU
83,79,imU
58,76,imU
78,79,imU
81,88,imU
76,75,imU
86,9,imU
7,87,imU
84,7,imU
49,74,imU
84,74,imU
75,74,imU
59,77,imU
78,68,imU
76,62,imU
57,33,imU
86,83,imU
67,68,imU
73,78,imU
69,77,imU
64,66,imU
47,77,imU
63,8,imU
88,75,imU
62,81,imU
87,79,imU
81,8,imU
74,29,om
64,26,om
63,28,om
73,29,om
68,3,om
78,29,om
52,38,om
6,52,om
61,33,om
65,33,om
74,15,om
75,3,om
77,2,om
67,37,om
67,25,om
68,27,om
63,28,om
69,21,om
66,36,omL
68,28,omL
71,3,omL
77,1,omL
56,3,pp
67,33,pp
67,23,pp
66,43,pp
69,24,pp
43,56,pp
72,21,pp
74,3,pp
67,38,pp
63,34,pp
68,34,pp
64,19,pp
63,29,pp
67,25,pp
63,49,pp
73,31,pp
75,33,pp
32,38,pp
61,38,pp
66,35,pp
62,54,pp
64,44,pp
63,35,pp
65,51,pp
7,85,pp
69,52,pp
69,25,pp
62,4,pp
64,2,pp
7,47,pp
68,56,pp
59,37,pp
29,48,pp
71,32,pp
74,42,pp
71,32,pp
69,41,pp
64,4,pp
64,38,pp
7,43,pp
71,39,pp
69,26,pp
68,42,pp
63,39,pp
74,52,pp
76,39,pp
63,2,pp
