@relation ecoli

@attribute Gvh numeric
@attribute Alm2 numeric
@attribute Site {cp,im,imS,imL,imU,om,omL,pp}

@data
37,3,cp
41,54,cp
46,41,cp
47,26,cp
49,53,cp
43,37,cp
57,32,cp
43,4,cp
33,33,cp
42,43,cp
41,46,cp
4,38,cp
4,37,cp
28,44,cp
51,46,cp
55,28,cp
26,42,cp
31,43,cp
39,41,cp
45,35,cp
43,41,cp
47,4,cp
23,14,cp
43,38,cp
43,28,cp
47,29,cp
35,59,cp
3,36,cp
4,39,cp
42,41,cp
29,43,cp
43,59,cp
37,45,cp
5,41,cp
32,35,cp
44,47,cp
51,34,cp
37,43,cp
5,35,cp
4,52,cp
41,34,cp
28,34,cp
44,31,cp
38,43,cp
37,36,cp
32,52,cp
34,4,cp
46,29,cp
26,28,cp
34,39,cp
45,0,cp
45,32,cp
49,26,cp
32,35,cp
4,42,cp
51,31,cp
44,57,cp
16,23,cp
38,36,cp
51,5,cp
27,58,cp
37,49,cp
4,3,cp
3,17,cp
48,51,cp
28,25,cp
57,43,cp
39,46,cp
29,44,cp
35,56,cp
57,54,cp
39,39,cp
42,43,cp
52,46,cp
5,45,cp
56,54,cp
33,44,cp
45,41,cp
38,55,cp
36,47,cp
29,35,cp
48,29,cp
44,42,cp
42,35,cp
49,36,cp
44,33,cp
34,27,cp
48,48,cp
42,2,cp
56,53,cp
46,44,cp
37,42,cp
31,39,cp
35,61,cp
49,4,cp
4,35,cp
42,38,cp
37,44,cp
39,23,cp
33,43,cp
38,5,cp
52,36,cp
42,27,cp
47,39,cp
58,59,cp
54,43,cp
35,27,cp
45,41,cp
51,46,cp
34,43,cp
4,46,cp
54,46,cp
47,34,cp
28,5,cp
3,39,cp
3,39,cp
38,42,cp
35,42,cp
26,35,cp
37,52,cp
47,42,cp
51,41,cp
54,33,cp
52,39,cp
46,56,cp
36,44,cp
43,25,cp
28,37,cp
36,38,cp
51,44,im
45,89,im
51,78,im
4,67,im
37,69,im
66,88,im
55,75,im
75,66,im
37,69,im
46,83,im
67,79,im
5,68,im
52,52,im
46,73,im
46,7,im
53,66,im
66,92,im
47,69,im
7,69,im
51,74,im
45,17,im
4,74,im
51,48,im
47,72,im
46,81,im
44,82,im
44,74,im
41,75,im
5,8,im
4,78,im
47,8,im
55,76,im
56,8,im
47,32,im
67,63,im
43,74,im
5,86,im
57,83,im
4,77,im
65,71,im
36,94,im
49,88,im
52,99,im
55,74,im
57,66,im
54,81,im
56,82,im
48,89,im
36,92,im
35,79,im
59,23,im
51,34,im
5,84,im
52,54,im
51,78,im
49,71,im
39,73,im
34,81,im
45,8,im
61,87,im
41,88,im
4,83,im
54,79,im
39,79,im
61,71,im
42,81,im
49,8,im
37,74,im
58,73,im
49,79,imS
53,35,imS
55,3,imL
39,84,imL
43,77,imU
45,66,imU
37,68,imU
49,74,imU
42,75,imU
42,79,imU
42,8,imU
54,7,imU
51,76,imU
53,87,imU
37,74,imU
41,62,imU
53,88,imU
48,79,imU
6,76,imU
48,74,imU
55,74,imU
52,8,imU
61,74,imU
38,33,imU
55,83,imU
71,75,imU
42,81,imU
29,77,imU
44,68,imU
46,77,imU
26,78,imU
46,76,imU
36,7,imU
33,79,imU
54,68,imU
88,25,om
63,3,om
71,36,om
76,27,om
49,28,om
75,33,om
84,29,om
76,3,om
57,2,om
51,33,om
9,29,om
68,45,om
84,37,om
59,21,om
57,26,om
76,52,om
69,28,om
81,38,om
46,3,omL
49,28,omL
55,16,omL
57,1,omL
49,36,omL
83,19,pp
81,25,pp
65,41,pp
1,49,pp
59,52,pp
49,36,pp
86,34,pp
84,33,pp
81,44,pp
86,32,pp
86,21,pp
66,2,pp
7,33,pp
64,47,pp
56,3,pp
57,51,pp
57,2,pp
47,42,pp
59,56,pp
72,19,pp
71,39,pp
83,4,pp
59,33,pp
39,48,pp
71,35,pp
54,3,pp
57,32,pp
71,85,pp
73,39,pp
74,52,pp
61,43,pp
81,23,pp
82,41,pp
78,42,pp
71,39,pp
8,26,pp
61,37,pp
67,24,pp
74,43,pp
78,38,pp
86,36,pp
66,25,pp
65,35,pp
67,34,pp
61,38,pp
78,31,pp
