@relation ecoli

@attribute Gvh numeric
@attribute Lip numeric
@attribute Alm1 numeric
@attribute Site {cp,im,imS,imL,imU,om,omL,pp}

@data
28,48,35,cp
49,48,46,cp
27,48,52,cp
44,48,2,cp
3,48,3,cp
37,48,41,cp
51,48,42,cp
43,48,16,cp
35,48,49,cp
55,48,37,cp
36,48,39,cp
43,48,24,cp
4,48,28,cp
48,48,4,cp
57,48,34,cp
4,48,44,cp
42,48,38,cp
47,48,18,cp
41,48,38,cp
23,48,5,cp
49,48,14,cp
32,48,24,cp
51,48,37,cp
42,48,25,cp
4,48,28,cp
49,48,45,cp
35,48,15,cp
42,48,32,cp
56,48,46,cp
51,48,32,cp
43,48,28,cp
39,48,38,cp
47,48,33,cp
43,48,27,cp
41,48,47,cp
47,48,23,cp
28,48,2,cp
45,48,22,cp
38,48,33,cp
37,48,35,cp
26,48,32,cp
16,48,11,cp
37,48,44,cp
32,48,45,cp
47,48,28,cp
44,48,39,cp
32,48,25,cp
4,48,25,cp
28,48,27,cp
45,48,21,cp
29,48,24,cp
5,48,32,cp
37,48,36,cp
52,48,37,cp
3,48,29,cp
45,48,32,cp
51,48,23,cp
46,48,49,cp
43,48,52,cp
34,48,33,cp
43,48,3,cp
56,48,45,cp
5,48,36,cp
37,48,33,cp
47,48,16,cp
5,48,32,cp
39,48,3,cp
42,48,27,cp
37,48,34,cp
44,48,36,cp
54,48,38,cp
42,48,25,cp
28,48,42,cp
42,48,28,cp
38,48,26,cp
49,48,38,cp
46,48,35,cp
37,48,18,cp
52,48,29,cp
4,48,37,cp
51,48,2,cp
37,48,26,cp
41,48,23,cp
45,48,24,cp
57,48,47,cp
35,48,33,cp
4,48,18,cp
44,48,22,cp
48,48,17,cp
4,48,26,cp
38,48,34,cp
33,48,35,cp
35,48,52,cp
42,48,34,cp
28,48,23,cp
4,48,33,cp
54,48,28,cp
29,48,33,cp
34,48,28,cp
58,48,53,cp
35,48,55,cp
26,48,25,cp
46,48,31,cp
43,48,31,cp
52,48,42,cp
31,48,34,cp
54,48,34,cp
51,48,37,cp
38,48,48,cp
3,48,28,cp
29,48,35,cp
39,48,31,cp
47,48,3,cp
48,48,44,cp
38,48,42,cp
45,48,35,cp
39,48,22,cp
36,48,35,cp
34,48,3,cp
34,48,3,cp
31,48,29,cp
33,48,22,cp
26,48,16,cp
57,48,21,cp
33,48,33,cp
46,48,22,cp
36,48,28,cp
3,48,26,cp
44,48,51,cp
51,48,75,im
61,48,86,im
39,48,76,im
47,48,69,im
36,48,91,im
42,48,79,im
45,48,78,im
46,48,81,im
57,48,81,im
4,48,7,im
37,48,64,im
46,48,78,im
7,48,65,im
66,48,92,im
57,48,61,im
55,48,7,im
58,48,78,im
41,48,72,im
55,48,72,im
41,48,9,im
54,48,79,im
44,48,79,im
4,48,74,im
43,48,7,im
35,48,77,im
49,48,77,im
46,48,66,im
56,48,8,im
52,48,47,im
37,48,71,im
48,48,88,im
5,1,77,im
75,48,73,im
49,48,85,im
55,48,71,im
67,48,76,im
44,48,71,im
45,48,88,im
5,48,72,im
4,48,86,im
34,48,87,im
51,48,39,im
46,48,78,im
51,48,61,im
39,48,71,im
52,48,67,im
66,48,87,im
4,48,62,im
5,48,85,im
67,48,58,im
56,48,78,im
65,48,67,im
37,48,65,im
45,48,79,im
4,48,75,im
49,48,87,im
36,48,94,im
61,48,67,im
54,48,76,im
47,48,8,im
5,48,82,im
47,48,65,im
47,48,78,im
51,48,67,im
51,48,71,im
53,48,66,im
59,48,76,im
51,48,75,im
52,48,1,im
53,48,52,imS
49,48,76,imS
55,1,47,imL
39,1,82,imL
42,48,77,imU
61,1,71,imU
53,48,86,imU
42,48,79,imU
71,48,71,imU
38,48,49,imU
6,48,73,imU
45,48,61,imU
46,48,74,imU
53,48,87,imU
48,48,7,imU
44,48,73,imU
33,48,77,imU
41,48,59,imU
54,48,92,imU
48,48,76,imU
49,48,78,imU
42,48,77,imU
37,48,64,imU
36,48,82,imU
29,48,75,imU
55,48,81,imU
46,48,73,imU
26,48,75,imU
52,48,78,imU
43,48,74,imU
42,48,73,imU
54,48,66,imU
55,48,78,imU
37,48,7,imU
51,48,72,imU
76,48,57,om
84,48,54,om
49,48,45,om
69,48,41,om
88,48,5,om
59,48,39,om
76,1,59,om
84,48,58,om
71,48,43,om
81,48,38,om
57,48,53,om
57,48,33,om
63,48,4,om
76,48,45,om
51,48,54,om
68,48,36,om
75,48,33,om
9,48,53,om
55,1,58,omL
57,1,54,omL
46,1,59,omL
49,1,55,omL
49,1,56,omL
74,48,38,pp
86,48,41,pp
8,48,57,pp
64,48,51,pp
82,48,49,pp
54,48,37,pp
71,48,54,pp
57,48,35,pp
49,48,54,pp
84,48,52,pp
83,48,36,pp
66,48,39,pp
67,48,4,pp
59,48,44,pp
61,48,52,pp
59,48,49,pp
73,48,39,pp
7,48,45,pp
67,48,39,pp
57,48,47,pp
86,48,55,pp
61,48,37,pp
86,48,54,pp
66,48,5,pp
39,48,4,pp
78,48,36,pp
78,48,44,pp
59,48,47,pp
86,48,47,pp
81,48,49,pp
83,48,39,pp
71,48,84,pp
71,48,5,pp
61,48,42,pp
65,48,44,pp
81,48,42,pp
57,48,7,pp
81,48,39,pp
74,48,53,pp
1,48,51,pp
65,48,48,pp
47,48,57,pp
72,48,42,pp
71,48,4,pp
56,48,68,pp
78,48,51,pp
