@relation ecoli

@attribute Gvh numeric
@attribute Aac numeric
@attribute Alm2 numeric
@attribute Site {cp,im,imS,imL,imU,om,omL,pp}

@data
34,38,4,cp
33,38,44,cp
4,54,44,cp
76,45,38,cp
52,42,36,cp
44,49,33,cp
4,36,37,cp
48,51,51,cp
46,48,29,cp
46,58,41,cp
38,42,55,cp
42,42,2,cp
51,44,46,cp
49,49,53,cp
42,45,35,cp
37,3,43,cp
48,44,29,cp
44,43,31,cp
29,56,35,cp
45,38,35,cp
16,56,23,cp
5,44,41,cp
57,39,32,cp
24,57,37,cp
35,45,42,cp
5,45,47,cp
37,53,44,cp
42,41,43,cp
38,45,5,cp
35,44,59,cp
4,63,35,cp
38,5,42,cp
28,56,25,cp
29,51,43,cp
32,55,35,cp
38,54,43,cp
36,41,38,cp
51,5,41,cp
35,55,61,cp
26,34,35,cp
4,46,52,cp
55,34,28,cp
34,43,37,cp
4,56,3,cp
28,5,5,cp
4,39,38,cp
57,63,43,cp
54,37,33,cp
45,52,41,cp
28,44,34,cp
43,48,28,cp
38,44,36,cp
33,6,2,cp
51,58,31,cp
32,46,35,cp
37,43,3,cp
51,34,46,cp
41,55,33,cp
4,39,39,cp
43,45,41,cp
39,48,23,cp
47,41,34,cp
52,49,46,cp
54,41,46,cp
4,49,46,cp
29,42,44,cp
5,42,45,cp
37,48,52,cp
34,51,39,cp
49,39,4,cp
23,73,14,cp
35,31,31,cp
58,37,59,cp
37,43,36,cp
28,43,37,cp
3,45,17,cp
37,59,49,cp
47,22,26,cp
55,58,41,cp
54,41,43,cp
31,41,39,cp
39,53,39,cp
34,42,39,cp
43,37,38,cp
48,56,48,cp
47,59,4,cp
3,43,39,cp
26,54,28,cp
36,35,47,cp
46,52,44,cp
43,49,4,cp
33,45,33,cp
42,37,27,cp
43,54,37,cp
52,42,39,cp
5,46,35,cp
35,58,27,cp
43,54,59,cp
47,29,39,cp
28,41,44,cp
45,36,32,cp
3,48,36,cp
35,51,56,cp
41,49,34,cp
37,35,45,cp
49,52,36,cp
56,5,54,cp
44,37,42,cp
3,71,39,cp
33,43,43,cp
43,5,25,cp
4,47,42,cp
51,27,34,cp
41,48,46,cp
51,47,36,cp
46,52,56,cp
39,47,41,cp
42,37,43,cp
46,42,44,cp
42,16,39,cp
51,37,5,cp
44,42,47,cp
57,42,54,cp
45,48,41,cp
42,53,41,cp
3,46,35,cp
34,3,43,cp
47,53,29,cp
56,43,53,cp
48,59,89,im
4,57,67,im
7,66,69,im
52,54,52,im
47,51,84,im
55,58,75,im
61,48,87,im
5,59,86,im
52,64,99,im
37,61,74,im
43,63,74,im
67,74,63,im
44,48,74,im
41,51,88,im
51,35,44,im
5,57,85,im
65,66,71,im
39,57,79,im
56,55,82,im
67,52,79,im
4,56,83,im
46,57,81,im
66,46,88,im
4,58,78,im
56,33,8,im
47,51,72,im
34,56,81,im
57,71,66,im
61,49,37,im
54,62,79,im
49,41,21,im
51,67,9,im
4,61,77,im
46,56,73,im
37,46,69,im
47,57,8,im
46,51,7,im
51,42,34,im
75,64,66,im
51,61,74,im
57,56,83,im
61,54,71,im
44,55,89,im
51,33,48,im
49,58,8,im
49,4,88,im
36,53,92,im
66,31,92,im
44,5,82,im
5,58,68,im
55,57,74,im
49,52,71,im
35,51,79,im
42,53,81,im
39,65,73,im
55,51,76,im
51,53,78,im
59,36,23,im
36,58,94,im
37,66,69,im
53,59,66,im
54,65,81,im
47,39,79,im
51,71,78,im
59,52,79,im
58,48,73,im
45,6,8,im
5,54,8,im
45,38,17,im
49,54,79,imS
53,53,35,imS
39,51,84,imL
55,4,3,imL
41,66,83,imU
48,54,74,imU
49,55,74,imU
37,54,68,imU
41,5,62,imU
43,59,77,imU
37,64,74,imU
54,75,7,imU
49,61,79,imU
38,6,33,imU
36,46,7,imU
61,56,74,imU
52,57,8,imU
54,5,68,imU
42,48,8,imU
42,58,81,imU
26,57,78,imU
53,7,87,imU
44,45,68,imU
42,65,79,imU
48,65,79,imU
44,42,68,imU
51,64,76,imU
53,57,88,imU
46,48,76,imU
39,59,9,imU
46,62,77,imU
29,64,77,imU
33,57,79,imU
45,67,66,imU
42,52,75,imU
57,7,26,om
59,77,21,om
84,86,29,om
9,57,29,om
84,74,37,om
49,79,28,om
69,65,28,om
71,68,36,om
76,84,27,om
81,72,38,om
76,77,52,om
68,77,45,om
76,83,3,om
75,51,33,om
51,66,33,om
68,83,29,om
78,75,15,om
88,73,25,om
49,62,28,omL
57,37,1,omL
49,54,36,omL
55,66,16,omL
46,52,3,omL
83,4,19,pp
59,39,33,pp
59,52,56,pp
81,54,23,pp
86,4,32,pp
65,63,41,pp
67,3,24,pp
74,31,43,pp
84,37,4,pp
82,49,41,pp
59,46,52,pp
71,4,39,pp
7,46,33,pp
8,46,26,pp
65,39,35,pp
71,42,85,pp
54,43,3,pp
39,53,38,pp
39,52,48,pp
84,35,33,pp
86,34,36,pp
57,47,51,pp
73,44,39,pp
1,35,49,pp
49,42,36,pp
67,49,34,pp
86,39,34,pp
66,41,25,pp
78,47,54,pp
47,5,42,pp
74,31,52,pp
8,46,29,pp
71,6,39,pp
86,17,21,pp
6,44,38,pp
72,49,19,pp
64,47,47,pp
57,48,32,pp
56,47,3,pp
61,42,37,pp
66,41,2,pp
82,38,56,pp
81,25,25,pp
61,56,43,pp
83,46,4,pp
78,5,38,pp
81,37,44,pp
