@relation ecoli

@attribute Mcg numeric
@attribute Gvh numeric
@attribute Alm1 numeric
@attribute Site {cp,im,imS,imL,imU,om,omL,pp}

@data
3,37,18,cp
54,47,33,cp
36,42,32,cp
3,16,11,cp
44,27,52,cp
18,3,24,cp
22,43,16,cp
4,46,35,cp
4,31,29,cp
29,41,38,cp
37,5,36,cp
47,47,16,cp
52,36,28,cp
47,28,2,cp
36,41,47,cp
41,43,31,cp
25,4,33,cp
17,52,37,cp
34,55,31,cp
38,46,22,cp
16,43,27,cp
44,51,26,cp
41,48,44,cp
39,31,34,cp
37,44,39,cp
38,44,2,cp
51,46,31,cp
35,37,34,cp
29,3,3,cp
23,32,25,cp
42,35,15,cp
4,41,22,cp
51,54,34,cp
44,56,46,cp
21,51,32,cp
5,51,23,cp
5,49,46,cp
44,42,25,cp
25,4,44,cp
3,44,22,cp
34,35,49,cp
3,45,21,cp
51,37,36,cp
43,32,45,cp
32,33,6,cp
7,4,35,cp
25,26,32,cp
29,28,23,cp
4,42,27,cp
17,38,42,cp
33,45,32,cp
41,43,24,cp
23,34,26,cp
24,34,3,cp
24,43,52,cp
43,39,31,cp
53,42,29,cp
35,48,4,cp
36,56,45,cp
22,34,29,cp
61,45,35,cp
42,4,18,cp
53,38,26,cp
61,36,35,cp
41,57,21,cp
21,34,28,cp
43,37,35,cp
35,34,3,cp
24,43,28,cp
34,45,24,cp
42,38,34,cp
65,47,3,cp
4,45,22,cp
44,49,38,cp
29,28,42,cp
49,29,24,cp
38,4,25,cp
3,37,41,cp
25,37,26,cp
31,23,5,cp
23,4,28,cp
34,33,35,cp
24,35,19,cp
32,42,28,cp
56,51,37,cp
51,49,14,cp
34,42,34,cp
28,33,22,cp
28,38,33,cp
42,3,26,cp
43,4,28,cp
38,26,16,cp
44,34,33,cp
36,54,38,cp
34,51,37,cp
23,33,33,cp
22,36,39,cp
31,47,28,cp
52,57,47,cp
4,5,39,cp
52,44,36,cp
49,43,3,cp
44,35,55,cp
36,39,22,cp
51,5,32,cp
67,39,38,cp
33,47,18,cp
59,49,45,cp
4,29,35,cp
42,24,27,cp
64,76,35,cp
17,39,3,cp
25,51,42,cp
25,37,33,cp
56,4,37,cp
2,44,51,cp
41,51,2,cp
57,54,28,cp
34,46,35,cp
48,42,25,cp
37,52,42,cp
44,28,27,cp
27,42,38,cp
26,5,32,cp
25,48,17,cp
34,28,35,cp
27,3,28,cp
23,58,53,cp
4,5,82,im
49,42,79,im
48,49,77,im
12,43,7,im
61,66,87,im
5,57,61,im
33,37,65,im
2,46,78,im
44,52,47,im
55,47,78,im
63,5,85,im
45,4,74,im
37,47,76,im
39,41,72,im
58,55,7,im
64,58,78,im
61,52,67,im
35,51,71,im
12,67,58,im
71,52,1,im
52,39,71,im
31,5,84,im
47,55,71,im
27,35,77,im
63,75,73,im
74,44,88,im
5,37,64,im
6,46,81,im
83,37,71,im
61,47,8,im
43,4,75,im
11,5,72,im
66,53,66,im
58,34,87,im
54,49,87,im
69,39,76,im
89,55,72,im
29,47,65,im
36,47,69,im
7,4,86,im
23,48,88,im
51,4,62,im
48,41,9,im
31,44,79,im
47,59,76,im
74,7,65,im
34,49,85,im
63,47,82,im
63,54,79,im
6,61,92,im
46,59,76,im
6,5,77,im
3,51,61,im
5,66,92,im
73,36,91,im
31,36,94,im
34,51,9,im
36,45,79,im
33,45,88,im
6,61,67,im
41,51,75,im
54,57,81,im
0,51,67,im
1,49,67,im
72,46,66,im
59,56,8,im
33,56,78,im
52,54,76,im
84,44,71,im
71,4,7,im
63,49,76,imS
75,55,47,imL
7,39,82,imL
63,42,77,imU
81,53,87,imU
83,48,76,imU
7,53,86,imU
86,55,81,imU
57,38,49,imU
88,42,73,imU
73,26,75,imU
84,49,78,imU
86,39,89,imU
81,52,78,imU
58,6,73,imU
79,41,81,imU
81,44,67,imU
72,42,77,imU
76,41,59,imU
67,37,64,imU
76,71,71,imU
78,44,73,imU
64,46,73,imU
47,46,74,imU
66,48,7,imU
87,49,76,imU
77,55,78,imU
84,54,92,imU
59,29,75,imU
69,43,74,imU
62,42,79,imU
78,33,77,imU
49,61,71,imU
75,37,7,imU
64,45,61,imU
78,68,4,om
68,76,45,om
63,49,45,om
67,84,54,om
74,78,54,om
65,51,54,om
52,81,38,om
69,59,39,om
6,76,59,om
68,63,4,om
61,75,33,om
73,84,58,om
75,76,57,om
64,57,33,om
74,9,53,om
63,69,41,om
77,57,53,om
67,88,5,om
68,49,55,omL
71,46,59,omL
77,57,54,omL
66,49,56,omL
71,86,54,pp
74,74,53,pp
63,86,47,pp
63,1,51,pp
66,74,38,pp
7,61,52,pp
62,83,36,pp
67,81,49,pp
65,57,47,pp
72,86,55,pp
7,71,84,pp
64,66,39,pp
66,71,5,pp
63,65,44,pp
69,8,57,pp
64,81,39,pp
59,61,42,pp
61,6,39,pp
69,65,48,pp
43,59,49,pp
62,78,49,pp
68,78,44,pp
67,61,37,pp
64,84,45,pp
69,59,44,pp
67,7,45,pp
64,72,42,pp
69,67,39,pp
69,66,5,pp
68,67,4,pp
56,54,37,pp
29,39,4,pp
63,57,7,pp
74,56,68,pp
64,78,36,pp
76,73,39,pp
75,84,52,pp
74,47,57,pp
32,39,28,pp
67,81,42,pp
71,57,35,pp
7,64,51,pp
63,8,31,pp
73,78,51,pp
63,71,4,pp
68,82,65,pp
71,71,54,pp
