@relation magic

@attribute FLength numeric
@attribute FSize numeric
@attribute FAlpha numeric
@attribute Class {g,h}

@data
25.1721,2.3395,24.564,g
26.4549,2.4713,25.187,g
85.008,3.6225,4.6358,g
41.6637,2.541,1.154,g
12.5305,2.0314,49.895,g
26.7867,2.5237,13.143,g
19.8356,2.4116,24.926,g
21.7471,2.2201,16.005,g
17.8722,2.3829,48.694,g
27.1266,2.5038,3.64,g
50.0446,2.9172,2.5772,g
81.3604,3.1695,8.8992,g
25.4704,2.5126,9.761,g
27.5741,2.4409,18.8663,g
72.1282,2.6955,0.885,g
86.3172,3.3879,0.897,g
33.6964,2.7604,24.449,g
27.6242,2.6488,18.353,g
46.8511,3.2301,6.56,g
25.0031,2.5763,16.948,g
19.9109,2.3927,16.5079,g
21.1221,2.2967,75.3948,g
37.7449,2.7193,18.879,g
23.4322,2.5276,35.1784,g
53.4552,2.7536,10.0836,g
40.9012,2.5244,5.741,g
35.5418,2.94,27.4184,g
22.7179,2.1644,6.09,g
106.008,2.5384,6.8644,g
12.9091,2.2516,0.3707,g
97.3016,4.0832,0.131,g
70.2452,2.9562,5.353,g
47.8645,2.8228,5.359,g
20.7922,2.0233,6.786,g
79.2206,3.7191,8.264,g
21.4607,2.2923,11.8712,g
47.7858,3.4455,3.2554,g
21.7908,2.2601,23.2454,g
68.3993,2.889,1.651,g
28.5023,2.8531,43.7515,g
26.417,2.4074,7.3755,g
80.2771,3.9704,5.913,g
41.6067,2.4639,8.17,g
18.183,2.2253,26.4593,g
36.0479,2.9109,9.72,g
21.099,2.5366,77.795,g
18.2437,2.3664,68.354,g
23.0412,2.4175,58.5536,g
85.1815,3.5263,3.888,g
38.9485,2.7868,4.379,g
29.5329,2.2148,37.7654,g
30.6751,2.5198,22.07,g
23.914,2.3551,39.9594,g
46.457,3.0759,6.509,g
30.205,2.7796,9.77,g
35.6953,3.5252,72.171,g
24.5289,2.5641,2.189,g
77.8167,2.6439,2.219,g
81.8663,3.0037,4.4916,g
100.953,4.0455,0.804,g
91.9014,3.9038,2.1455,g
24.0748,2.6112,0.893,g
33.7908,2.4609,13.7763,g
35.9957,2.4843,24.9956,g
29.4463,2.2405,69.4052,g
67.5844,2.7631,1.0325,g
83.5165,3.4322,5.473,g
103.799,4.213,2.833,g
46.3458,3.6471,9.038,g
65.8446,3.224,0.152,g
28.6839,2.1732,1.4613,g
38.9376,2.9782,15.1288,g
38.1116,2.8968,2.0107,g
45.8043,3.1361,7.404,g
82.0912,3.3356,2.875,g
51.2156,2.8376,12.3212,g
67.4097,2.9729,1.797,g
28.3396,2.2175,35.715,g
32.8531,2.4683,15.4667,g
13.2236,2.2055,81.7865,g
18.8065,2.437,36.1365,g
78.0986,3.4361,1.267,g
76.1681,2.8946,3.5156,g
44.5449,3.419,4.7435,g
30.9633,2.781,15.8283,g
13.2334,2.3355,44.4218,g
20.2891,2.301,71.3503,g
24.0177,2.6015,4.6955,g
17.6798,2.2148,82.015,g
91.8755,4.1987,53.79,g
61.8459,3.5211,1.701,g
87.5064,3.5233,0.337,g
69.9328,3.1355,1.8664,g
43.2691,2.6977,1.5744,g
62.5191,3.0366,6.7787,g
37.7155,2.3253,24.5831,g
13.0998,2.1569,43.273,g
21.9153,2.4914,16.1307,g
28.3612,3.0404,61.7,g
22.7955,2.5031,42.293,g
46.5688,3.143,10.39,g
20.0648,2.6857,5.373,g
68.0548,3.7484,2.3475,g
54.2506,2.5832,0.029,g
23.807,2.4289,10.378,g
32.2136,2.8995,0.596,g
73.4805,3.4501,2.797,g
27.265,2.6464,7.9881,g
28.1067,2.8985,23.326,g
30.1845,2.7543,53.8928,g
39.345,3.2628,3.0825,g
39.5797,2.7239,10.476,g
12.9108,2.1089,76.6517,g
59.5101,3.0191,5.6618,g
40.5134,2.7952,0.5263,g
56.3949,3.4192,3.4732,g
85.411,2.9566,6.244,g
63.5718,2.6263,11.0676,g
29.5024,2.5982,3.8455,g
25.9645,2.4814,19.8739,g
25.8809,2.633,12.0537,g
47.2156,3.07,3.4,g
32.9755,2.8092,7.944,g
31.9774,2.7723,6.46,g
62.7644,3.7026,4.1234,g
13.1404,2.1775,20.124,g
22.6397,2.1492,14.3756,g
111.015,4.4604,2.6075,g
19.9761,2.1833,19.965,g
12.6216,2.0588,57.2856,g
63.7006,3.2033,8.519,g
24.6708,2.5883,21.4367,g
24.908,2.4639,0.8302,g
13.167,2.2028,26.148,g
96.8365,3.0763,7.8896,g
21.0341,2.281,44.8022,g
92.5361,3.3242,1.4849,g
40.6292,2.679,11.7327,g
18.4648,2.3901,25.299,g
25.0758,2.5139,80.2386,g
83.7767,2.7348,13.374,g
18.9405,2.2122,41.804,g
92.9405,3.1906,4.7062,g
64.4978,3.1316,6.772,g
33.8898,2.9647,6.891,g
133.169,3.0356,4.2004,g
42.4673,2.5366,6.332,g
34.5936,2.9423,7.1144,g
19.4247,2.5447,68.1324,g
80.1881,3.3555,19.3195,g
44.6762,2.829,11.0098,g
22.0361,2.6096,70.9158,g
39.2823,3.1455,1.7762,g
34.9166,2.4713,11.566,g
53.1573,2.4735,8.79,g
30.8855,2.5145,18.989,g
21.4681,2.2028,63.031,g
35.4526,2.2822,17.278,g
58.9157,2.9469,1.2832,g
29.9508,2.6405,23.9617,g
39.7794,2.6707,7.225,g
72.0106,3.2418,4.374,g
37.3152,2.7645,0.952,g
104.323,4.3813,2.8968,g
65.5503,2.8309,15.135,g
21.0994,2.4306,20.0749,g
23.5536,2.3962,49.0547,g
58.3389,3.4371,8.174,g
37.6892,2.5977,11.546,g
36.5237,2.4786,12.715,g
30.2441,3.1474,75.1662,g
28.1559,2.549,25.4801,g
17.941,2.2889,2.105,g
77.2639,3.3625,6.142,g
40.8475,2.6439,2.995,g
76.7307,3.037,3.436,g
21.4143,2.1383,81.9378,g
49.1701,2.6464,8.474,g
34.4834,2.9978,9.317,g
25.1333,2.2776,52.0161,g
20.4561,2.4886,5.219,g
24.5979,2.4354,61.3024,g
105.339,2.6243,5.388,g
29.2453,2.3454,19.747,g
20.3102,2.3043,3.08,g
27.1044,2.4241,29.844,g
16.1931,2.356,56.5349,g
20.0686,2.4786,24.5094,g
79.4951,3.123,0.3713,g
19.4598,2.4401,23.3361,g
30.8869,2.7885,9.0144,g
99.1508,3.995,4.199,g
24.6029,2.3971,8.667,g
97.6967,3.7623,1.141,g
26.2933,2.6817,1.8019,g
29.0484,2.48,0.212,g
22.2435,2.2978,44.3431,g
47.76,2.8982,1.1964,g
38.7558,2.8041,3.952,g
81.9826,3.5621,3.101,g
41.3562,2.995,5.5299,g
15.6186,2.2856,50.6366,g
36.5987,3.2816,13.191,g
45.8448,3.1402,0.8053,g
29.1855,2.6689,38.222,g
45.7402,3.1214,4.7763,g
17.6563,2.248,72.368,g
77.6007,2.9795,17.6219,g
40.9677,2.9685,4.929,g
63.2711,2.8639,7.7662,g
33.8469,2.4065,8.7272,g
58.0284,3.32,4.187,g
20.686,2.1222,18.8504,g
20.2318,2.5752,78.633,g
31.5762,2.7597,0.549,g
36.9368,2.9666,3.5273,g
19.9789,2.4541,12.7586,g
13.0422,2.1917,80.7484,g
45.6761,3.2469,9.1708,g
18.0601,2.4281,9.44,g
48.6307,3.3797,6.54,g
26.9109,2.7612,16.3,g
85.0494,3.4957,4.5512,g
42.9665,2.5769,10.1005,g
68.2982,2.8918,6.3982,g
21.8457,2.1732,56.5082,g
12.7427,2.2135,79.144,g
72.9815,3.1974,2.203,g
99.7739,3.5619,0.447,g
81.5058,3.1749,8.5332,g
40.749,3.2122,8.364,g
59.8603,3.3684,0.1363,g
18.1716,2.586,33.8273,g
51.2164,2.9576,2.325,g
50.7177,2.7853,7.6056,g
101.658,2.7292,7.891,g
47.2817,2.7709,19.286,g
26.6552,2.8017,19.8988,g
56.542,3.1996,24.289,g
20.8491,2.316,65.8518,g
45.9243,3.0815,4.8845,g
47.1025,2.9151,10.4927,g
22.5607,2.7033,0.1159,g
