@relation 'magic-weka.filters.unsupervised.attribute.Remove-V-R2-3,11'

@attribute FWidth numeric
@attribute FSize numeric
@attribute Class {g,h}

@data
30.9205,3.1611,g
46.5165,4.154,g
22.4581,2.6258,g
17.6865,2.946,g
18.787,3.2217,g
17.8721,3.033,g
24.3346,3.0404,g
11.3962,2.2989,g
9.7376,2.238,g
18.4512,2.699,g
10.2608,2.1492,g
33.6384,3.8899,g
31.8209,3.7043,g
14.6309,2.6464,g
0,2.2,g
19.2128,2.7657,g
16.5703,2.8943,g
24.5132,3.3917,g
11.2814,2.4116,g
21.2966,2.9974,g
21.6966,2.934,g
7.3095,2.1383,g
13.01,2.4778,g
13.413,2.8092,g
12.7202,2.356,g
6.839,2.2844,g
19.2006,3.008,g
15.3246,2.4786,g
12.8813,2.5085,g
17.9964,2.7404,g
12.7022,2.2201,g
10.9159,2.2188,g
14.1842,2.4878,g
17.8914,2.9445,g
28.222,3.3769,g
33.594,3.5469,g
13.0261,2.6532,g
47.2876,3.5386,g
18.778,2.6107,g
7.3014,2.2844,g
17.0431,2.4526,g
31.2369,3.2899,g
17.4844,2.6217,g
28.6046,3.5894,g
16.7921,2.5815,g
11.6189,2.2162,g
12.704,2.2253,g
22.4191,3.2844,g
22.7182,3.4649,g
23.4657,3.6856,g
24.8816,3.233,g
20.2296,2.78,g
12.5622,2.3918,g
33.7186,3.6211,g
12.5304,2.6959,g
11.2406,2.2989,g
11.2666,2.2553,g
15.4665,2.6959,g
16.2612,2.5587,g
17.9125,2.3589,g
30.202,3.2249,g
12.4542,2.567,g
27.9011,3.1173,g
11.2492,2.6253,g
11.7739,2.0065,g
29.1319,3.5263,g
17.7978,2.7288,g
11.0832,2.48,g
31.0642,3.3687,g
22.7868,3.1956,g
0.0001,2.1629,g
27.4832,3.654,g
36.4798,3.5863,g
9.8124,2.4914,g
18.8956,2.4401,g
18.2593,2.854,g
23.6138,3.1908,g
17.677,2.5629,g
22.2933,2.7181,g
10.4777,2.3627,g
11.4658,2.4949,g
29.1003,3.3115,g
17.4013,2.7701,g
12.1111,2.5051,g
31.3451,3.0959,g
26.3565,3.7968,g
17.9148,3.2015,g
17.7284,2.9248,g
32.3186,3.3511,g
8.6526,2.2923,g
7.1701,2.0434,g
14.3086,2.4778,g
26.8157,3.5101,g
15.3339,2.6069,g
15.3949,2.4749,g
24.5358,3.3144,g
24.394,3.2131,g
19.2412,2.8404,g
18.6058,3.1263,g
20.0701,2.7324,g
12.8694,2.2833,g
25.7749,3.2911,g
10.7739,2.404,g
12.072,2.8899,g
13.8378,2.3793,g
16.1992,3.0133,g
10.6884,2.1477,g
16.677,2.6803,g
17.8097,2.9151,g
18.7635,2.5065,g
11.2472,2.7054,g
6.8753,2.1414,g
16.6536,2.433,g
18.2441,2.6632,g
17.0656,2.5971,g
17.0346,2.6091,g
17.2598,2.7412,g
20.1755,3.1302,g
19.0106,3.0803,g
11.0857,2.1156,g
11.4506,2.4472,g
11.8613,2.2934,g
14.0851,2.5838,g
11.6035,2.3118,g
10.355,2.2601,g
34.3516,3.8532,g
9.7774,2.3294,g
13.4099,2.6449,g
7.1797,2.0952,g
16.8506,2.9538,g
12.0674,2.5139,g
16.5124,2.3701,g
23.1339,2.9248,g
16.6948,2.9652,g
11.8468,2.2742,g
20.127,2.6508,g
16.0891,2.317,g
11.0944,2.3531,g
18.4628,2.5927,g
24.6528,3.1348,g
11.164,2.3927,g
11.0335,2.0986,g
13.4123,2.4082,g
24.7149,3.4549,g
10.4655,2.243,g
16.7631,2.9996,g
12.0838,2.4955,g
13.6935,2.7675,g
14.415,2.7563,g
21.7863,3.0118,g
12.6447,2.4409,g
12.1154,2.6444,g
15.5616,2.6955,g
15.5527,2.5441,g
22.3676,3.4125,g
19.6965,2.692,g
16.042,2.8567,g
7.2845,2.1351,g
22.6877,2.9201,g
12.9107,2.29,g
11.6318,2.695,g
10.0171,2.3664,g
12.5674,2.6454,g
10.5758,2.485,g
7.4171,2.2683,g
25.2375,3.4946,g
15.0612,2.7727,g
20.7543,3.3033,g
37.2478,3.4331,g
10.2586,2.3233,g
13.0069,2.8354,g
29.9201,2.9928,g
13.2776,2.7694,g
16.9483,2.2867,g
24.3038,3.3422,g
9.0408,2.3054,g
0,2.1089,g
10.9852,2.238,g
24.709,3.1131,g
12.3945,2.3274,g
12.2455,2.4005,g
15.3315,2.3674,g
12.8653,2.4091,g
23.9243,3.0931,g
16.1574,2.9752,g
10.3067,2.2707,g
10.3838,2.2122,g
29.3917,3.2994,g
11.2609,2.3901,g
17.5773,2.7649,g
16.5447,3.0613,g
24.3384,2.4031,g
10.874,2.2553,g
11.0836,2.2923,g
10.7506,2.1553,g
18.0903,2.3997,g
16.4329,2.6527,g
19.5983,3.1377,g
14.241,2.7189,g
29.0582,3.1418,g
11.7068,2.3589,g
12.0353,2.4654,g
36.2252,3.9645,g
56.9767,4.2944,g
17.2756,2.6585,g
16.3803,2.4749,g
30.9831,3.7089,g
12.2106,2.6101,g
15.7724,2.8142,g
21.7313,2.641,g
13.4122,2.5434,g
15.9442,2.5276,g
27.127,2.8873,g
15.612,2.5179,g
15.5771,2.2601,g
9.4179,2.2776,g
35.2407,3.2243,g
37.8894,3.6564,g
17.3895,2.7782,g
12.5228,2.5391,g
16.4655,2.8014,g
26.9637,3.2096,g
21.2939,3.1422,g
59.174,4.2409,g
22.0406,2.8642,g
16.4937,2.8212,g
18.5662,2.6998,g
18.5717,2.6304,g
12.8237,2.4836,g
13.2999,2.667,g
16.6189,2.5539,g
11.8554,2.5781,g
10.6907,2.3324,g
28.6696,3.7388,g
13.9325,2.6123,g
11.5525,2.3979,g
27.031,2.9135,g
15.0291,2.6772,g
15.3845,2.4362,g
14.4022,2.5179,g
12.821,2.637,g
9.7891,2.2418,g
14.3516,2.4487,g
12.7489,2.4385,g
10.2226,2.5276,g
18.7002,2.9937,g
21.1343,2.9117,g
36.147,3.215,g
22.056,3.2102,g
12.6787,2.5159,g
15.1619,2.596,g
35.487,2.9256,g
21.5047,2.9941,g
19.5954,2.679,g
11.9681,2.0394,g
15.6664,2.8716,g
21.5095,3.159,g
18.7702,3.073,g
22.961,3.5732,g
20.5476,3.0445,g
10.187,2.2553,g
19.673,2.73,g
26.2593,3.1974,g
15.3532,2.936,g
21.5912,3.0204,g
21.0084,3.0048,g
22.3318,3.1268,g
18.2951,3.0639,g
18.0123,2.7782,g
0,2.1055,g
15.9439,2.5993,g
8.9051,2.2753,g
11.8511,2.0626,g
7.7368,2.2201,g
23.1396,2.8392,g
16.1704,2.3434,g
11.9255,2.6325,g
11.1422,2.2625,g
16.3884,2.5079,g
17.5048,2.8834,g
28.976,3.48,g
9.6806,2.248,g
10.3512,2.2467,g
21.1749,2.7131,g
35.8718,3.9292,g
12.6129,2.7288,g
36.9829,4.0567,g
22.9932,3.5853,g
23.93,2.9445,g
6.4846,2.1861,g
26.7041,3.4605,g
21.5558,2.8681,g
12.2816,2.499,g
