@relation 'magic-weka.filters.unsupervised.attribute.Remove-V-R3,7,9,11'

@attribute FSize numeric
@attribute FM3Long numeric
@attribute FAlpha numeric
@attribute Class {g,h}

@data
3.0441,-20.6427,0.3822,g
3.8484,72.3016,16.622,g
2.8609,-23.1846,20.7574,g
3.1334,43.08,1.5926,g
2.1319,2.4666,68.604,g
3.4303,52.4882,4.2131,g
2.7969,19.1818,12.9506,g
2.4425,-10.4986,13.8089,g
2.7997,54.5868,5.094,g
3.1573,48.4611,2.936,g
3.3959,41.463,3.6565,g
3.1921,129.932,2.582,g
2.8837,-33.4621,20.194,g
2.3738,-12.8844,66.649,g
2.9917,46.8981,6.955,g
2.2068,16.5945,9.215,g
2.7197,2.8864,22.951,g
3.0755,-20.0659,4.7597,g
2.404,15.066,36.457,g
3.6714,24.4273,4.142,g
4.1837,90.4413,6.1992,g
2.2999,24.3173,0.352,g
2.0233,7.933,56.923,g
2.8618,22.6167,50.0234,g
2.8293,37.1621,3.241,g
2.9287,31.5782,20.664,g
2.5843,-21.6535,1.818,g
3.0388,19.7787,2.8523,g
2.6716,-130.103,41.91,g
2.2516,8.4149,40.035,g
3.1178,20.1419,33.371,g
2.635,26.7753,36.953,g
3.2122,-24.5987,8.364,g
2.9647,25.8841,6.891,g
2.2304,16.7152,14.8311,g
2.7427,13.6714,39.0829,g
2.639,-17.0472,20.646,g
2.3054,-9.5954,25.149,g
2.7181,33.9482,11.762,g
3.1274,48.7238,11.138,g
2.3243,4.9827,33.8435,g
2.7202,-18.29,4.939,g
3.466,71.5445,2.3084,g
2.7657,-7.5265,5.4609,g
2.243,16.0048,26.831,g
2.6196,-16.8821,8.977,g
2.5993,-21.8471,10.6245,g
2.6243,6.2127,36.077,g
2.5126,-23.3928,29.307,g
2.9664,59.9437,13.9446,g
3.1065,34.9348,1.2137,g
2.4281,-11.8597,21.8327,g
3.058,8.1116,16.169,g
2.1156,-2.5324,32.0404,g
2.7243,-10.2902,6.93,g
2.971,31.9335,5.3847,g
2.7189,-38.0575,4.5898,g
3.2177,-28.9219,5.7152,g
2.4871,9.2633,47.9304,g
2.3838,-6.377,37.287,g
2.7694,-26.385,4.4274,g
2.4249,-14.3202,5.932,g
3.4348,57.73,9.0346,g
2.2014,15.3604,6.251,g
2.1477,0.9276,29.7285,g
2.2923,10.6717,11.5884,g
2.4116,12.7104,33.041,g
3.1074,71.5944,1.357,g
2.4005,9.9818,12.5354,g
2.6522,20.9658,54.509,g
2.4969,15.2155,1.5977,g
2.7987,15.5327,8.988,g
2.8407,44.8403,39.0638,g
2.1569,4.742,31.776,g
2.5916,14.2319,56.2862,g
2.5809,25.3223,1.472,g
2.9809,-20.228,8.915,g
2.6508,15.1813,1.338,g
2.7408,-28.7584,5.5742,g
2.9309,29.6956,11.9427,g
3.0137,25.3594,11.117,g
2.5453,-9.6642,47.847,g
2.3636,1.7487,62.452,g
2.702,18.5603,41.559,g
2.382,-18.2508,10.896,g
2.3128,-16.6016,19.3573,g
2.0986,7.6258,70.3421,g
3.0263,-33.2579,5.5932,g
2.7352,9.4193,10.506,g
2.3181,-16.329,60.5491,g
2.4556,-28.8526,13.729,g
2.7024,59.3745,4.2637,g
3.07,-22.7595,3.4,g
2.1688,3.4386,80.3533,g
3.1161,9.8154,3.361,g
3.5455,73.0712,3.186,g
3.2171,70.4306,0.7341,g
2.934,19.8518,79.959,g
3.2507,57.1376,5.6357,g
2.723,23.5052,6.0359,g
2.7668,70.5874,11.409,g
2.6942,10.3604,9.3139,g
2.9287,14.3193,22.732,g
3.167,79.5929,0.0787,g
2.6064,-25.5998,20.656,g
3.0292,41.1847,8.831,g
2.6314,16.2053,16.8825,g
2.7882,-24.9124,4.582,g
2.5011,10.5238,35.821,g
2.4133,11.4031,34.0936,g
2.8859,31.4874,3.9627,g
2.1055,6.1336,69.383,g
2.3701,-20.2451,30.845,g
3.276,28.2574,10.1168,g
3.3188,39.4368,6.118,g
2.5384,-24.9142,2.3935,g
2.7139,40.3722,15.3487,g
2.4014,-14.5626,25.883,g
2.1917,-2.3901,10.7959,g
2.7792,27.5615,10.2947,g
2.723,22.9336,77.1166,g
2.7226,16.3502,17.709,g
3.1774,37.4815,5.926,g
3.3017,47.0652,2.271,g
3.2968,56.5532,1.42,g
2.692,-24.7757,1.8847,g
3.3273,-36.1868,6.397,g
3.4962,7.565,53.4211,g
3.0869,34.423,6.8749,g
2.1414,-13.8239,51.816,g
2.638,32.8566,7.337,g
2.3149,-20.7853,33.4353,g
3.4057,-83.1049,0.102,g
2.8707,-35.6601,0.817,g
3.3528,43.1236,0.2501,g
2.2589,-4.6137,61.03,g
3.2333,38.163,0.795,g
2.9626,58.4574,18.458,g
2.4099,5.6346,70.525,g
2.437,10.3689,30.7241,g
3.2034,20.2408,0.951,g
2.4579,-5.1201,89.7035,g
2.8182,14.8688,30.1483,g
2.6812,16.4511,45.3284,g
2.846,-83.3984,6.1874,g
2.5472,22.6666,23.006,g
2.8531,20.0563,43.7515,g
2.3608,4.4178,13.038,g
2.6632,17.8255,65.226,g
3.4044,80.3803,1.0087,g
2.721,22.3165,12.9637,g
3.3091,40.2725,9.834,g
2.42,16.6957,10.463,g
2.8615,-26.6817,5.5986,g
2.8546,-6.0144,0.159,g
2.1508,3.7382,71.43,g
2.617,-47.5995,71.3754,g
2.5347,-8.6348,59.1272,g
3.3389,42.5985,1.967,g
2.4298,-11.2684,41.838,g
3.0713,-29.0838,86.5709,g
2.4548,15.9039,52.307,g
2.2455,19.5445,27.234,g
3.3921,98.1002,3.648,g
4.1226,78.4474,1.676,g
2.847,8.2563,8.195,g
3.3709,-54.3042,0.225,g
2.7745,-28.8158,5.3784,g
4.0844,67.8896,1.3794,g
3.0338,19.207,10.6136,g
