@relation 'magic-weka.filters.unsupervised.attribute.Remove-V-R2,7,9,11'

@attribute FWidth numeric
@attribute FM3Long numeric
@attribute FAlpha numeric
@attribute Class {g,h}

@data
16.0021,22.011,40.092,g
15.6364,37.2246,3.251,g
19.2817,23.3428,77.5379,g
36.4657,86.0228,17.575,g
14.6867,19.2386,9.862,g
7.1717,8.9641,85.103,g
17.775,-25.5307,81.8671,g
11.7563,-6.5384,69.2291,g
39.5491,70.4115,4.0677,g
32.4617,28.2927,9.628,g
12.8876,12.7741,26.586,g
39.9496,83.687,3.0094,g
7.1982,-8.8118,88.4999,g
7.2419,-9.6562,9.1256,g
15.0832,11.248,44.74,g
33.3225,73.8035,3.7714,g
14.4511,30.9736,32.377,g
37.459,83.1157,31.553,g
23.1372,86.1356,12.616,g
12.1812,-11.2892,18.354,g
25.6517,-12.726,46.1539,g
25.5221,52.6603,0.402,g
22.0999,-25.4435,5.4509,g
12.2939,9.8855,53.7383,g
15.468,12.6949,26.996,g
0,-12.9376,0,g
23.5917,91.629,0.71,g
20.2437,-20.6041,6.846,g
7.2912,-90.9952,0.589,g
10.0147,11.9557,50.86,g
15.8392,-15.8836,83.8778,g
35.2208,-28.5291,2.129,g
14.0718,14.9077,47.377,g
20.5976,-28.5553,5.1606,g
21.9779,-18.5377,6.11,g
29.8364,22.922,1.6058,g
36.8892,25.5609,16.194,g
14.7674,14.9779,39.4624,g
16.6038,33.9511,15.834,g
37.9939,86.3984,1.024,g
23.3226,27.8475,25.6015,g
23.1654,41.3698,2.1522,g
16.5417,15.164,3.5355,g
24.3438,-14.4813,19.977,g
21.7506,83.1004,0.2763,g
15.5717,20.7756,7.608,g
14.3012,21.6145,20.8407,g
10.2434,-7.7716,12.938,g
15.6801,40.7527,8.2676,g
11.3381,6.9172,21.817,g
19.8114,22.1769,18.65,g
17.6112,-4.1781,8.3828,g
22.2848,18.4291,0.6261,g
14.8974,15.8798,7.136,g
11.6146,-14.4753,30.148,g
8.4981,13.7412,9.3744,g
25.5782,37.5168,1.8934,g
25.9623,59.8664,19.89,g
40.3261,63.3321,1.7505,g
10.9047,-17.8951,6.219,g
19.0787,13.377,27.4184,g
0,0,47.7751,g
12.1986,18.6473,6.6964,g
16.2488,-6.6957,7.0604,g
16.3956,-26.6872,0.0821,g
10.7215,-4.4109,32.861,g
14.9461,-13.1519,51.0269,g
12.0404,-0.7681,18.3994,g
21.2758,23.5939,30.825,g
57.3927,67.0984,2.931,g
