@relation magic

@attribute FWidth numeric
@attribute FSize numeric
@attribute FConc numeric
@attribute FM3Long numeric
@attribute FAlpha numeric
@attribute Class {g,h}

@data
19.4878,3.1447,0.253,-15.861,8.5051,g
18.3169,3.066,0.3282,-18.5409,1.14,g
18.7027,2.8654,0.2849,54.1899,3.029,g
6.7565,2.0917,0.7126,12.9397,25.071,g
26.7584,3.8233,0.1555,57.9574,1.5906,g
22.2933,2.7181,0.2622,14.4977,56.785,g
11.5851,2.4533,0.4225,4.6733,35.088,g
22.3306,3.235,0.1799,-20.3188,8.326,g
10.3567,2.2304,0.6,-9.3884,37.882,g
19.9402,2.9978,0.197,44.4537,12.267,g
17.0121,2.8995,0.344,14.4098,0.596,g
53.3671,4.3789,0.0734,85.6668,1.6793,g
15.6921,2.5977,0.3384,16.0417,11.546,g
15.0317,2.6309,0.3088,-11.8123,19.418,g
15.0214,2.7948,0.3609,29.9288,2.016,g
23.5413,3.1749,0.2627,54.3659,8.5332,g
20.8392,2.5192,0.3026,-19.9009,17.384,g
23.1949,2.842,0.2906,26.7905,18.895,g
38.099,3.718,0.1656,35.9114,3.1991,g
36.9134,3.6716,0.2539,-64.4418,0.552,g
10.696,2.3284,0.5962,17.3998,14.87,g
21.0442,2.6968,0.3437,21.2631,15.591,g
20.8963,2.9157,0.2866,28.0222,3.103,g
14.3997,2.3664,0.5505,15.6644,42.881,g
6.5999,2.1861,0.7362,-11.5369,20.202,g
7.0846,2.0273,0.723,11.4034,25.9219,g
22.9294,2.9219,0.3208,67.2351,9.9993,g
24.8174,3.3241,0.1863,42.5079,15.898,g
7.5107,2.3222,0.681,11.1798,17.1998,g
14.9672,2.4654,0.4075,-19.542,80.2965,g
17.2338,2.7063,0.2439,-38.7493,8.1035,g
12.4151,2.3589,0.5164,-14.527,4.7412,g
21.7072,3.2955,0.2451,105.713,1.696,g
12.3608,2.4338,0.6593,14.7387,48.9365,g
10.2322,2.3243,0.5687,-15.4424,31.7443,g
35.0906,3.4135,0.2269,28.5247,3.034,g
12.1218,2.2492,0.6761,-10.4085,45.2352,g
12.1584,2.2589,0.5014,-7.9755,15.833,g
7.2627,2.1021,0.6957,-5.8225,63.637,g
17.6702,2.6138,0.4063,-147.918,83.7287,g
22.6787,2.9859,0.3192,-22.4769,4.376,g
13.3657,2.5949,0.3609,23.2017,1.126,g
27.2418,3.5735,0.1332,59.4095,1.548,g
15.6267,2.736,0.3214,20.1723,3.9292,g
12.7727,2.2529,0.5866,13.6608,1.451,g
11.8389,2.4518,0.6254,5.0444,40.6918,g
30.6296,3.7644,0.1445,90.3116,1.1606,g
23.8891,3.2463,0.2133,63.8294,9.559,g
21.177,3.0481,0.2014,47.4128,4.179,g
28.4251,3.3473,0.196,56.2553,4.178,g
20.3521,3.2885,0.2182,34.7953,2.2062,g
11.2497,2.0774,0.7448,6.6654,42.6363,g
21.3628,3.3105,0.1722,20.9643,6.759,g
11.3923,2.1477,0.7402,-3.3364,46.8979,g
38.7657,3.2832,0.2006,62.541,7.011,g
7.2405,2.2405,0.6264,-4.6882,22.151,g
11.0709,2.372,0.4671,-22.9565,16.191,g
32.2578,3.6349,0.1384,48.7189,9.4551,g
20.5582,3.0775,0.2275,63.5057,4.13,g
14.9409,3.0661,0.2799,26.7538,11.591,g
18.3778,2.9053,0.2127,-43.9999,3.3763,g
20.4513,2.78,0.2788,75.7195,3.772,g
13.6097,2.6042,0.4627,-11.4003,25.464,g
19.6858,3.2026,0.2659,-31.5654,3.627,g
16.7535,2.841,0.4585,55.0076,20.2025,g
25.6478,2.76,0.3527,22.5389,26.8176,g
32.4104,3.0372,0.2487,52.4496,5.328,g
12.6787,2.4864,0.5155,14.2747,17.0032,g
6.8719,2.1055,0.698,11.0487,32.8759,g
7.1381,2.1688,0.7051,-9.524,9.432,g
13.4808,2.7536,0.3704,30.927,10.0836,g
15.5155,2.7501,0.3253,29.7694,17.598,g
27.6954,3.4634,0.1748,96.4227,5.352,g
24.3038,3.3422,0.1824,41.3788,3.2776,g
11.3751,2.2889,0.7404,-5.6225,33.8245,g
24.3855,3.4233,0.2339,-19.4147,0.64,g
7.127,1.9978,0.7035,-9.5235,53.159,g
26.1253,3.3259,0.1667,48.7686,9.842,g
12.1773,2.3936,0.4808,16.1439,5.4587,g
27.9443,3.1908,0.1959,78.1148,0.662,g
12.6686,2.4125,0.5106,10.1035,42.99,g
27.5454,3.4125,0.1447,84.0013,13.3408,g
11.8298,2.0354,0.7005,-9.2568,81.4811,g
23.2481,2.8627,0.2305,25.6259,1.858,g
18.9814,2.7945,0.3178,-11.9867,10.7282,g
22.8555,2.6474,0.3288,30.0093,53.8665,g
0,2.1021,0.7115,0,1.307,g
10.6997,2.2227,0.509,3.675,26.3124,g
16.8496,2.9576,0.2249,26.341,1.705,g
18.3727,3.0461,0.2689,64.4455,6.348,g
12.9176,2.4691,0.3701,16.1177,16.868,g
31.8116,3.3732,0.252,-54.7908,4.36,g
25.8956,3.4586,0.24,68.0245,0.146,g
14.8179,2.3766,0.437,-15.6034,21.1247,g
7.3353,2.1717,0.7744,10.0501,60.218,g
38.3701,3.5868,0.1906,59.2655,0.864,g
12.4655,2.4955,0.4696,-22.0762,41.929,g
30.85,3.5714,0.1629,31.829,33.757,g
26.1979,2.7608,0.3018,58.5965,41.8876,g
18.1931,3.0314,0.2986,98.6068,6.8267,g
20.819,2.8245,0.2846,28.7441,21.897,g
17.7459,2.8904,0.4118,-10.1542,1.26,g
20.8327,3.4422,0.2648,43.0572,2.9498,g
17.4502,2.6207,0.297,-19.5229,59.7755,g
16.5992,2.4639,0.4192,14.412,3.637,g
23.7516,3.4208,0.1655,77.8088,5.7787,g
21.4228,2.8202,0.3812,21.4761,6.2941,g
21.1485,3.1765,0.2231,22.3961,30.76,g
12.2506,2.6707,0.3287,-25.38,32.8027,g
12.4016,2.7059,0.4902,17.003,34.4836,g
24.0409,2.8822,0.2597,-40.983,88.2424,g
29.8464,3.6069,0.1951,42.186,16.6925,g
19.5163,2.6875,0.4086,-24.1026,8.572,g
7.3198,2.2343,0.828,-5.5395,82.7575,g
28.7465,3.6405,0.1899,66.5038,0.1431,g
12.8338,2.5478,0.4504,15.1604,1.0147,g
23.9931,2.932,0.2105,48.0032,18.364,g
14.3011,2.7404,0.3345,21.3123,28.521,g
15.0612,2.7727,0.4034,37.3562,14.367,g
19.477,3.1703,0.2358,-30.0775,0.912,g
15.9101,2.8576,0.2804,-28.581,6.132,g
7.1413,2.0917,0.7611,-12.3307,82.6073,g
12.9755,2.4541,0.5097,10.0427,25.048,g
24.5447,3.3906,0.1969,51.6814,1.652,g
10.9467,2.5092,0.6749,-18.2558,6.595,g
14.9228,2.5855,0.4727,13.1921,24.9145,g
15.2548,2.574,0.392,12.2024,18.785,g
15.0095,2.616,0.3995,17.559,3.6204,g
24.3085,3.3792,0.1904,55.701,7.6011,g
23.1906,3.2172,0.2432,37.2549,0.7988,g
24.7274,3.4648,0.1495,48.4471,2.123,g
23.4257,3.0408,0.2394,37.3598,11.302,g
12.9794,2.941,0.3391,53.679,5.7324,g
10.0373,2.2999,0.817,-5.0898,18.6383,g
15.6818,2.3304,0.6355,15.4677,51.3957,g
11.8664,2.6294,0.5023,14.9815,22.926,g
6.9523,2.3334,0.7332,13.0232,8.393,g
57.248,3.8319,0.0616,74.6364,3.804,g
19.0322,2.7868,0.2369,-47.4196,2.7357,g
14.6347,2.6977,0.2869,4.2475,21.324,g
16.2165,2.6781,0.3421,21.4594,5.2329,g
10.7678,2.2,0.776,-1.3856,44.1499,g
9.6293,2.2529,0.6313,15.7766,4.1929,g
23.7964,3.3493,0.2228,57.4564,0.5748,g
14.4435,2.5058,0.3526,-3.9771,10.291,g
16.452,2.3775,0.5577,21.9944,46.6248,g
16.7819,2.3128,0.4818,18.3897,13.1411,g
11.1674,2.4208,0.5996,8.6544,17.1627,g
22.9809,2.8768,0.3015,30.3014,33.6328,g
18.2733,2.2304,0.5412,-13.9946,42.063,g
11.1551,2.356,0.5771,-7.3279,8.1236,g
20.4221,3.1955,0.1874,42.1983,6.978,g
17.9926,2.8007,0.3117,24.528,33.0542,g
12.0919,2.2,0.6751,10.6145,50.0643,g
11.3875,2.3304,0.6168,6.1605,9.3001,g
9.4953,2.2742,0.633,-13.1833,29.712,g
12.6495,2.4654,0.5171,23.3827,9.7889,g
11.2837,2.5653,0.3837,-19.3437,4.6366,g
17.5773,2.7649,0.3643,-29.5803,5.526,g
6.6732,2.2529,0.5754,-17.5378,7.689,g
23.3213,2.8516,0.2421,32.8741,0.7406,g
35.969,4.0645,0.1032,69.2886,0.614,g
10.2465,2.3901,0.4644,15.4014,28.6827,g
16.0437,2.5821,0.3351,-23.0998,17.831,g
31.4188,3.3434,0.1397,53.6824,7.116,g
15.4518,2.7903,0.3063,-19.8879,8.3289,g
45.6669,3.9547,0.1372,66.2168,3.0301,g
34.6611,3.3567,0.1377,45.212,5.245,g
26.8918,3.2888,0.2067,41.8274,2.554,g
23.3716,3.2887,0.1744,27.2121,5.406,g
22.5407,3.234,0.1949,38.4746,1.452,g
29.571,3.2854,0.1793,-35.5293,5.7152,g
12.2813,2.4691,0.584,-14.6245,3.6579,g
9.9788,2.3701,0.5416,21.9484,61.282,g
16.4084,2.5447,0.408,9.9184,32.125,g
32.714,3.1411,0.159,38.2362,6.809,g
12.8904,2.4661,0.4923,11.0682,1.7384,g
34.2142,3.9139,0.1311,57.6459,8.974,g
18.4474,2.8079,0.2942,14.4374,19.0804,g
20.3842,2.9484,0.2376,51.1341,2.718,g
17.9911,2.7122,0.324,19.4459,8.1352,g
18.617,2.6415,0.3379,22.7598,17.2162,g
16.8898,2.586,0.4721,13.2756,17.904,g
16.2294,2.4893,0.3468,26.2948,17.8954,g
12.6129,2.7288,0.3978,-17.5545,3.789,g
49.9716,3.6349,0.1623,129.694,9.083,g
9.8381,2.2529,0.5698,11.5088,4.1946,g
10.2315,2.2135,0.789,6.8819,47.2633,g
11.0398,2.5011,0.5016,17.3958,6.0614,g
6.4102,2.1319,0.7823,-17.1937,71.9164,g
20.6391,2.3927,0.5263,-51.2413,37.841,g
0.0006,2.1319,0.7749,0.0001,29.6802,g
12.6826,2.4886,0.487,24.5275,22.252,g
16.0713,2.549,0.4266,41.734,13.107,g
22.1387,2.8748,0.3042,25.3913,20.5966,g
26.1492,3.2122,0.1933,-24.5987,8.364,g
8.1612,2.2601,0.6264,-20.1555,76.9508,g
13.6076,2.5004,0.3791,-19.9187,69.35,g
30.6709,3.5616,0.1797,68.7917,3.9174,g
12.913,2.3334,0.4919,4.1078,6.2819,g
21.4698,3.1331,0.212,-32.5076,3.3443,g
10.1009,2.2355,0.5465,-8.913,5.5012,g
25.0898,3.3263,0.1651,49.7262,5.105,g
10.6842,2.1833,0.7672,-2.7243,86.767,g
15.8117,2.5682,0.3459,16.1316,8.767,g
16.8271,2.4646,0.4768,26.9885,48.71,g
16.2612,2.5587,0.3204,-8.9151,23.721,g
11.1821,2.1717,0.7542,3.7922,14.6389,g
11.2194,2.0737,0.7426,-7.1385,89.7459,g
17.4763,2.8344,0.2738,60.2797,14.6429,g
24.3346,3.0404,0.2478,34.4104,24.216,g
30.2204,3.9876,0.1239,87.663,0.4777,g
13.2999,2.667,0.4306,16.9093,6.187,g
16.492,2.5605,0.4512,-9.8857,2.276,g
45.5227,4.2044,0.0686,76.0204,1.22,g
20.8928,2.6613,0.3402,30.8087,40.323,g
31.6664,3.7625,0.1773,62.7514,2.903,g
20.23,3.0699,0.2384,30.9958,8.5516,g
11.7963,2.596,0.3676,41.0234,12.801,g
27.7138,2.9001,0.3612,47.5564,10.598,g
11.9402,2.6053,0.5434,17.5205,21.252,g
24.7071,2.9533,0.2394,-11.4513,16.6887,g
16.613,2.708,0.4074,41.236,0.5379,g
24.3116,3.2821,0.2074,45.8417,1.5204,g
10.6219,2.2148,0.561,-5.2319,35.2731,g
15.4352,2.6749,0.3425,50.526,26.0436,g
25.7827,3.344,0.2319,31.4371,4.605,g
13.5799,2.3683,0.5525,-12.4316,0.075,g
46.3484,4.0138,0.0923,102.411,3.208,g
9.9404,2.4306,0.538,34.3164,29.98,g
19.7318,2.9827,0.333,21.7099,27.914,g
27.7639,3.266,0.265,43.2498,14.118,g
28.1038,3.3481,0.1521,110.191,15.361,g
9.5385,2.2867,0.8165,-9.3624,73.8778,g
22.4181,3.474,0.2088,-48.0547,0.279,g
23.2931,3.1774,0.1469,37.4815,5.926,g
16.0469,2.6133,0.4312,27.1142,12.214,g
29.9126,3.66,0.2035,43.9246,0.8864,g
44.9116,3.9991,0.1081,77.8459,9.74,g
16.2839,2.937,0.3468,-16.5182,6.769,g
16.1568,2.6484,0.3865,21.2042,23.479,g
19.833,3.0451,0.292,28.9002,3.0159,g
26.0261,3.6254,0.1374,80.6913,3.863,g
16.1398,2.7101,0.3041,21.6115,55.3614,g
15.05,2.6096,0.5135,-19.1051,70.9158,g
34.931,3.5736,0.1642,66.5127,5.1312,g
22.5846,3.0037,0.2062,56.3823,4.4916,g
27.8531,3.5542,0.2303,49.5699,0.984,g
11.9004,2.316,0.3671,12.9882,17.4336,g
21.366,3.2621,0.1816,31.7738,0.9761,g
23.3081,2.9496,0.2796,54.9588,1.9931,g
12.0404,2.2,0.6877,-0.7681,18.3994,g
11.6231,2.3793,0.5344,20.2982,1.44,g
13.5477,2.4362,0.3846,92.2613,74.5664,g
17.2436,2.9499,0.2884,-16.3614,10.037,g
10.6408,2.2541,0.7855,-3.5739,16.91,g
11.4199,2.5557,0.5758,16.1264,28.298,g
16.7597,2.7828,0.3001,30.9728,14.834,g
29.0231,3.4145,0.1536,87.5135,0.4795,g
17.8618,3.1178,0.1899,85.6221,7.6036,g
18.3299,3.1541,0.2139,28.6234,4.0106,g
17.3928,2.7846,0.2726,36.8161,19.3827,g
29.7596,3.411,0.1568,82.9083,6.667,g
23.1402,3.1998,0.2254,-32.8412,8.0243,g
9.4956,2.4401,0.5154,17.8278,18.1924,g
13.6913,2.608,0.3748,14.0048,4.0277,g
10.3061,2.3395,0.8009,-6.0428,52.3517,g
32.9969,3.7322,0.1916,52.7196,0.034,g
10.0654,2.2122,0.5951,9.8337,41.804,g
11.3634,2.4691,0.6078,11.8225,27.7838,g
16.7314,3.065,0.2833,26.0174,0.292,g
9.8806,2.2589,0.8154,-8.2297,68.3213,g
9.8589,2.3324,0.6744,85.8494,10.694,g
18.8781,2.5085,0.3752,-17.4503,23.417,g
19.3069,2.8594,0.264,45.0332,4.199,g
7.1701,2.0434,0.7149,9.9352,24.743,g
37.9568,3.9073,0.1015,71.1468,0.227,g
31.0539,3.6055,0.1642,69.8347,1.513,g
20.0272,2.9133,0.3162,-24.1045,14.0395,g
11.6365,2.2648,0.6304,3.0816,31.9616,g
19.0992,2.6263,0.3499,61.3155,11.0676,g
10.1804,2.233,0.5848,18.837,71.1985,g
20.1574,2.8089,0.3758,20.2247,10.628,g
18.8812,2.9802,0.293,54.062,1.9107,g
14.7849,2.6613,0.4537,13.674,3.154,g
21.2983,2.4742,0.3188,-25.0007,44.799,g
17.4773,2.4683,0.4286,20.4172,15.4667,g
12.1111,2.5051,0.4344,22.4926,0.085,g
9.8375,2.3473,0.4494,18.3478,3.686,g
19.2028,3.1793,0.1946,23.8349,8.0926,g
11.2631,2.1351,0.7473,5.6859,55.5492,g
15.7055,2.4232,0.4113,-12.9013,11.757,g
9.6014,2.2867,0.8269,-9.0779,5.341,g
12.8671,2.4057,0.4558,9.7434,21.675,g
15.0223,2.7135,0.4603,15.2915,2.5305,g
