@relation magic

@attribute FWidth numeric
@attribute FM3Long numeric
@attribute FAlpha numeric
@attribute Class {g,h}

@data
11.4218,-57.7875,1.683,g
31.3902,61.0636,9.782,g
23.1113,37.9526,2.5147,g
25.6917,72.1869,1.39,g
7.2985,-9.6912,74.511,g
13.6097,-11.4003,25.464,g
42.7846,51.3861,1.9921,g
60.4622,83.2291,2.6075,g
18.8432,3.5532,3.684,g
36.5131,44.1952,6.976,g
14.5173,44.1062,2.119,g
16.7153,23.4221,18.661,g
11.1067,18.4301,43.8882,g
11.9773,-8.3772,33.158,g
9.4956,17.8278,18.1924,g
18.4043,32.6702,3.056,g
9.0443,-18.2522,35.6211,g
18.2119,25.4402,27.2776,g
14.7768,-12.3721,12.4588,g
7.1459,-11.2425,68.5155,g
23.3887,22.6569,28.6317,g
22.8778,85.5687,1.57,g
15.2311,-7.7378,16.5516,g
14.8798,32.4473,5.0177,g
10.6219,-5.2319,35.2731,g
27.2412,-45.345,0.2638,g
25.0898,49.7262,5.105,g
16.4765,20.8865,7.9947,g
12.401,26.995,6.8576,g
9.3418,-7.367,5.5511,g
16.9044,8.3021,11.763,g
18.4533,31.2314,3.1439,g
7.0937,-13.6263,31.469,g
9.9287,-14.7746,65.8518,g
17.3036,11.4106,19.356,g
16.6652,-122.173,6.673,g
19.414,6.0049,17.205,g
35.3852,51.5021,5.438,g
14.5681,-24.0049,3.226,g
12.5906,-10.6821,16.7407,g
28.4649,-22.4135,7.553,g
14.5306,23.4254,9.1325,g
16.9759,21.8963,53.3158,g
16.0139,15.1813,3.214,g
11.7724,-8.1029,9.0054,g
14.9958,2.8332,41.0922,g
20.2822,11.4314,5.489,g
22.7802,41.3572,6.3982,g
11.315,13.5867,15.6121,g
15.6067,11.4758,10.089,g
35.264,20.9658,54.509,g
19.7113,38.031,7.946,g
15.926,11.7305,4.914,g
9.5392,-13.8852,0.3141,g
17.4525,18.3525,53.28,g
22.3153,-16.2273,26.6964,g
6.7839,12.0502,5.706,g
30.3323,77.1431,7.4539,g
9.6096,19.9114,14.7135,g
11.0976,-7.3545,23.4938,g
12.4573,15.6523,3.427,g
13.4125,-14.9153,17.8512,g
9.2678,-14.1482,81.0899,g
22.6239,77.5513,2.0276,g
14.9382,15.6319,8.976,g
13.4775,-11.211,25.9856,g
21.3018,76.2591,2.818,g
17.5314,30.4555,4.625,g
23.4733,45.1187,13.5688,g
14.4609,34.4628,7.463,g
20.9993,11.9051,13.6362,g
22.5761,70.1656,9.8874,g
25.3915,45.7923,0.4249,g
14.7692,16.0988,5.159,g
22.4834,57.6959,8.806,g
39.3367,80.0759,0.938,g
31.0426,71.1547,2.3374,g
