@relation 'magic-weka.filters.unsupervised.attribute.Remove-V-R1,7,9,11'

@attribute FLength numeric
@attribute FM3Long numeric
@attribute FAlpha numeric
@attribute Class {g,h}

@data
46.2915,33.3653,38.707,g
20.3836,12.9487,43.0032,g
26.7065,18.6858,26.881,g
34.7486,-16.3092,1.521,g
45.6094,37.7755,4.25,g
38.1627,22.8564,5.5119,g
96.8578,66.0291,3.8107,g
95.5207,88.912,0.084,g
66.7336,67.0539,9.941,g
92.937,48.5227,3.497,g
21.8344,-0.1704,35.4993,g
18.1607,-7.66,43.3661,g
23.4494,-15.9867,83.8081,g
38.1089,-29.3931,13.741,g
33.5874,-7.6514,25.657,g
25.0275,-8.9993,65.2451,g
18.2028,18.329,2.5957,g
80.3994,76.0508,5.066,g
65.6069,43.5019,0.7567,g
59.6124,54.7397,1.1057,g
72.8104,58.5437,0.644,g
42.1289,-22.3351,12.9801,g
42.1441,19.1549,1.7038,g
52.221,-41.2341,5.096,g
29.1556,21.4041,1.925,g
100.747,74.4191,0.305,g
64.6445,-54.6747,10.304,g
68.8466,67.6255,0.137,g
79.9539,87.6757,17.7108,g
36.9794,8.5158,46.43,g
16.3371,4.6868,69.7431,g
33.429,-31.4401,29.644,g
33.5123,27.5196,6.8985,g
49.2754,38.108,1.985,g
21.1474,-11.5756,35.595,g
13.123,-4.0114,88.1516,g
24.8738,-13.6964,31.2269,g
91.9495,43.1926,4.1635,g
12.691,-8.7521,79.5407,g
23.2097,20.3361,24.8586,g
43.1149,23.6864,2.4098,g
33.1959,27.794,6.484,g
19.8547,13.4459,42.523,g
72.912,77.5674,9.402,g
20.6147,-10.1138,25.643,g
53.6832,-22.3987,0.803,g
64.713,56.6713,1.569,g
30.251,17.8866,2.103,g
22.3238,10.4378,18.82,g
35.086,20.5008,11.3154,g
25.7334,22.7043,49.1483,g
64.5226,-40.6169,0.47,g
32.9203,28.0548,13.181,g
20.9402,11.1188,14.19,g
13.4592,-6.8066,17.4488,g
76.4482,62.0248,14.573,g
58.649,40.9113,5.308,g
26.3201,-18.1186,0.3082,g
13.1551,-10.1658,46.9567,g
39.163,33.2677,10.9465,g
70.4372,-72.3311,0.875,g
15.5071,2.6585,77.7643,g
26.564,-15.1212,37.7264,g
36.9465,-19.7029,10.9128,g
28.2302,20.802,7.4795,g
31.3812,24.9286,9.9904,g
58.113,18.2293,3.9914,g
21.0629,13.108,24.5335,g
99.0964,108.833,0.983,g
