@relation 'magic-weka.filters.unsupervised.attribute.Remove-V-R1,5,9,11'

@attribute FLength numeric
@attribute FConc1 numeric
@attribute FAlpha numeric
@attribute Class {g,h}

@data
162.052,0.0187,76.96,g
48.2468,0.1515,4.792,g
26.7897,0.2174,0.812,g
46.7619,0.1913,7.875,g
62.7766,0.1261,9.9144,g
18.8562,0.2933,11.461,g
38.1817,0.1662,2.572,g
27.6746,0.2224,19.3719,g
18.6533,0.337,4.7998,g
12.974,0.4704,42.2408,g
86.5636,0.0809,2.643,g
34.889,0.2534,8.376,g
74.5714,0.1627,4.029,g
26.0862,0.2354,4.1527,g
35.8144,0.214,23.123,g
23.6924,0.4543,27.014,g
70.6584,0.1334,0.45,g
32.7059,0.2142,40.3711,g
63.8128,0.1088,1.919,g
60.8598,0.1378,4.182,g
23.8915,0.3173,6.2472,g
23.6179,0.3739,47.786,g
20.7779,0.3693,28.79,g
68.0121,0.1576,3.9746,g
61.6933,0.1449,2.926,g
50.5984,0.1315,8.44,g
22.4236,0.3146,53.815,g
21.1221,0.452,75.3948,g
86.5389,0.1565,1.53,g
20.5056,0.2683,1.701,g
58.4387,0.139,3.1218,g
18.8932,0.3245,14.71,g
70.0225,0.087,3.902,g
23.9467,0.2404,60.493,g
21.1305,0.2534,81.2274,g
67.9187,0.1479,9.654,g
38.3448,0.2093,0.1899,g
42.1712,0.2418,10.7626,g
35.7536,0.1584,0.226,g
77.8141,0.0897,2.712,g
20.2467,0.3162,79.4844,g
61.374,0.112,3.713,g
71.3468,0.1203,8.6575,g
97.1547,0.0706,1.2669,g
90.8484,0.0923,2.5821,g
49.0345,0.1547,5.173,g
43.7014,0.1401,0.4341,g
23.1716,0.4016,30.652,g
34.9922,0.1628,8.191,g
57.6389,0.1623,0.619,g
46.7637,0.1595,2.0311,g
29.4437,0.2427,20.244,g
20.1958,0.3829,17.9072,g
20.2001,0.3476,5.736,g
39.938,0.1756,14.4579,g
26.6212,0.2459,44.407,g
109.32,0.0411,1.102,g
79.3831,0.2215,9.4384,g
70.6168,0.1101,8.372,g
70.3337,0.2025,4.6368,g
81.9649,0.1731,3.5171,g
29.6299,0.1726,24.196,g
20.7099,0.5561,27.282,g
20.1058,0.375,79.283,g
77.1621,0.0689,11.476,g
22.1067,0.2648,1.318,g
12.8128,0.3891,21.21,g
38.6616,0.1404,8.262,g
31.7502,0.1583,7.038,g
17.3029,0.3278,3.5463,g
38.5054,0.1235,18.3976,g
33.055,0.1878,9.323,g
40.8246,0.2497,9.868,g
21.1628,0.2539,35.801,g
32.2758,0.2723,12.3195,g
21.6816,0.3549,55.7262,g
22.2342,0.3269,16.7407,g
133.103,0.029,8.6871,g
63.5381,0.0938,9.428,g
21.3927,0.2877,0.9412,g
31.4889,0.1822,22.241,g
32.5149,0.3126,10.4419,g
114.303,0.039,0.3,g
35.4054,0.1866,34.644,g
12.5342,0.3674,19.242,g
23.2796,0.276,9.5021,g
