@relation 'magic-weka.filters.unsupervised.attribute.Remove-V-R1,3,9,11'

@attribute FLength numeric
@attribute FSize numeric
@attribute FAlpha numeric
@attribute Class {g,h}

@data
46.2915,2.7756,38.707,g
20.3836,2.3365,43.0032,g
26.7065,2.6781,26.881,g
34.7486,2.5629,1.521,g
45.6094,3.0438,4.25,g
38.1627,3.1041,5.5119,g
96.8578,3.9903,3.8107,g
95.5207,4.1295,0.084,g
66.7336,3.4357,9.941,g
92.937,3.0885,3.497,g
21.8344,2.1804,35.4993,g
18.1607,2.2718,43.3661,g
23.4494,2.5605,83.8081,g
38.1089,2.3927,13.741,g
33.5874,2.5821,25.657,g
25.0275,2.5391,65.2451,g
18.2028,2.4526,2.5957,g
80.3994,2.8445,5.066,g
65.6069,3.8528,0.7567,g
59.6124,3.4791,1.1057,g
72.8104,3.096,0.644,g
42.1289,2.4969,12.9801,g
42.1441,2.7459,1.7038,g
52.221,2.6435,5.096,g
29.1556,2.5441,1.925,g
100.747,2.944,0.305,g
64.6445,2.7168,10.304,g
68.8466,2.7835,0.137,g
79.9539,3.1602,17.7108,g
36.9794,2.9834,46.43,g
16.3371,2.3464,69.7431,g
33.429,2.7792,29.644,g
33.5123,2.4742,6.8985,g
49.2754,2.7509,1.985,g
21.1474,2.5599,35.595,g
13.123,2.1569,88.1516,g
24.8738,2.7675,31.2269,g
91.9495,3.3654,4.1635,g
12.691,2.0233,79.5407,g
23.2097,2.7251,24.8586,g
43.1149,2.9609,2.4098,g
33.1959,2.6289,6.484,g
19.8547,2.4807,42.523,g
72.912,2.6693,9.402,g
20.6147,2.1414,25.643,g
53.6832,2.8048,0.803,g
64.713,3.5062,1.569,g
30.251,2.6946,2.103,g
22.3238,2.5231,18.82,g
35.086,3.1159,11.3154,g
25.7334,2.7316,49.1483,g
64.5226,2.5557,0.47,g
32.9203,3.2348,13.181,g
20.9402,2.5933,14.19,g
13.4592,2.2055,17.4488,g
76.4482,3.0874,14.573,g
58.649,2.7275,5.308,g
26.3201,2.4099,0.3082,g
13.1551,2.4191,46.9567,g
39.163,2.3531,10.9465,g
70.4372,2.9292,0.875,g
15.5071,2.3385,77.7643,g
26.564,2.3909,37.7264,g
36.9465,2.8293,10.9128,g
28.2302,2.8132,7.4795,g
31.3812,2.637,9.9904,g
58.113,2.8351,3.9914,g
21.0629,2.0881,24.5335,g
99.0964,3.853,0.983,g
80.2379,3.7361,1.932,g
50.5608,3.1101,21.156,g
95.724,2.9731,1.197,g
27.4956,2.5315,25.1126,g
27.0762,2.7536,10.25,g
18.1081,2.2856,35.7431,g
45.349,3.1064,6.1306,g
102.786,3.742,1.687,g
19.9364,2.6212,3.1526,g
37.0964,2.8142,7.886,g
