@relation 'magic-weka.filters.unsupervised.attribute.Remove-V-R1,3,9,11'

@attribute FLength numeric
@attribute FSize numeric
@attribute FAlpha numeric
@attribute Class {g,h}

@data
28.7967,2.6449,40.092,g
44.7394,2.638,3.251,g
27.2304,2.6375,77.5379,g
84.61,3.6809,17.575,g
24.999,2.5434,9.862,g
20.8112,2.1255,85.103,g
24.999,2.5993,81.8671,g
18.4475,2.4074,69.2291,g
101.703,3.9457,4.0677,g
41.3848,2.7938,9.628,g
20.5839,2.4191,26.586,g
91.6174,4.0942,3.0094,g
20.7154,2.2443,88.4999,g
20.4525,2.1775,9.1256,g
17.8912,2.3075,44.74,g
84.2741,3.8949,3.7714,g
33.7616,2.7941,32.377,g
74.3456,3.2412,31.553,g
78.2002,3.2357,12.616,g
19.7592,2.3664,18.354,g
44.9999,3.03,46.1539,g
68.9648,3.1307,0.402,g
49.6601,3.1746,5.4509,g
19.4731,2.4556,53.7383,g
24.5581,2.6628,26.996,g
23.6426,2.3149,0,g
88.6611,3.3842,0.71,g
43.9615,3.1313,6.846,g
109.37,2.4116,0.589,g
18.7703,2.4031,50.86,g
19.7692,2.6821,83.8778,g
79.7124,3.3244,2.129,g
27.1848,2.4893,47.377,g
66.8289,2.8979,5.1606,g
35.8341,2.7864,6.11,g
40.0436,3.3093,1.6058,g
81.8495,2.772,16.194,g
23.4123,2.4997,39.4624,g
37.7253,2.7716,15.834,g
94.8276,4.0896,1.024,g
38.0902,3.2331,25.6015,g
72.6419,3.0101,2.1522,g
28.7248,2.6107,3.5355,g
29.4682,2.9368,19.977,g
95.6947,3.5485,0.2763,g
33.1706,2.667,7.608,g
24.4446,2.5539,20.8407,g
18.9434,2.3483,12.938,g
48.8261,2.8132,8.2676,g
23.4563,2.5051,21.817,g
31.3318,2.6794,18.65,g
18.6774,2.3551,8.3828,g
48.5152,3.3116,0.6261,g
32.392,2.8663,7.136,g
26.503,2.4914,30.148,g
21.0167,2.3541,9.3744,g
51.6785,3.0092,1.8934,g
57.1182,3.2369,19.89,g
82.1714,3.6494,1.7505,g
25.0822,2.5775,6.219,g
35.5418,2.94,27.4184,g
23.6729,2.2,47.7751,g
34.2078,2.5521,6.6964,g
37.1898,2.9759,7.0604,g
40.9872,2.7147,0.0821,g
12.9987,2.1351,32.861,g
16.9818,2.3075,51.0269,g
12.4392,2.2,18.3994,g
27.1388,2.8156,30.825,g
100.038,4.2401,2.931,g
64.5397,3.0086,13.377,g
28.2176,2.499,89.9535,g
36.9048,2.7945,1.8977,g
92.3723,3.0527,17.086,g
23.8022,2.3945,15.4009,g
41.0476,3.0092,6.121,g
21.0689,2.6042,5.3844,g
102.285,3.1921,2.661,g
32.853,2.9865,8.724,g
40.3463,2.9474,14.5122,g
77.3543,4.0443,3.7039,g
51.264,3.2543,10.649,g
70.1638,3.5497,8.3983,g
27.7483,2.5781,9.141,g
18.0652,2.357,67.7358,g
31.79,2.6937,13.812,g
37.374,3.044,25.394,g
18.6774,2.586,15.0753,g
33.7945,2.8873,9.383,g
26.277,2.6474,19.6343,g
32.4832,2.4836,24.26,g
81.5827,3.1838,0.5805,g
22.3851,2.2695,12.169,g
41.6441,3.0107,16.037,g
40.0334,2.6201,4.1,g
30.8343,2.6299,56.523,g
21.462,2.3274,1.493,g
58.3389,3.4371,8.174,g
20.6484,2.1319,7.414,g
18.4901,2.5017,5.515,g
29.2688,2.5723,47.559,g
38.5396,3.0202,0.0345,g
123.623,3.3583,4.358,g
43.3752,2.6762,17.999,g
24.8854,2.5359,15.148,g
55.6462,2.9423,15.151,g
88.992,3.683,5.627,g
40.1071,2.8479,11.7922,g
12.8789,2.1658,9.2006,g
37.8069,3.3945,10.6904,g
56.1911,3.4318,1.621,g
20.47,2.3086,63.4398,g
56.2863,2.9266,20.5187,g
42.6005,3.031,14.976,g
27.8752,2.3589,44.0434,g
28.1148,2.6439,10.742,g
21.9255,2.3664,4.941,g
23.4322,2.4479,79.712,g
88.0016,3.5597,26.8401,g
18.621,2.2529,26.1461,g
49.7636,3.6142,3.2719,g
49.8051,2.6542,5.4954,g
65.4261,2.6924,8.129,g
65.6466,3.1002,4.6995,g
85.9632,3.4029,5.703,g
29.7499,2.7304,0.56,g
25.519,2.8241,30.5133,g
29.0348,2.7763,54.004,g
23.9073,2.2923,3.145,g
76.6239,3.5389,4.172,g
79.7263,3.6658,2.4487,g
