@relation magic

@attribute FWidth numeric
@attribute FConc numeric
@attribute FAlpha numeric
@attribute Class {g,h}

@data
18.0011,0.276,2.926,g
30.5758,0.1802,0.4788,g
10.8308,0.774,27.106,g
12.6644,0.4972,28.109,g
17.3634,0.4475,64.999,g
27.4279,0.1553,13.107,g
16.6977,0.3892,23.344,g
15.3675,0.5826,0.2621,g
23.2926,0.2009,3.6947,g
16.593,0.33,6.082,g
15.7198,0.4533,0.5897,g
21.6234,0.32,8.796,g
24.9802,0.2235,13.962,g
10.3778,0.5556,20.212,g
12.9419,0.4528,62.509,g
19.5489,0.3208,21.4609,g
10.9031,0.6582,42.803,g
18.9718,0.3743,16.9055,g
32.4801,0.1752,0.837,g
17.6794,0.4736,12.658,g
11.3356,0.6134,41.763,g
15.9192,0.3497,2.6191,g
21.6505,0.1799,12.615,g
7.1075,0.7342,0.208,g
19.0703,0.4186,45.8112,g
25.994,0.2457,4.096,g
17.3464,0.4451,3.393,g
15.4175,0.4373,25.3949,g
6.9635,0.6844,21.9158,g
15.4658,0.468,2.8858,g
31.9178,0.2785,2.2334,g
9.5559,0.6541,49.52,g
26.6265,0.1854,2.935,g
17.1661,0.3254,4.6448,g
27.6992,0.2138,22.201,g
10.3349,0.6034,50.4492,g
0,0.7687,19.7851,g
10.2753,0.6289,7.916,g
13.0977,0.6322,33.344,g
10.1448,0.4065,3.739,g
19.3494,0.3602,9.652,g
24.529,0.2281,3.956,g
12.0224,0.4777,2.8978,g
30.916,0.1569,3.0387,g
23.1143,0.237,6.3073,g
17.2552,0.2724,2.7747,g
30.7737,0.2327,0.0235,g
14.9248,0.3665,2.565,g
15.5086,0.3306,1.7099,g
15.6068,0.4392,15.4169,g
14.0731,0.4212,75.6791,g
0,0.6158,0,g
8.9421,0.6602,2.9483,g
12.8991,0.5616,54.9825,g
35.3152,0.2603,4.049,g
45.5063,0.0823,1.333,g
18.5129,0.2527,13.0774,g
12.5638,0.539,14.578,g
18.4936,0.3219,20.151,g
36.4657,0.1393,17.575,g
14.7328,0.4636,45.87,g
