@relation 'magic-weka.filters.unsupervised.attribute.Remove-V-R2-3,9,11'

@attribute FWidth numeric
@attribute FSize numeric
@attribute FAlpha numeric
@attribute Class {g,h}

@data
21.8287,3.3587,2.005,g
15.9621,2.8457,9.59,g
28.1482,3.2641,0.67,g
9.7238,2.3064,3.675,g
19.8364,2.7372,15.9328,g
16.0121,3.0663,17.6684,g
26.3821,2.7966,6.4974,g
25.658,3.0414,0.6344,g
17.7678,2.8439,23.821,g
6.8084,2.2504,27.549,g
12.8638,2.4564,47.777,g
19.0735,2.2911,74.308,g
16.8653,2.7882,1.713,g
17.2218,2.5434,10.615,g
18.431,2.7466,2.8462,g
0.0046,2.1319,61.5621,g
24.9234,3.0876,1.9727,g
9.6598,2.4955,27.604,g
13.4114,2.6915,14.233,g
31.6829,3.7285,0.57,g
17.6215,2.2889,37.2132,g
22.8527,3.4072,3.4278,g
24.9896,2.968,7.208,g
9.2678,2.2304,81.0899,g
14.3011,2.7404,28.521,g
8.9672,2.2529,32.6097,g
28.4154,3.1828,1.562,g
12.248,2.437,68.6674,g
21.6106,3.2456,6.986,g
25.1337,3.0052,8.877,g
19.8409,3.146,6.527,g
11.1405,2.2504,40.0799,g
16.4057,2.6871,5.231,g
19.7318,2.9827,27.914,g
15.1253,2.8454,1.228,g
15.993,2.5658,1.3937,g
10.773,2.3324,17.929,g
27.0787,3.5292,6.2195,g
9.6195,2.4698,19.724,g
14.8991,2.8264,14.53,g
6.8238,2.3579,8.5878,g
17.5142,2.541,78.773,g
32.9152,2.9472,69.094,g
11.4438,2.3655,24.262,g
46.5011,4.1613,3.2764,g
12.6744,2.6942,5.153,g
8.0875,2.2577,19.4594,g
11.8476,2.5283,7.067,g
0,2.0512,77.229,g
15.4987,2.3627,20.6196,g
13.4529,2.3253,4.575,g
16.9251,2.5334,11.74,g
7.1442,2.2999,62.18,g
20.6646,2.9859,47.392,g
25.5338,3.3015,2.379,g
12.636,2.7555,3.597,g
20.8121,3.3922,0.468,g
12.6978,2.2788,34.5976,g
17.6439,2.7455,37.9035,g
0,2.1599,61.216,g
14.9958,2.5971,41.0922,g
20.615,3.0086,13.0282,g
17.9128,2.6599,2.8753,g
26.2693,3.528,2.433,g
25.2033,3.2394,3.4835,g
58.9702,4.4451,2.9341,g
22.1737,2.6469,23.0914,g
25.8956,3.4586,0.146,g
25.405,3.0243,8.986,g
21.2847,2.7135,18.6544,g
32.2578,3.6349,9.4551,g
31.4988,2.8774,7.2099,g
10.9301,2.1319,66.374,g
22.3316,3.293,6.85,g
23.6443,2.9894,6.159,g
16.0858,2.9031,4.9132,g
25.2638,3.3256,3.174,g
20.0496,2.7435,10.618,g
25.3628,3.1391,13.285,g
17.0311,2.6026,14.0812,g
12.5605,2.723,9.0544,g
25.1742,3.3245,3.9509,g
18.617,2.6415,17.2162,g
33.0361,3.8699,0.211,g
12.2248,2.317,11.7823,g
20.2022,2.9405,3.4588,g
18.2265,3.0943,7.1492,g
14.573,2.3617,41.3192,g
26.1488,3.1149,38.817,g
34.826,3.8661,3.201,g
10.5732,2.3054,17.478,g
21.9917,2.7697,3.827,g
19.9773,2.8692,4.6718,g
20.0816,2.9738,1.861,g
15.3356,2.638,5.397,g
