@relation magic

@attribute FConc1 numeric
@attribute FAlpha numeric
@attribute Class {g,h}

@data
0.3967,53.9159,g
0.1657,4.166,g
0.3108,13.001,g
0.3922,10.449,g
0.1257,2.9291,g
0.5238,58.845,g
0.2321,71.498,g
0.2892,10.8662,g
0.3242,40.808,g
0.2829,41.866,g
0.4841,43.5269,g
0.3527,41.4781,g
0.1505,0.054,g
0.1592,47.397,g
0.2966,18.7607,g
0.0982,0.224,g
0.3769,40.3261,g
0.2591,9.3626,g
0.2427,10.896,g
0.1694,1.878,g
0.2237,49.126,g
0.0661,2.1455,g
0.2027,10.1631,g
0.2617,45.0788,g
0.1315,8.44,g
0.3899,68.446,g
0.1405,2.228,g
0.1057,12.3487,g
0.1872,7.742,g
0.1994,1.325,g
0.1582,9.7328,g
0.1027,7.3364,g
0.1122,10.217,g
0.2138,4.9939,g
0.5013,44.34,g
0.1109,3.4161,g
0.3837,86.4459,g
0.2084,64.2875,g
0.3343,79.8933,g
0.1668,11.677,g
0.4328,17.483,g
0.2484,19.31,g
0.4788,27.3603,g
0.3538,3.4541,g
0.477,11.0853,g
0.3203,26.3364,g
0.1645,6.753,g
0.1689,5.9851,g
0.2439,52.617,g
0.2579,17.1286,g
0.2836,30.556,g
0.166,27.2776,g
0.1752,4.35,g
0.0797,6.582,g
0.4289,68.6733,g
0.2511,25.831,g
0.1259,2.9517,g
0.2172,2.8508,g
0.138,2.952,g
0.3505,78.1246,g
0.2536,13.981,g
0.2319,62.3504,g
0.16,9.129,g
0.262,16.8389,g
0.4916,83.5804,g
0.3004,61.988,g
0.2668,64.5349,g
0.2384,41.187,g
0.1026,10.6904,g
0.2044,35.3889,g
0.5563,25.3233,g
0.066,8.174,g
0.2356,7.3063,g
0.4136,16.343,g
0.2687,9.985,g
0.1134,4.7341,g
0.3436,4.066,g
0.2736,5.3656,g
0.1153,1.419,g
0.4487,10.8031,g
0.0716,12.8638,g
0.0972,15.2606,g
0.2025,4.6368,g
0.1547,0.706,g
0.2271,20.028,g
0.0949,2.2272,g
0.2879,35.715,g
0.1593,1.9636,g
0.2565,1.4023,g
0.1094,6.1069,g
0.0776,0.809,g
0.1513,15.517,g
0.0965,28.5503,g
0.081,0.5733,g
0.1141,14.573,g
0.25,9.097,g
0.1112,0.1593,g
0.1362,3.6733,g
0.096,2.673,g
0.1564,21.104,g
0.1967,27.43,g
0.1149,1.827,g
0.2106,14.0382,g
0.3355,84.1039,g
0.1392,10.02,g
0.0721,16.085,g
0.4815,10.772,g
0.362,65.0592,g
0.1868,69.079,g
0.1423,6.903,g
0.2921,24.248,g
0.2819,43.5251,g
0.2256,6.853,g
0.3712,77.047,g
0.2181,1.567,g
0.0802,2.545,g
0.0776,10.998,g
0.0453,3.081,g
0.0573,0.019,g
0.1525,2.5722,g
0.2817,59.294,g
0.45,16.244,g
0.251,32.4811,g
0.1324,17.713,g
0.3912,44.7241,g
0.1234,42.931,g
0.1549,6.8267,g
0.0823,3.2837,g
0.2224,11.4725,g
0.384,52.7541,g
0.1866,17.709,g
0.129,2.3111,g
0.3115,22.464,g
0.2742,8.529,g
0.1199,10.4186,g
0.3142,74.772,g
0.3511,26.52,g
0.197,3.2072,g
0.1054,8.8581,g
0.1783,3.596,g
0.3022,70.247,g
0.3689,21.9158,g
0.3146,53.815,g
0.1859,4.829,g
0.1794,11.7518,g
0.2236,47.407,g
0.3459,17.4835,g
0.1889,2.4225,g
0.3854,6.595,g
0.4691,12.9511,g
0.3942,86.3258,g
0.1271,1.645,g
0.1405,46.1539,g
0.1481,4.6516,g
0.1459,16.405,g
0.0873,6.9048,g
0.3615,19.3086,g
0.3576,6.6945,g
0.0842,0.5,g
0.4538,22.795,g
0.166,20.0384,g
0.2886,0.279,g
0.4498,15.001,g
0.1396,0.728,g
0.464,13.913,g
0.3078,65.2451,g
0.2807,56.213,g
0.1389,0.669,g
0.2144,78.5386,g
