@relation 'magic-weka.filters.unsupervised.attribute.Remove-V-R3,9-11'

@attribute FSize numeric
@attribute FAlpha numeric
@attribute FDist numeric
@attribute Class {g,h}

@data
3.1611,4.648,356.462,g
4.154,4.854,248.226,g
2.6258,48.0364,214.126,g
2.946,0.254,191.455,g
3.2217,8.686,180.783,g
3.033,2.039,272.038,g
3.0404,24.216,131.601,g
2.2989,62.618,169.688,g
2.238,63.03,118.341,g
2.699,8.718,178.647,g
2.1492,14.3756,251.28,g
3.8899,3.689,158.618,g
3.7043,0.2442,327.992,g
2.6464,24.109,69.2467,g
2.2,34.817,182.016,g
2.7657,41.065,152.596,g
2.8943,1.574,250.91,g
3.3917,2.9261,233.617,g
2.4116,18.5125,190.039,g
2.9974,11.6079,163.722,g
2.934,27.943,151.522,g
2.1383,24.7838,173.073,g
2.4778,13.6965,136.651,g
2.8092,2.608,178.462,g
2.356,22.3655,120.076,g
2.2844,2.7533,175.992,g
3.008,4.087,291.175,g
2.4786,12.715,109.517,g
2.5085,58.903,174.401,g
2.7404,10.08,288.194,g
2.2201,82.0505,193.769,g
2.2188,74.1884,175.677,g
2.4878,29.5051,135.119,g
2.9445,7.615,223.184,g
3.3769,4.4376,299.45,g
3.5469,6.878,273.371,g
2.6532,16.2095,168.025,g
3.5386,30.763,280.767,g
2.6107,6.6995,169.81,g
2.2844,19.79,217.318,g
2.4526,45.059,142.487,g
3.2899,2.245,297.823,g
2.6217,1.7076,211.699,g
3.5894,0.4,261.59,g
2.5815,72.2425,228.28,g
2.2162,1.2142,105.064,g
2.2253,0.0648,129.373,g
3.2844,13.913,131.992,g
3.4649,1.6851,267.36,g
3.6856,0.8794,230.344,g
3.233,19.558,201.848,g
2.78,56.0565,197.445,g
2.3918,65.011,65.8902,g
3.6211,0.1081,383.599,g
2.6959,8.7515,215.707,g
2.2989,54.2205,223.327,g
2.2553,56.4005,142.859,g
2.6959,0.125,210.714,g
2.5587,23.721,118.679,g
2.3589,29.7652,177.847,g
3.2249,1.5388,408.453,g
2.567,27.8917,181.831,g
3.1173,5.16,324.141,g
2.6253,8.782,182.141,g
2.0065,5.88,171.3,g
3.5263,14.1164,204.233,g
2.7288,4.412,146.661,g
2.48,11.235,159.082,g
3.3687,6.423,314.41,g
3.1956,4.4386,138.361,g
2.1629,81.1385,168.663,g
3.654,2.762,288.565,g
3.5863,6.999,228.298,g
2.4914,16.1307,186.619,g
2.4401,64.5349,143.721,g
2.854,27.696,260.092,g
3.1908,5.2373,182.452,g
2.5629,56.148,73.9966,g
2.7181,56.785,131.205,g
2.3627,19.5461,145.109,g
2.4949,15.096,101.912,g
3.3115,5.185,318.982,g
2.7701,11.5874,195.272,g
2.5051,0.085,170.775,g
3.0959,9.5897,279.075,g
3.7968,2.555,256.515,g
3.2015,0.857,271.063,g
2.9248,4.324,137.016,g
3.3511,10.34,188.939,g
2.2923,63.8216,190.409,g
2.0434,24.743,113.793,g
2.4778,23.914,233.308,g
3.5101,0.0323,327.064,g
2.6069,5.9374,183.554,g
2.4749,4.829,199.522,g
3.3144,8.7949,154.341,g
3.2131,9.4355,282.022,g
2.8404,21.696,173.343,g
3.1263,5.3918,228.839,g
2.7324,18.7586,160.018,g
2.2833,10.6062,213.579,g
3.2911,4.177,227.323,g
2.404,3.2586,229.629,g
2.8899,3.915,266.534,g
2.3793,5.534,220.734,g
3.0133,1.4241,209.889,g
2.1477,47.2228,124.216,g
2.6803,6.021,191.946,g
2.9151,10.4927,223.697,g
2.5065,34.405,189.145,g
2.7054,6.594,224.921,g
2.1414,6.661,179.298,g
