@relation magic

@attribute FLength numeric
@attribute FSize numeric
@attribute FConc1 numeric
@attribute FAlpha numeric
@attribute Class {g,h}

@data
51.595,2.4456,0.224,15.23,g
98.1861,4.0869,0.0462,12.408,g
13.0312,2.1508,0.4346,18.039,g
12.9501,2.1889,0.4175,47.56,g
21.7089,2.5145,0.237,3.465,g
25.2907,2.4713,0.3125,3.1678,g
21.3109,2.0774,0.4561,82.9943,g
91.3305,3.3411,0.096,1.653,g
48.3689,3.1074,0.1339,6.616,g
41.5858,3.022,0.1431,4.53,g
62.0023,3.5554,0.0792,0.505,g
52.8214,2.7828,0.169,14.834,g
27.5964,2.7843,0.1816,24.3712,g
31.0413,2.5514,0.1868,14.111,g
83.738,3.6126,0.1112,1.4349,g
19.6803,2.3385,0.3647,67.183,g
41.9039,3.1612,0.1259,15.7477,g
66.4347,2.912,0.2162,10.237,g
109.433,4.2697,0.0426,4.4983,g
36.2636,2.7235,0.1843,8.7759,g
57.1113,2.7857,0.1646,1.343,g
105.542,3.2549,0.092,24.157,g
21.434,2.3589,0.2385,10.066,g
47.4846,2.9385,0.11,3.0261,g
21.5488,2.0774,0.4142,23.9321,g
68.4131,3.023,0.1257,2.9291,g
21.1241,2.2227,0.3623,11.1686,g
18.8845,2.437,0.3199,41.771,g
20.9196,2.357,0.2484,19.31,g
23.0347,2.3883,0.4151,89.1927,g
30.4298,3.1836,0.1314,1.471,g
54.1441,2.6439,0.1691,16.2512,g
37.0979,2.5809,0.2585,1.472,g
64.8912,3.0797,0.1411,4.8939,g
34.9976,2.4914,0.2597,9.4498,g
43.2532,2.7135,0.177,5.1857,g
41.984,2.9017,0.1323,7.9241,g
28.4681,2.248,0.2966,23.221,g
34.2298,2.6091,0.2399,14.5626,g
28.6176,2.9447,0.188,4.7349,g
20.8716,2.3243,0.4573,23.769,g
24.2267,2.541,0.2345,3.9884,g
35.9957,2.4843,0.323,24.9956,g
37.9952,2.837,0.1769,1.156,g
54.2506,2.5832,0.218,0.029,g
28.8227,2.8985,0.1939,22.053,g
29.855,2.8011,0.1794,8.06,g
13.15,2.1477,0.395,28.553,g
29.7142,2.6144,0.1665,67.617,g
67.4012,3.2579,0.1394,2.729,g
23.5163,2.6138,0.1934,9.074,g
104.392,3.9723,0.0735,1.7384,g
22.6157,2.2788,0.3132,34.5976,g
22.4756,2.2672,0.3,68.163,g
27.4172,2.6853,0.2095,6.083,g
25.9612,2.2529,0.3436,36.498,g
98.6223,3.3109,0.1097,2.1682,g
63.9201,3.7525,0.1097,0.035,g
19.321,2.4624,0.2914,70.87,g
18.9821,2.2455,0.3267,18.537,g
60.5854,3.3166,0.1324,1.557,g
