@relation 'magic-weka.filters.unsupervised.attribute.Remove-V-R2,4,9,11'

@attribute FWidth numeric
@attribute FConc numeric
@attribute FAlpha numeric
@attribute Class {g,h}

@data
16.0328,0.3403,38.707,g
9.0462,0.6359,43.0032,g
18.907,0.4281,26.881,g
19.2286,0.3666,1.521,g
20.8103,0.226,4.25,g
25.1091,0.247,5.5119,g
39.4755,0.1204,3.8107,g
34.5134,0.1005,0.084,g
24.94,0.1683,9.941,g
22.1354,0.3108,3.497,g
6.832,0.7063,35.4993,g
10.4502,0.6043,43.3661,g
16.2843,0.4539,83.8081,g
15.08,0.3887,13.741,g
17.46,0.3979,25.657,g
12.8142,0.4884,65.2451,g
15.8708,0.5115,2.5957,g
14.9183,0.3004,5.066,g
33.6033,0.1433,0.7567,g
30.8693,0.1888,1.1057,g
14.3361,0.307,0.644,g
16.1025,0.3121,12.9801,g
13.7346,0.3339,1.7038,g
12.2973,0.4523,5.096,g
12.5696,0.5257,1.925,g
16.6321,0.3322,0.305,g
28.8301,0.3186,10.304,g
17.4731,0.3029,0.137,g
31.9315,0.2497,17.7108,g
24.1174,0.2213,46.43,g
11.6489,0.6036,69.7431,g
29.8932,0.2976,29.644,g
15.0057,0.4866,6.8985,g
14.5068,0.3141,1.985,g
16.8163,0.4435,35.595,g
10.9616,0.7666,88.1516,g
19.3399,0.3194,31.2269,g
29.2949,0.2233,4.1635,g
11.6996,0.7109,79.5407,g
19.4279,0.3823,24.8586,g
20.6045,0.2615,2.4098,g
11.5356,0.4324,6.484,g
11.7229,0.6017,42.523,g
10.4211,0.394,9.402,g
7.1962,0.722,25.643,g
18.8762,0.3777,0.803,g
25.9065,0.1649,1.569,g
13.6492,0.3495,2.103,g
11.6049,0.4888,18.82,g
19.428,0.2688,11.3154,g
16.1706,0.4527,49.1483,g
14.9087,0.3115,0.47,g
27.2356,0.2679,13.181,g
15.2975,0.4235,14.19,g
10.0133,0.8162,17.4488,g
26.3884,0.2257,14.573,g
11.4742,0.3839,5.308,g
13.6678,0.4202,0.3082,g
9.0786,0.8495,46.9567,g
18.2024,0.4967,10.9465,g
23.8977,0.4909,0.875,g
11.6106,0.6422,77.7643,g
13.2097,0.435,37.7264,g
18.2425,0.317,10.9128,g
18.7591,0.3859,7.4795,g
16.2673,0.3691,9.9904,g
24.2392,0.4152,3.9914,g
6.9493,0.7347,24.5335,g
36.6325,0.1462,0.983,g
32.4995,0.1506,1.932,g
24.0338,0.1777,21.156,g
20.0338,0.3074,1.197,g
11.4934,0.4765,25.1126,g
19.3349,0.2857,10.25,g
10.4117,0.6062,35.7431,g
28.7095,0.3045,6.1306,g
29.3136,0.132,1.687,g
15.6588,0.4569,3.1526,g
20.6435,0.3144,7.886,g
11.1091,0.6209,4.875,g
28.0417,0.2342,4.366,g
17.7142,0.267,15.638,g
32.2278,0.1609,1.3536,g
19.0139,0.2469,34.613,g
24.3309,0.213,7.119,g
28.7262,0.2616,67.903,g
20.8092,0.3807,5.18,g
10.5761,0.4732,72.391,g
9.2873,0.6471,25.804,g
14.7859,0.4777,62.975,g
24.9316,0.198,2.562,g
15.6011,0.3979,25.199,g
23.2784,0.2585,4.6616,g
31.2859,0.2457,3.348,g
22.0149,0.2876,20.518,g
11.5361,0.4342,7.8731,g
12.5631,0.4971,43.561,g
23.4296,0.2877,35.99,g
38.4424,0.2823,0.834,g
11.4525,0.4529,6.0457,g
32.3601,0.1168,6.69,g
25.182,0.1545,6.7129,g
16.5268,0.3966,8.477,g
10.7987,0.5173,37.4068,g
18.1651,0.2558,10.098,g
17.8999,0.4147,30.327,g
30.4244,0.3615,12.026,g
18.4218,0.3944,69.8177,g
17.4852,0.3225,10.206,g
40.143,0.0916,0.2545,g
17.0655,0.4174,24.6377,g
30.5905,0.1703,15.75,g
21.4086,0.2671,46.068,g
19.6497,0.2579,8.041,g
24.4466,0.1744,2.594,g
29.2628,0.1995,12.2293,g
10.6824,0.6109,34.0559,g
11.8657,0.3979,7.346,g
16.093,0.4394,11.519,g
42.8741,0.0995,3.2636,g
16.9759,0.397,53.3158,g
28.2821,0.3358,2.4674,g
11.6192,0.7218,80.0642,g
27.0194,0.1987,10.5595,g
11.9659,0.6882,50.611,g
22.5961,0.2028,12.2671,g
7.3691,0.7387,17.8692,g
19.6503,0.4624,33.902,g
24.3904,0.1829,4.147,g
7.3929,0.7719,70.736,g
7.3633,0.7162,44.067,g
26.1931,0.1833,1.581,g
31.2913,0.1407,3.6433,g
21.8584,0.2209,2.555,g
17.8932,0.3297,2.715,g
16.4561,0.5223,11.3951,g
20.8043,0.2811,16.64,g
35.4464,0.1071,2.148,g
15.5991,0.4888,4.1919,g
31.2131,0.2262,8.3626,g
22.1413,0.3099,4.6486,g
18.5719,0.233,5.6891,g
16.1803,0.3958,15.1543,g
12.7151,0.4288,42.3501,g
20.8424,0.3101,24.9095,g
29.3052,0.3505,18.278,g
19.2777,0.222,2.8825,g
18.1542,0.3839,13.895,g
9.6148,0.4738,69.004,g
28.1339,0.1921,5.5776,g
12.149,0.4312,6.123,g
10.2444,0.5844,35.4935,g
23.9692,0.2126,5.0887,g
12.9225,0.5594,9.5881,g
18.4592,0.2081,2.3692,g
10.2103,0.5745,37.428,g
9.8894,0.4371,59.5071,g
37.8614,0.1156,3.0978,g
15.261,0.4455,32.442,g
10.6174,0.5333,45.2655,g
16.2245,0.5404,62.969,g
25.7419,0.3403,1.112,g
20.5278,0.2461,1.5576,g
42.1656,0.2313,4.4023,g
14.7391,0.4854,10.0304,g
15.1367,0.3087,2.2573,g
10.535,0.6087,5.225,g
25.7562,0.2098,0.072,g
10.2929,0.6376,67.183,g
18.1161,0.2652,1.6001,g
32.1527,0.1241,0.514,g
19.1501,0.2779,0.4811,g
10.8672,0.6231,58.039,g
14.5975,0.333,25.544,g
10.0241,0.5811,5.584,g
17.7737,0.4234,73.12,g
15.6807,0.3958,51.496,g
21.7957,0.3556,70.6744,g
24.7446,0.2575,6.71,g
17.7167,0.3454,50.8703,g
13.4801,0.3886,17.388,g
15.2928,0.4774,55.833,g
19.7704,0.3364,57.543,g
33.1921,0.2913,7.4092,g
14.4152,0.3864,18.7547,g
20.99,0.206,5.272,g
16.2927,0.2893,40.0088,g
26.1589,0.1786,2.0615,g
21.4692,0.2458,16.8631,g
18.0039,0.3377,7.802,g
10.1859,0.4419,2.4234,g
16.8095,0.2649,12.88,g
27.5643,0.1272,6.402,g
22.1855,0.5139,4.6566,g
36.5059,0.1612,0.0204,g
21.5931,0.406,33.437,g
14.3036,0.4454,41.11,g
18.6601,0.4669,37.6012,g
20.6604,0.2447,2.971,g
21.9894,0.2546,2.556,g
11.2034,0.4395,1.61,g
18.5352,0.3125,7.387,g
19.2807,0.2857,0.762,g
10.668,0.5918,85.4703,g
13.4231,0.5127,14.1872,g
11.1616,0.6019,71.177,g
25.7168,0.1951,2.73,g
25.5231,0.2117,6.862,g
32.0685,0.226,4.088,g
18.5809,0.359,11.083,g
15.7445,0.5209,79.598,g
22.7382,0.2213,15.4188,g
38.2364,0.3243,7.078,g
39.433,0.1399,1.2098,g
10.2292,0.5038,43.723,g
15.2966,0.3907,64.2235,g
11.2194,0.7426,89.7459,g
28.3077,0.1842,4.1168,g
8.981,0.6769,9.757,g
25.7797,0.2047,3.197,g
43.6324,0.2465,4.314,g
16.2809,0.2705,5.59,g
16.1715,0.3359,10.213,g
21.9195,0.4196,3.38,g
7.2627,0.6957,63.637,g
18.3458,0.3887,36.5252,g
28.662,0.2962,4.5248,g
24.4927,0.2291,0.2485,g
14.8738,0.4229,5.0428,g
8.9576,0.6256,60.3018,g
11.4642,0.4277,2.593,g
21.6876,0.2105,6.696,g
7.2364,0.692,46.992,g
20.2649,0.1827,9.716,g
24.6754,0.2886,0.0969,g
29.6018,0.1511,27.672,g
11.2631,0.7473,55.5492,g
12.8692,0.5619,40.824,g
9.9525,0.8211,71.5811,g
