@relation 'magic-weka.filters.unsupervised.attribute.Remove-V-R5,9,11'

@attribute FConc1 numeric
@attribute FAlpha numeric
@attribute Class {g,h}

@data
0.1662,2.005,g
0.1762,9.59,g
0.089,0.67,g
0.2395,3.675,g
0.239,15.9328,g
0.1644,17.6684,g
0.2005,6.4974,g
0.1023,0.6344,g
0.2357,23.821,g
0.3174,27.549,g
0.236,47.777,g
0.422,74.308,g
0.2093,1.713,g
0.2246,10.615,g
0.2195,2.8462,g
0.3875,61.5621,g
0.0977,1.9727,g
0.254,27.604,g
0.237,14.233,g
0.0556,0.57,g
0.2442,37.2132,g
0.0949,3.4278,g
0.19,7.208,g
0.4147,81.0899,g
0.1918,28.521,g
0.338,32.6097,g
0.1506,1.562,g
0.2797,68.6674,g
0.0934,6.986,g
0.1131,8.877,g
0.1504,6.527,g
0.3118,40.0799,g
0.1799,5.231,g
0.1722,27.914,g
0.2034,1.228,g
0.1861,1.3937,g
0.3326,17.929,g
0.0897,6.2195,g
0.2729,19.724,g
0.2573,14.53,g
0.3004,8.5878,g
0.2,78.773,g
0.1056,69.094,g
0.3039,24.262,g
0.044,3.2764,g
0.181,5.153,g
0.3177,19.4594,g
0.2119,7.067,g
0.3689,77.229,g
0.2495,20.6196,g
0.3097,4.575,g
0.2914,11.74,g
0.614,62.18,g
0.1142,47.392,g
0.0872,2.379,g
0.2133,3.597,g
0.1413,0.468,g
0.3132,34.5976,g
0.1986,37.9035,g
0.4671,61.216,g
0.2111,41.0922,g
0.1191,13.0282,g
0.163,2.8753,g
0.0974,2.433,g
0.1103,3.4835,g
0.0273,2.9341,g
0.1567,23.0914,g
0.147,0.146,g
0.1121,8.986,g
0.1983,18.6544,g
0.071,9.4551,g
0.0895,7.2099,g
0.4613,66.374,g
0.121,6.85,g
0.1265,6.159,g
0.1206,4.9132,g
0.0914,3.174,g
0.2356,10.618,g
0.1165,13.285,g
0.1885,14.0812,g
0.2072,9.0544,g
0.0865,3.9509,g
0.1701,17.2162,g
0.0762,0.211,g
0.2675,11.7823,g
0.1244,3.4588,g
0.1767,7.1492,g
0.3457,41.3192,g
0.1262,38.817,g
0.0668,3.201,g
0.3342,17.478,g
0.1895,3.827,g
0.1574,4.6718,g
0.1514,1.861,g
0.298,5.397,g
0.2807,8.947,g
0.3122,83.7969,g
0.1439,15.135,g
0.2131,5.565,g
0.2033,4.825,g
0.2128,1.4663,g
0.1796,6.479,g
0.1958,31.6682,g
0.4099,35.9057,g
0.2842,77.35,g
0.0812,0.7859,g
0.2733,15.0428,g
0.1912,16.73,g
0.1899,80.473,g
0.1376,1.092,g
0.2426,27.3402,g
0.1537,3.0159,g
0.2596,60.543,g
0.1953,3.3282,g
0.1758,12.0413,g
0.1099,1.479,g
0.3623,7.671,g
0.0726,5.247,g
0.1055,17.406,g
0.2162,10.237,g
0.0573,1.64,g
0.1151,5.861,g
0.1845,44.373,g
0.2988,1.523,g
0.204,2.3306,g
0.2735,58.6846,g
0.1141,1.2469,g
0.2902,46.642,g
0.3457,7.388,g
0.2173,9.11,g
0.327,6.3162,g
0.218,0.029,g
0.29,56.8865,g
0.1292,0.9333,g
0.1942,64.571,g
0.1886,19.4174,g
0.2591,19.8739,g
0.0997,0.1897,g
0.1495,4.584,g
0.1961,2.8669,g
0.1965,7.226,g
0.1607,5.1233,g
0.4047,15.288,g
0.1089,1.9969,g
0.1289,3.53,g
0.4088,87.9835,g
0.11,1.1058,g
0.2727,2.2101,g
0.2566,7.352,g
0.2137,6.9109,g
0.454,11.338,g
0.2018,10.9987,g
0.388,16.534,g
0.3156,7.689,g
0.2581,5.219,g
0.1763,2.858,g
0.1727,0.457,g
0.281,0.0621,g
0.1223,7.1147,g
0.2343,16.0875,g
0.2369,16.055,g
0.0269,2.6075,g
0.2047,10.379,g
0.2458,1.314,g
0.0928,5.798,g
0.2319,5.704,g
