@relation magic

@attribute FLength numeric
@attribute FM3Long numeric
@attribute FAlpha numeric
@attribute Class {g,h}

@data
36.0107,29.185,8.56,g
28.0462,-14.8064,26.6013,g
37.6527,20.2691,74.6315,g
28.0875,-5.7541,34.9402,g
31.9568,-28.3225,3.1113,g
20.324,19.3642,54.193,g
68.9157,-31.2334,19.048,g
22.5682,20.3054,35.141,g
52.0784,38.9315,5.802,g
29.4757,30.8968,12.3834,g
64.5569,66.4731,1.1676,g
39.3749,-33.789,3.97,g
45.903,33.2516,0.595,g
79.6635,72.0524,1.735,g
32.6194,19.001,15.634,g
80.7602,86.821,12.3487,g
42.4667,31.0034,4.9852,g
36.5312,17.0686,7.0737,g
71.1507,39.6216,6.1414,g
100.591,-53.7804,1.0996,g
19.9263,-8.6963,2.579,g
31.7098,16.9093,6.187,g
29.5667,-14.5393,10.119,g
47.8916,-31.0968,4.6031,g
94.2048,-64.4438,2.8858,g
12.9574,-7.0158,43.9589,g
66.0346,63.5139,2.0758,g
53.0503,35.4382,11.762,g
66.013,41.3084,2.8356,g
42.7776,33.7195,69.097,g
39.8121,33.9114,10.575,g
29.3874,28.9954,10.789,g
77.6918,65.5969,3.9967,g
55.8124,-36.1868,6.397,g
58.0284,52.4075,4.187,g
109.117,78.7224,1.164,g
83.9924,70.1617,2.012,g
95.2333,69.8347,1.513,g
12.641,10.0579,31.8219,g
19.6419,5.2697,34.817,g
52.2488,52.755,3.926,g
65.2745,48.7096,0.334,g
20.928,7.948,18.549,g
28.4732,12.43,12.945,g
13.026,6.89,51.8466,g
74.2846,71.574,5.1219,g
76.7162,72.404,2.292,g
61.3416,60.7341,0.8541,g
31.8121,-15.1299,1.1657,g
33.5677,24.528,33.0542,g
26.8476,22.9917,1.445,g
18.8303,-9.5211,47.4858,g
45.845,-31.4075,3.3124,g
22.4147,-13.6009,6.572,g
16.5149,-5.6061,48.896,g
26.5656,-14.7146,57.6366,g
25.4319,20.9233,21.5391,g
26.394,13.9258,14.961,g
40.0985,29.9288,2.016,g
27.0561,-20.0816,14.852,g
19.9436,8.3106,30.5107,g
22.3664,-14.1777,30.245,g
50.9671,30.6774,1.594,g
58.2229,47.8331,12.8453,g
27.4917,21.1234,4.18,g
26.6682,-12.8551,2.048,g
57.5229,61.6557,2.846,g
25.161,-9.4704,0.624,g
29.001,-18.5409,1.14,g
21.4815,18.5987,66.0088,g
12.7848,-7.0807,86.4459,g
34.5681,-30.5672,1.3098,g
19.1186,10.419,40.691,g
48.267,45.6978,40.3788,g
24.1987,17.3827,28.9777,g
22.1211,19.1,13.9345,g
