@relation magic

@attribute FSize numeric
@attribute FConc1 numeric
@attribute FM3Long numeric
@attribute FAlpha numeric
@attribute Class {g,h}

@data
2.9566,0.1033,41.2638,6.0446,g
4.0435,0.0478,87.8497,4.0819,g
2.2945,0.3376,20.2117,8.711,g
3.3717,0.0797,48.0909,4.575,g
2.9741,0.1385,52.2129,3.837,g
2.3118,0.3293,10.3645,63.7649,g
2.3054,0.3886,23.6883,9.272,g
2.2601,0.3874,-20.1555,76.9508,g
2.9312,0.147,75.7769,28.508,g
2.4448,0.4111,16.2873,30.194,g
2.5792,0.2332,13.8408,30.192,g
3.8316,0.058,42.9439,2.312,g
2.42,0.2186,-9.9218,62.0705,g
2.3233,0.3919,9.6501,78.178,g
2.8241,0.1282,-42.0859,8.841,g
2.8442,0.1496,35.2857,7.8974,g
2.4786,0.2608,-25.6857,7.556,g
3.1263,0.1372,32.6551,5.3918,g
3.485,0.0918,77.8861,0.305,g
3.2929,0.097,32.1837,1.277,g
3.381,0.152,67.2432,5.2231,g
2.3617,0.363,-10.7875,15.2811,g
2.4893,0.1799,26.2948,17.8954,g
4.0138,0.0479,102.411,3.208,g
2.2956,0.2557,19.1194,11.296,g
3.1119,0.1171,83.8344,3.3923,g
3.8065,0.0611,77.1253,5.4802,g
2.9814,0.1216,66.484,3.3652,g
3.0894,0.1184,32.0298,4.2321,g
2.7642,0.1747,87.5737,9.3662,g
2.5205,0.2398,25.6027,0.059,g
2.5145,0.2339,28.5424,19.612,g
3.145,0.1622,31.2123,1.5993,g
3.258,0.1074,64.7779,0.3152,g
3.2961,0.1418,29.623,0.3159,g
3.3375,0.0857,57.9373,4.5284,g
3.4806,0.067,54.6877,5.3512,g
2.2,0.4385,-4.9732,47.048,g
2.2122,0.2791,17.4528,18.3562,g
2.873,0.1695,36.7431,8.469,g
2.5944,0.215,17.2466,26.3933,g
3.745,0.0929,46.2678,1.963,g
2.6454,0.1618,46.3336,10.6662,g
3.6192,0.1263,-42.5904,0.7124,g
2.6946,0.2859,17.7166,46.0148,g
2.6175,0.2425,8.7649,45.808,g
2.238,0.315,-5.9263,26.726,g
2.6474,0.2196,24.718,6.308,g
2.8739,0.1598,30.7022,20.0742,g
2.8968,0.1503,7.4557,2.0107,g
2.6459,0.2678,20.3579,70.606,g
2.1477,0.4377,-8.0421,80.9568,g
2.6551,0.2887,-39.2618,7.0357,g
3.3422,0.0816,72.1869,1.39,g
2.6889,0.1853,8.9445,35.16,g
3.07,0.1213,-22.7595,3.4,g
3.3309,0.0679,24.0617,1.8497,g
2.9085,0.134,43.1887,3.613,g
2.4778,0.2047,-32.5416,23.914,g
2.7105,0.1801,-12.498,45.781,g
2.1287,0.4498,5.437,77.957,g
2.2978,0.2746,21.1357,43.723,g
2.9533,0.1765,-19.0968,40.679,g
2.4914,0.2694,-14.4753,30.148,g
3.276,0.093,28.2574,10.1168,g
3.2543,0.0643,26.0616,8.2437,g
2.5347,0.3109,-8.6348,59.1272,g
3.1801,0.1106,70.1656,9.8874,g
3.3422,0.1025,41.3788,3.2776,g
2.3483,0.4507,3.415,6.0909,g
2.9759,0.1052,69.5958,10.7918,g
2.2889,0.4036,-15.855,42.589,g
2.6964,0.3853,-21.3713,15.563,g
2.4857,0.3676,3.8543,33.4257,g
2.2565,0.5235,6.0277,23.45,g
2.9001,0.1907,47.5564,10.598,g
2.1917,0.4148,4.2116,44.0092,g
2.1021,0.3913,10.5652,42.9804,g
3.2006,0.1194,59.1177,1.536,g
2.8882,0.1028,34.6695,1.0624,g
2.9775,0.1511,24.1048,6.6443,g
2.5391,0.2355,-37.0878,1.555,g
2.3274,0.4212,-14.2246,15.89,g
2.747,0.162,20.8257,37.3532,g
2.8633,0.1582,-51.2555,7.6842,g
3.9779,0.0418,87.0304,2.9283,g
2.7423,0.1475,-84.3148,47.6489,g
2.2028,0.3542,7.4423,63.031,g
3.0392,0.1156,58.501,6.246,g
2.3962,0.3675,18.9858,31.686,g
2.8899,0.1643,61.0348,5.7941,g
3.0661,0.1541,36.0721,2.9912,g
3.1909,0.0899,52.263,14.3969,g
3.063,0.125,-18.4165,1.0036,g
3.3059,0.0986,66.7547,0.738,g
2.0626,0.3506,0.6593,34.1556,g
2.5459,0.2319,22.5712,4.703,g
2.4456,0.2097,-23.4546,1.9639,g
2.1987,0.2943,9.3203,52.36,g
2.3664,0.2903,16.6066,39.342,g
2.7555,0.2133,19.1969,3.597,g
2.6314,0.1834,24.4252,2.7907,g
2.8932,0.172,-14.5867,9.381,g
2.7871,0.182,23.4194,52.698,g
3.3077,0.1494,42.6917,0.2716,g
2.3304,0.3107,-15.0454,11.2824,g
3.1861,0.1463,49.589,0.7026,g
2.828,0.1404,-28.4975,11.1311,g
3.1149,0.15,21.604,3.026,g
3.1227,0.1459,29.5254,13.4983,g
3.0931,0.09,56.2846,9.5101,g
3.5386,0.0704,88.2266,30.763,g
2.2911,0.2532,-7.0063,16.162,g
3.3523,0.1024,59.2178,0.4645,g
3.0304,0.131,-25.1251,0.1562,g
2.3243,0.3341,7.7059,74.3421,g
3.0519,0.0989,-8.5632,8.846,g
2.1319,0.4686,-5.0379,9.83,g
3.123,0.1337,86.586,0.3713,g
2.1818,0.3059,9.7451,45.7654,g
2.7742,0.1825,21.6776,29.3898,g
3.0821,0.156,44.2933,2.281,g
3.7322,0.1068,52.7196,0.034,g
2.3212,0.3031,-14.5768,0.039,g
3.6158,0.1016,49.1815,0.57,g
2.437,0.3309,-8.023,59.809,g
3.4071,0.1302,39.7093,3.6587,g
2.6101,0.2172,-7.5508,15.6309,g
3.517,0.1148,-32.8466,80.7067,g
2.8681,0.1999,26.4107,14.407,g
3.2508,0.1328,-34.015,3.2282,g
2.6096,0.274,-19.1051,70.9158,g
2.3181,0.2909,17.9514,72.539,g
2.3701,0.2921,21.9484,61.282,g
2.1761,0.29,12.2527,56.8865,g
3.2316,0.1493,51.0709,3.9671,g
2.4175,0.3576,-48.5435,6.6945,g
2.1703,0.3142,17.4334,66.17,g
3.1189,0.1106,-20.7079,1.198,g
2.7818,0.2653,12.1768,1.1826,g
2.6279,0.2108,16.1088,7.0622,g
2.1156,0.4176,12.5057,7.7055,g
2.6201,0.2098,37.3314,3.139,g
2.7084,0.1536,-13.0029,4.218,g
2.2455,0.3153,19.5445,27.234,g
2.7218,0.1679,-14.8064,26.6013,g
3.4851,0.082,45.5662,2.404,g
3.2627,0.1106,57.5264,3.902,g
3.2709,0.1712,36.0551,10.416,g
3.2466,0.1363,72.5212,2.569,g
2.4401,0.314,-9.8531,16.7712,g
3.3977,0.1159,34.9642,0.5447,g
2.617,0.2669,-9.3529,72.3693,g
2.6684,0.1878,18.9954,7.9478,g
2.8609,0.1357,46.5641,8.1095,g
2.4793,0.34,13.1312,4.8629,g
2.07,0.4383,6.6499,64.903,g
2.2014,0.3176,17.2358,2.989,g
3.0118,0.1153,51.1932,9.401,g
2.5422,0.1994,11.6095,6.879,g
4.1786,0.0501,86.5937,2.7219,g
2.5403,0.2493,-15.0968,4.534,g
2.2148,0.3018,-17.5153,15.7756,g
2.29,0.3513,-10.3179,4.708,g
2.9388,0.1203,18.6067,6.6105,g
2.2148,0.2957,-15.109,8.681,g
3.4203,0.1005,45.7148,3.555,g
2.641,0.1726,42.9528,18.7204,g
2.1538,0.4035,9.5411,12.9273,g
3.183,0.1178,53.3134,4.34,g
2.2405,0.296,-5.3697,48.5893,g
2.0774,0.3556,-9.7671,52.1801,g
4.0311,0.0573,70.4408,0.019,g
2.8156,0.1766,23.5939,30.825,g
2.5664,0.1506,18.0136,35.99,g
2.356,0.1828,16.5782,5.629,g
2.7135,0.1809,37.4027,3.101,g
2.0394,0.3516,-10.5871,7.605,g
2.4691,0.4194,21.0046,19.042,g
3.0356,0.146,133.254,4.2004,g
2.5676,0.2368,17.4463,2.4627,g
3.9834,0.0683,62.648,0.6179,g
3.1984,0.0953,22.4525,3.6,g
2.1383,0.4327,13.5859,49.8198,g
2.5647,0.2275,7.5072,61.157,g
2.8254,0.219,30.0186,25.428,g
2.0314,0.3767,-7.5235,58.6479,g
3.5588,0.1054,48.9749,1.8161,g
2.6091,0.1587,17.5417,31.3209,g
4.0213,0.0535,77.8264,0.6513,g
2.3096,0.3652,16.5115,46.1771,g
2.4728,0.2643,16.1918,19.01,g
2.3054,0.3144,9.1472,21.124,g
3.3507,0.1215,82.1744,4.074,g
3.1458,0.1976,-53.7804,1.0996,g
2.752,0.146,-21.1994,13.034,g
2.5092,0.2709,20.1263,35.974,g
2.5302,0.1844,-32.9212,13.666,g
3.3115,0.1388,57.3965,5.185,g
2.5308,0.3108,20.8131,13.001,g
2.8848,0.1806,66.6867,4.4265,g
2.1414,0.4585,-7.7496,29.838,g
2.4843,0.3721,12.1835,16.0043,g
2.4616,0.1813,11.558,3.533,g
2.2529,0.3827,15.7766,4.1929,g
2.4893,0.2026,-11.8774,15.563,g
2.2014,0.2799,17.803,39.009,g
3.0835,0.1234,13.0877,42.931,g
3.0946,0.1194,85.8081,0.302,g
2.6232,0.1702,70.5864,5.9072,g
2.5321,0.2805,10.4656,5.0428,g
2.1089,0.4786,5.1007,11.7248,g
2.2788,0.3395,16.0281,8.982,g
2.7517,0.1408,-25.2946,8.0864,g
2.6716,0.1821,18.8272,15.7771,g
2.7782,0.1925,19.9933,6.675,g
2.64,0.2302,30.6402,2.975,g
2.7059,0.1388,56.103,1.0329,g
2.2355,0.311,-12.0722,33.5573,g
3.146,0.1504,43.2779,6.527,g
2.8639,0.1854,6.1522,23.5868,g
2.6021,0.2062,15.5108,35.5329,g
2.6279,0.1708,23.953,2.6246,g
2.3971,0.3226,-13.8015,15.6504,g
2.4914,0.3306,10.1606,10.303,g
2.9425,0.109,24.0314,21.9634,g
2.3551,0.3201,-10.4723,60.871,g
2.7059,0.249,17.003,34.4836,g
2.7627,0.2012,-18.1941,10.469,g
3.1814,0.109,54.6739,15.4674,g
2.871,0.1003,48.7944,6.819,g
2.4564,0.2185,20.5967,27.6552,g
2.7657,0.2033,11.8152,8.4788,g
3.2015,0.1223,51.854,1.338,g
3.7106,0.0548,60.3407,13.7,g
3.1992,0.1956,-19.4631,5.207,g
2.5758,0.2935,20.688,12.2953,g
2.6096,0.156,8.1654,11.6063,g
2.7649,0.2088,27.7357,2.2025,g
2.1599,0.391,-9.4103,39.4854,g
2.6238,0.2961,-13.8349,71.363,g
3.1469,0.1023,71.5993,3.917,g
2.6902,0.2786,-35.6108,15.1361,g
2.7803,0.2811,-19.2248,5.4551,g
3.5529,0.1035,68.21,7.103,g
2.1931,0.3109,16.335,42.753,g
2.6385,0.208,-16.0743,8.699,g
2.8672,0.1419,25.1034,8.5367,g
3.065,0.1545,33.6217,5.6814,g
2.3927,0.2247,18.1433,21.3396,g
2.2443,0.396,-9.3618,15.651,g
2.7093,0.1455,20.7402,0.337,g
4.1525,0.0419,78.9598,2.266,g
2.4495,0.2966,-10.5109,18.7607,g
3.0575,0.1301,-6.7978,2.53,g
2.6238,0.1415,16.881,32.7651,g
2.9082,0.1143,70.759,5.538,g
3.6795,0.0704,64.9628,0.455,g
2.0881,0.4531,6.1041,11.249,g
2.7177,0.1676,28.8496,20.661,g
2.4639,0.3729,-17.003,88.8305,g
2.8341,0.1941,-28.9203,28.28,g
2.4074,0.3307,11.7779,38.043,g
2.7197,0.1268,59.6429,17.172,g
2.6469,0.1995,25.0444,30.876,g
2.8534,0.1437,52.8608,2.942,g
2.7675,0.1529,61.0039,3.2801,g
2.946,0.1727,31.3793,6.63,g
2.6915,0.2106,-7.4281,4.7804,g
2.4935,0.2969,15.1134,3.366,g
3.6069,0.1042,42.186,16.6925,g
3.3076,0.1056,38.6475,3.7247,g
2.8331,0.1476,-30.0399,6.2504,g
2.9727,0.156,22.0893,22.799,g
2.4976,0.1892,-19.4076,2.625,g
2.3757,0.3053,20.0027,38.542,g
2.7372,0.2903,-10.0601,11.8286,g
2.8065,0.1475,-22.1105,10.018,g
2.8344,0.1603,-38.7341,2.052,g
2.5198,0.1677,-15.2078,4.4742,g
3.1239,0.1711,38.58,0.618,g
2.9393,0.1558,19.7221,7.598,g
2.9963,0.1427,69.6331,4.985,g
2.6212,0.238,-15.7704,3.1526,g
2.637,0.1949,-27.3328,9.7853,g
2.64,0.1592,25.2396,10.898,g
2.2227,0.3024,9.463,70.269,g
2.9172,0.0974,-13.4235,1.087,g
3.2525,0.083,44.1952,6.976,g
2.4385,0.1913,-13.0092,5.8995,g
3.2446,0.1358,27.432,9.618,g
2.4757,0.2759,-76.2898,68.039,g
4.258,0.045,74.2771,3.4381,g
3.7978,0.0872,61.018,1.304,g
3.8364,0.0887,68.3527,0.616,g
2.5017,0.2189,21.0894,15.0058,g
3.3001,0.1295,23.2692,15.7121,g
3.2184,0.117,72.9814,0.357,g
2.5658,0.3274,35.3679,4.167,g
2.9784,0.1456,17.5267,26.9856,g
3.1896,0.2039,52.473,1.5532,g
2.5459,0.3428,-10.8113,72.654,g
2.6165,0.1705,34.1182,5.5783,g
2.4362,0.2912,13.8627,23.367,g
3.0594,0.133,76.8033,5.633,g
2.2041,0.3094,-9.7754,26.6697,g
3.0336,0.2291,-14.929,76.05,g
2.4864,0.2594,14.2747,17.0032,g
3.7514,0.0798,71.6719,7.111,g
2.3222,0.3881,11.1798,17.1998,g
2.2636,0.5095,-16.9492,11.529,g
2.9472,0.1666,27.5241,30.388,g
3.9292,0.0662,65.1396,4.106,g
2.7694,0.2338,-26.385,4.4274,g
2.2201,0.3102,15.125,45.055,g
2.9375,0.1553,-18.9508,9.4937,g
3.1543,0.1728,63.9433,3.5131,g
2.3222,0.1929,10.4682,31.7177,g
3.1116,0.1435,23.9118,14.2862,g
2.2148,0.3018,-8.6983,65.7379,g
3.0962,0.1494,31.6754,1.37,g
