@relation 'magic-weka.filters.unsupervised.attribute.Remove-V-R1,8-9,11'

@attribute FLength numeric
@attribute FM3Trans numeric
@attribute FAlpha numeric
@attribute Class {g,h}

@data
31.6036,-9.9574,6.3609,g
33.1818,-8.1803,41.929,g
50.4829,-18.1839,22.471,g
87.5837,-14.3854,2.428,g
25.4762,6.2085,24.847,g
32.0586,-11.3244,12.1807,g
29.3424,7.7365,39.189,g
73.2547,16.6915,23.149,g
27.4888,-10.0668,23.5868,g
27.1044,-11.7431,29.844,g
35.577,4.1406,2.0711,g
25.0056,-14.0925,4.2353,g
24.3343,-13.2107,10.288,g
78.6493,15.8013,3.227,g
77.5343,12.4317,1.892,g
20.5321,9.8037,44.9,g
43.1994,-4.6509,7.6914,g
31.5256,-7.3445,10.2785,g
46.5588,10.205,12.727,g
86.5346,25.1406,4.8152,g
20.9663,-8.9597,47.8491,g
22.2442,-6.9374,6.6462,g
24.598,5.8666,8.0075,g
37.6758,-12.2202,20.1948,g
108.261,18.3796,1.873,g
49.8142,10.8811,14.103,g
62.7644,-10.954,4.1234,g
101.178,17.8454,3.1693,g
20.7417,-8.5521,16.395,g
18.0693,6.8677,84.2593,g
34.1392,-9.5372,13.7301,g
106.364,-23.9498,0.624,g
55.8434,9.9968,5.4306,g
68.7354,-11.3574,9.3666,g
31.5737,12.28,29.603,g
47.0893,-7.5246,2.621,g
19.7221,-13.2124,31.983,g
71.9672,-17.0144,2.8019,g
26.889,-6.9568,18.419,g
39.4796,6.6446,1.129,g
31.257,5.4537,1.9639,g
45.4678,13.6138,1.087,g
32.4134,-11.5562,17.831,g
27.8936,-15.0672,82.8799,g
86.7133,-15.8098,0.6696,g
41.9654,8.4213,7.1441,g
80.5967,11.1907,5.9931,g
88.4638,19.3974,0.533,g
92.6332,14.4934,0.123,g
94.1836,-18.0331,2.957,g
19.8584,4.5488,20.1575,g
61.5098,-13.6801,9.437,g
33.2252,-9.7642,15.71,g
35.3335,-10.1084,5.8315,g
38.2407,7.3276,3.9659,g
23.1262,-13.8577,16.232,g
19.6147,-4.8478,29.2598,g
68.2982,12.6148,6.3982,g
55.7546,14.3961,3.628,g
28.1635,-8.3405,17.1252,g
47.409,-11.3684,2.939,g
92.3308,15.3498,0.6513,g
21.942,9.6854,21.49,g
58.0216,17.3529,3.131,g
16.3134,-7.3755,9.3001,g
81.3975,49.1951,22.7735,g
83.8355,5.3509,4.6236,g
33.3819,-15.3124,44.799,g
27.6167,3.2946,89.7323,g
26.3542,14.9905,21.6256,g
48.451,17.4248,8.691,g
55.9196,-14.7688,2.646,g
18.9053,4.5549,33.344,g
26.6994,-12.8798,9.393,g
21.5359,-9.9932,15.312,g
132.954,21.4538,0.36,g
33.1141,17.8465,47.7302,g
59.6587,-12.4618,12.842,g
27.5407,8.6005,34.6822,g
13.1759,-11.6734,8.886,g
32.8483,6.0211,4.565,g
43.7585,16.3826,8.3799,g
40.8706,19.1536,5.528,g
38.5385,7.8428,0.583,g
21.4514,-5.2053,8.6808,g
93.2945,15.7291,1.851,g
37.6898,9.673,1.57,g
13.2566,11.1924,15.671,g
20.1487,-5.2942,28.6298,g
58.1603,11.9627,1.6337,g
27.9279,-5.5457,12.21,g
43.0781,5.6906,23.884,g
23.2333,8.1713,26.733,g
20.4899,-5.7639,70.14,g
41.1907,9.7364,27.354,g
22.7173,0.0001,5.2051,g
30.9955,-16.2964,32.5233,g
73.1549,12.0307,0.3485,g
22.4688,12.1709,59.4506,g
57.0078,15.1188,7.705,g
21.947,14.8348,40.4341,g
60.9338,19.3509,13.807,g
53.652,34.1382,26.4137,g
