@relation magic

@attribute FWidth numeric
@attribute FSize numeric
@attribute Class {g,h}

@data
30.7871,3.5949,g
12.2327,2.4346,g
27.2944,3.0658,g
22.3784,3.2172,g
21.5306,3.1984,g
27.269,3.0754,g
28.5607,3.4166,g
26.8882,3.6902,g
7.2298,2.1156,g
31.9315,3.1602,g
14.1008,2.4314,g
31.5879,3.5227,g
17.8501,2.7226,g
20.4027,2.7742,g
13.9841,2.5688,g
35.685,3.4692,g
23.2382,3.159,g
18.0139,2.8482,g
22.0968,2.3757,g
17.3283,2.8573,g
11.2223,2.8248,g
6.5999,2.1861,g
12.7729,2.4417,g
10.076,2.3139,g
20.2649,3.2958,g
23.2834,2.7642,g
10.636,2.4393,g
43.761,4.286,g
28.6254,3.1816,g
20.1143,2.769,g
15.9638,2.9513,g
17.5998,3.1381,g
23.972,3.2628,g
14.5329,2.5641,g
32.8001,3.6126,g
20.6735,3.0149,g
10.8143,2.3838,g
22.572,2.6618,g
17.5535,2.8968,g
32.3973,3.527,g
38.2659,3.6727,g
9.8197,2.4579,g
20.2999,2.9809,g
11.7783,2.1569,g
11.8943,2.2405,g
20.5768,3.3532,g
17.1041,2.3865,g
11.0744,2.2516,g
16.7002,2.4401,g
16.613,2.708,g
7.409,2.1021,g
22.2845,2.9802,g
21.5505,2.9462,g
11.4371,2.5126,g
26.058,3.207,g
17.8022,2.3692,g
14.3903,2.5676,g
21.2993,2.4526,g
16.139,2.3829,g
21.7989,3.3395,g
15.9545,2.9472,g
16.9595,2.5804,g
10.4279,2.2055,g
7.3926,2.2707,g
32.378,3.6087,g
12.3814,2.3253,g
9.9179,2.4955,g
17.4175,2.2978,g
17.6983,2.7177,g
18.0992,2.5933,g
19.6322,2.8531,g
18.6998,2.9447,g
16.5965,2.7063,g
12.9387,2.4175,g
23.9338,2.9976,g
22.1344,3.1546,g
30.6089,3.4164,g
16.4672,2.5112,g
9.8076,2.4141,g
29.4793,3.4104,g
15.7963,2.7336,g
19.8846,2.5587,g
25.9772,3.0962,g
37.9939,4.0896,g
10.8098,2.3918,g
27.6013,3.5761,g
19.555,2.6069,g
16.7469,2.6821,g
24.0033,3.3358,g
25.7797,3.387,g
17.7624,2.6689,g
11.2601,2.2082,g
12.7697,2.3334,g
42.0089,3.9071,g
7.4475,2.3493,g
11.3084,2.3683,g
27.2356,3.2348,g
15.7955,2.6527,g
7.495,2.2833,g
16.5317,3.0398,g
19.9739,2.617,g
15.9685,2.8831,g
10.8839,2.4886,g
7.4145,2.2109,g
22.6579,3.049,g
16.3063,2.5119,g
26.9246,3.2377,g
21.54,3.1836,g
10.3837,2.2867,g
9.8633,2.3294,g
13.6609,2.6821,g
7.1801,2.4479,g
18.7266,2.4425,g
