@relation 'magic-weka.filters.unsupervised.attribute.Remove-V-R1,3,5,9,11'

@attribute FLength numeric
@attribute FSize numeric
@attribute FConc1 numeric
@attribute FAlpha numeric
@attribute Class {g,h}

@data
63.3453,3.4233,0.1375,0.64,g
63.2886,3.4434,0.1273,0.9753,g
35.9913,2.7466,0.1801,0.2425,g
92.8723,3.1553,0.1619,7.7301,g
22.7945,2.567,0.294,6.7835,g
99.6416,2.4362,0.1996,74.5664,g
96.3755,3.359,0.1376,9.782,g
30.3331,2.4526,0.2416,0.9075,g
23.0242,2.2188,0.2326,33.4008,g
23.6353,2.4661,0.4085,43.565,g
39.3737,2.7763,0.1615,3.7449,g
41.0677,2.7308,0.1812,17.671,g
60.0261,2.8052,0.1433,1.3841,g
94.2369,2.7727,0.1612,1.854,g
81.2317,3.7262,0.0893,4.155,g
18.8734,2.5821,0.2579,17.1286,g
18.249,2.2529,0.3156,15.8259,g
13.1155,2.1973,0.5238,58.845,g
23.807,2.4289,0.3184,10.378,g
33.3045,2.6862,0.2029,5.2437,g
85.6478,3.3537,0.2004,0.7472,g
35.9225,2.5224,0.1607,2.969,g
13.1469,2.2467,0.4788,27.3603,g
31.3143,2.873,0.1721,1.6985,g
34.3373,2.8109,0.1862,48.259,g
23.3353,2.6721,0.1755,29.1324,g
31.0208,2.5218,0.2992,8.2969,g
68.6967,3.1733,0.0996,3.4614,g
24.1417,2.7853,0.2287,89.2231,g
53.7088,2.8695,0.1668,11.677,g
30.3706,3.0177,0.1531,6.7334,g
23.2118,2.2455,0.304,7.755,g
32.9957,2.4175,0.327,71.066,g
28.4739,2.6862,0.1637,25.431,g
59.0112,3.5361,0.0921,1.8811,g
63.7006,3.2033,0.1362,8.519,g
12.9683,2.3149,0.4431,38.1314,g
24.9509,2.4928,0.2331,23.425,g
37.8835,2.5752,0.1662,6.518,g
26.8589,2.5145,0.2248,0.638,g
112.635,2.9868,0.1139,17.724,g
12.6846,2.1055,0.3725,4.176,g
67.9187,3.5981,0.0798,0.794,g
19.6321,2.0986,0.4263,8.5814,g
32.0222,2.3454,0.2551,35.625,g
21.5732,2.1222,0.4792,0.0002,g
25.3012,2.5682,0.3149,48.5567,g
70.1479,3.4283,0.1024,8.2377,g
71.6093,2.7551,0.1819,6.166,g
20.8936,2.07,0.3532,53.587,g
138.085,3.9738,0.0406,5.931,g
27.3505,2.3212,0.2315,15.7217,g
18.6133,2.3054,0.3787,9.438,g
35.1926,3.2262,0.1322,10.685,g
36.0465,2.7903,0.1645,1.9542,g
26.8454,2.5296,0.2762,17.533,g
43.911,3.0465,0.1568,14.874,g
30.9688,2.8837,0.232,69.0844,g
41.671,3.0654,0.157,5.7949,g
36.384,2.6946,0.1444,6.303,g
95.6926,3.328,0.1017,7.0973,g
28.8214,3.1002,0.1616,23.4123,g
18.633,2.4108,0.2932,58.2819,g
40.6296,2.8162,0.1489,6.1626,g
20.6647,2.2292,0.3746,68.5155,g
33.3893,3.0212,0.1348,38.976,g
18.0519,2.1818,0.2928,56.732,g
71.6766,3.63,0.1019,9.612,g
16.3607,2.3522,0.3089,35.427,g
29.0213,2.4048,0.2146,9.2572,g
53.5632,2.8442,0.1539,61.5552,g
24.5661,2.6758,0.1909,11.018,g
46.9295,2.6857,0.1515,8.4913,g
17.0991,2.3118,0.3927,31.951,g
24.2734,2.4456,0.2778,17.466,g
68.792,3.6718,0.0787,4.841,g
26.0277,2.5502,0.2662,0.6419,g
58.9884,2.7255,0.1515,12.3224,g
21.3781,2.3464,0.3311,22.0158,g
27.1111,2.5826,0.2288,12.4588,g
24.7179,2.4541,0.2478,8.976,g
29.657,2.6955,0.2026,19.4898,g
17.1544,2.2405,0.296,48.5893,g
138.838,3.2464,0.1035,3.499,g
61.2167,2.8993,0.1482,5.806,g
