@relation 'magic-weka.filters.unsupervised.attribute.Remove-V-R1-2,9,11'

@attribute FLength numeric
@attribute FWidth numeric
@attribute FAlpha numeric
@attribute Class {g,h}

@data
51.624,21.1502,3.613,g
87.2384,27.935,4.4265,g
23.5647,9.9926,26.5328,g
73.6263,35.582,4.471,g
44.0846,23.0143,16.119,g
65.3574,22.3483,4.874,g
43.7724,20.353,16.25,g
20.9491,7.0366,40.656,g
41.2629,20.9786,7.6147,g
53.7339,15.4395,1.886,g
47.8275,18.509,4.798,g
13.1994,10.8032,54.0277,g
20.7445,17.3249,25.7775,g
42.3725,20.2021,0.6925,g
25.2091,10.6551,41.563,g
35.7062,13.2892,1.2543,g
62.6886,22.612,3.121,g
22.5702,0,80.3449,g
33.3528,17.6866,8.709,g
97.794,26.8347,3.2128,g
52.8479,21.5505,6.087,g
40.6097,20.5874,0.774,g
59.817,14.838,5.235,g
24.38,17.4654,0.8652,g
39.2192,14.1085,9.1923,g
23.153,21.0028,27.621,g
70.457,22.9878,34.2372,g
63.7616,24.1374,3.473,g
37.6518,15.2293,7.803,g
70.4799,18.7963,4.5199,g
38.5491,19.1817,7.8488,g
36.2124,9.5335,27.4653,g
45.5567,16.8422,3.378,g
32.4734,11.2154,6.915,g
48.6413,19.3526,11.287,g
35.5524,15.3608,13.69,g
31.8025,12.3285,9.822,g
72.7983,23.2986,7.4414,g
92.3205,31.3727,2.0919,g
18.9658,7.402,76.0739,g
38.525,28.8308,2.3112,g
74.1464,20.7143,4.802,g
63.6676,17.6143,20.872,g
41.504,21.5189,12.8677,g
43.0546,19.9313,12.089,g
60.012,19.0335,11.1868,g
43.9241,10.9225,21.329,g
72.7908,23.7428,4.2311,g
31.3015,12.9583,7.923,g
42.7735,24.0127,13.269,g
27.506,17.6938,3.3162,g
27.8546,16.5647,4.1367,g
34.9792,22.7377,4.075,g
12.4899,11.9789,45.6611,g
46.3706,21.9331,2.447,g
91.6993,42.7846,1.9921,g
18.4491,7.3587,42.315,g
27.1373,13.7348,17.2732,g
12.8557,9.8076,78.748,g
28.2338,16.3284,8.526,g
17.725,7.4803,33.97,g
18.7991,12.4262,35.2698,g
71.7681,27.3733,5.254,g
24.8332,7.3512,20.643,g
80.7882,55.0349,22.529,g
27.1259,12.9634,21.073,g
46.3641,13.7186,10.4919,g
53.0403,13.8821,10.1148,g
24.8368,14.4621,6.437,g
87.02,21.7407,2.8508,g
25.9826,13.9899,4.752,g
22.9006,12.6407,11.7582,g
57.9074,30.0559,10.159,g
33.4718,23.5392,0.6027,g
31.0015,15.8117,8.767,g
60.6745,21.4003,18.082,g
35.648,11.8742,5.014,g
26.2271,20.6569,2.1651,g
20.5966,17.8906,45.299,g
63.9655,26.6584,5.7611,g
25.2907,11.508,3.1678,g
49.5199,20.1482,16.8734,g
13.1739,10.5938,16.7394,g
20.5858,7.2402,23.962,g
76.1914,36.9303,4.034,g
25.8305,7.7487,17.392,g
51.0346,22.7669,9.203,g
93.0607,28.3185,3.737,g
87.9125,24.0949,2.628,g
22.2142,10.9289,23.936,g
48.4816,8.4573,0.7494,g
26.9169,7.0266,78.1246,g
53.746,26.0975,36.8773,g
33.8385,23.1018,9.0883,g
54.4375,32.7823,2.6399,g
34.6872,15.5802,4.286,g
20.8857,11.2823,58.7535,g
56.5563,19.5159,1.695,g
22.6828,10.0152,6.211,g
36.2836,17.3307,24.191,g
22.2418,16.4332,18.5462,g
18.9821,10.0948,18.537,g
27.0104,19.1173,11.766,g
25.9264,13.0316,19.267,g
23.7368,11.5514,30.194,g
41.8489,17.6323,5.055,g
63.8905,24.804,4.63,g
94.6049,30.5083,1.2109,g
26.0216,9.648,44.3455,g
21.2163,10.8702,27.583,g
52.3507,21.7304,5.164,g
23.945,12.5218,7.211,g
37.5297,21.1485,30.76,g
20.8415,7.1822,33.539,g
80.2186,25.8725,0.8713,g
53.1946,14.7069,2.701,g
49.8805,25.0612,39.8357,g
17.4019,16.4024,72.654,g
48.6283,12.739,2.809,g
114.476,10.5387,1.1708,g
22.4791,16.8116,30.8451,g
25.3811,15.8935,37.555,g
28.0209,18.9925,27.3043,g
49.4822,16.2215,3.8218,g
20.1522,14.6778,14.451,g
20.7922,7.1641,6.786,g
81.5279,36.3071,0.151,g
18.9583,11.9321,38.2,g
123.466,25.1281,54.6896,g
36.6884,13.5799,9.283,g
50.6386,19.9415,14.5598,g
65.6203,30.689,2.733,g
101.939,25.2899,9.836,g
61.7197,29.9904,1.32,g
66.0687,20.3533,5.369,g
17.5926,16.034,34.553,g
45.0186,17.2847,8.59,g
59.4407,26.0793,5.836,g
32.5446,17.6636,12.117,g
13.2147,10.4235,58.2994,g
55.2401,25.4326,8.2751,g
68.9088,26.5542,0.7358,g
21.4296,16.7983,12.4053,g
61.1326,19.6959,6.887,g
13.1462,10.9455,55.1153,g
38.229,16.5916,3.7101,g
59.8099,30.7612,1.0275,g
66.8196,22.9146,6.014,g
56.7107,17.0717,2.489,g
67.8366,28.4716,21.3936,g
19.0602,12.4033,9.3668,g
46.6663,21.6453,3.1992,g
28.2195,16.0469,12.214,g
33.3772,13.2521,9.2004,g
