@relation magic

@attribute FLength numeric
@attribute FSize numeric
@attribute FConc numeric
@attribute FAlpha numeric
@attribute Class {g,h}

@data
29.0353,2.9309,0.2521,28.926,g
52.8238,2.4735,0.5513,6.278,g
30.1416,2.3811,0.5031,4.945,g
63.9494,3.4432,0.2152,2.881,g
32.6392,2.5391,0.3208,21.5727,g
21.0441,2.2589,0.5014,15.833,g
33.5948,2.6294,0.2746,29.3634,g
37.9315,2.9307,0.2745,10.223,g
91.9596,3.6091,0.1473,7.4474,g
47.1363,2.4728,0.4074,12.504,g
77.7029,3.3432,0.2214,8.624,g
59.8576,3.0846,0.27,0.9629,g
26.6249,2.7143,0.3282,8.869,g
28.7415,2.7206,0.3254,4.6448,g
12.7459,2.2135,0.7217,51.7751,g
82.2565,2.9626,0.1755,18.458,g
19.9202,2.6817,0.4475,64.999,g
55.1773,2.6937,0.3725,8.473,g
39.9634,3.1891,0.3099,10.855,g
100.226,3.3769,0.2179,4.4376,g
38.2553,2.586,0.4021,1.2447,g
79.539,3.4649,0.1793,1.6851,g
21.8607,2.2601,0.6648,5.205,g
36.5676,2.8445,0.3104,15.939,g
28.0453,2.8624,0.3267,4.9786,g
26.4076,2.6915,0.3906,4.7804,g
43.0126,2.6968,0.3136,2.4997,g
73.3171,3.1877,0.2214,2.8894,g
35.9534,3.3495,0.2482,12.941,g
52.1771,3.3236,0.2331,3.737,g
60.9779,3.3714,0.2326,0.3079,g
65.9033,3.1472,0.2252,1.308,g
23.3109,2.6085,0.335,67.164,g
82.7708,3.2694,0.2189,7.9764,g
66.9995,3.5624,0.1359,3.1014,g
25.3267,2.5496,0.3977,81.0686,g
22.3151,2.1319,0.7306,48.9671,g
27.0149,2.525,0.4507,39.295,g
54.1353,2.8701,0.3452,2.4615,g
29.4658,2.9934,0.3503,0.2353,g
65.7189,3.134,0.1689,1.412,g
91.5599,3.7091,0.186,4.861,g
123.623,3.3583,0.195,4.358,g
21.1689,2.3365,0.5945,27.2976,g
47.5572,2.9472,0.2699,10.781,g
20.947,2.3375,0.4828,34.4932,g
20.8748,2.4378,0.5766,47.878,g
34.912,2.639,0.3398,5.485,g
24.7931,2.7536,0.4109,5.178,g
20.8219,2.8182,0.3906,7.4814,g
27.1848,2.4893,0.4052,47.377,g
46.8245,3.0652,0.2608,9.77,g
26.4244,2.5484,0.396,53.0609,g
18.3155,2.1222,0.7698,2.559,g
72.926,3.363,0.196,3.3709,g
20.4427,2.0394,0.7123,11.756,g
25.8427,2.5172,0.462,5.484,g
32.9693,3.0392,0.3161,12.5002,g
73.7609,3.3736,0.1468,1.574,g
46.1458,2.9673,0.2243,7.915,g
